universe_id,target,logm_mean,logm_std,logm_min,logm_max,logm_median,x_std,y_std,z_std,position_spread,vx_mean,vy_mean,vz_mean,vx_std,vy_std,vz_std,velocity_spread,velocity_norm_mean,velocity_norm_std
LH_0,0.1462000012397766,0.27401942,0.21994804,0.0,1.0,0.23628297,0.28345707,0.2580084,0.2564984,0.26598796,0.49937195,0.41443962,0.51556724,0.15933692,0.16147488,0.20728497,0.17603225,0.8615043,0.19794407
LH_1,0.11980000138282776,0.14444596,0.15300713,0.0,1.0,0.0949819,0.321153,0.33791274,0.2197276,0.29293117,0.5183358,0.37131923,0.6242869,0.1463309,0.1329093,0.13568686,0.13830902,0.9145932,0.13149908
LH_2,0.42260000109672546,0.20506749,0.2172992,0.0,1.0,0.10952851,0.27410278,0.29762667,0.2644252,0.27871823,0.5268507,0.5277843,0.5463116,0.18517727,0.14144437,0.15592816,0.16084993,0.9558132,0.14005758
LH_3,0.23980000615119934,0.18059506,0.1878308,0.0,1.0,0.12338553,0.22809324,0.31061196,0.3046627,0.28112265,0.5582025,0.5712742,0.53645056,0.14513946,0.13853729,0.16307575,0.14891748,0.9838039,0.15717763
LH_4,0.3741999864578247,0.21883778,0.22452934,0.0,1.0,0.148463,0.2850932,0.2940868,0.28715262,0.28877756,0.56419486,0.56409556,0.5399361,0.16455561,0.18491493,0.2063928,0.18528779,1.0026753,0.16298153
LH_5,0.11739999800920486,0.27499115,0.2314948,0.0,1.0,0.20757776,0.295537,0.22991195,0.2570123,0.26082042,0.3649962,0.47966316,0.50544864,0.13591737,0.17735659,0.21308956,0.1754545,0.82516295,0.18226226
LH_6,0.12020000070333481,0.28839362,0.24000515,0.0,1.0,0.22633457,0.30891237,0.3246196,0.26306847,0.29886678,0.4546572,0.44792557,0.36443946,0.1713109,0.18670608,0.14179014,0.16660236,0.76693535,0.19049364
LH_7,0.34380000829696655,0.24450104,0.21306014,0.0,1.0,0.16096973,0.3007543,0.25772226,0.29201078,0.28349578,0.46944484,0.60464716,0.5961313,0.18556166,0.20897914,0.1953023,0.19661437,1.0087574,0.20001586
LH_8,0.4018000066280365,0.2013907,0.20315735,0.0,1.0,0.13469434,0.2612982,0.25270802,0.27274925,0.26225182,0.3540591,0.40504324,0.44488472,0.1808005,0.16176613,0.15450746,0.16569138,0.7270184,0.20375063
LH_9,0.2062000036239624,0.1924325,0.19910057,0.0,1.0,0.11178756,0.3281655,0.25366333,0.30638817,0.29607233,0.39378938,0.62059444,0.6337919,0.1583396,0.1491611,0.14826168,0.15192081,0.9921434,0.16386902
LH_10,0.16019999980926514,0.1597813,0.14475712,0.0,1.0,0.13198867,0.25892735,0.29047573,0.35218188,0.30052832,0.44266072,0.35479054,0.44104362,0.1315345,0.16373667,0.1266877,0.14065295,0.74626356,0.13998504
