universe_id,target,logm_mean,logm_std,logm_min,logm_max,logm_median,x_std,y_std,z_std,position_spread,vx_mean,vy_mean,vz_mean,vx_std,vy_std,vz_std,velocity_spread,velocity_norm_mean,velocity_norm_std
LH_0,0.1462000012397766,1.7762184e-06,0.99999994,-1.2458351,3.3006928,-0.171568,0.99999994,0.9999999,0.9999999,0.99999994,-9.834767e-09,-1.1920929e-08,-5.066395e-09,1.0,1.0,1.0,1.0,1.4894184,0.8841003
LH_1,0.11980000138282776,3.157854e-06,1.0,-0.94404393,5.5915985,-0.32327616,1.0,0.99999994,0.99999994,1.0,-1.4901161e-08,5.3644182e-09,3.7252903e-09,0.9999999,0.9999999,1.0,1.0,1.3960495,1.0252049
LH_2,0.42260000109672546,-3.3587216e-06,1.0,-0.9437138,3.6582365,-0.439669,1.0,1.0,1.0,1.0,8.34465e-09,-3.5762786e-09,1.2516975e-08,1.0,1.0,1.0,1.0000001,1.4474524,0.9512527
LH_3,0.23980000615119934,1.2588501e-06,0.9999999,-0.961476,4.3624644,-0.3045788,1.0,1.0,1.0,0.99999994,5.3644182e-09,4.4703483e-10,-1.37090685e-08,0.99999994,0.99999994,0.9999999,0.99999994,1.4871063,0.88798326
LH_4,0.3741999864578247,-4.6133994e-07,1.0,-0.9746515,3.4791095,-0.3134328,0.9999999,0.99999994,1.0,0.99999994,-2.6822091e-09,-1.1920929e-09,-8.940697e-09,1.0,1.0,1.0,0.99999994,1.5084039,0.85130364
LH_5,0.11739999800920486,-7.9512597e-07,0.9999999,-1.1878942,3.1318572,-0.29120982,1.0,1.0,1.0,0.99999994,5.3644182e-09,1.6093255e-08,0.0,1.0,0.9999999,1.0,1.0,1.5469573,0.779053
LH_6,0.12020000070333481,3.6656857e-06,0.9999999,-1.2016104,2.9649668,-0.25857002,0.99999994,1.0,1.0000001,1.0,1.38673935e-08,-1.66893e-08,2.3841857e-09,1.0,1.0,1.0,1.0,1.5395119,0.79366475
LH_7,0.34380000829696655,1.2004375e-06,0.99999994,-1.1475669,3.5459435,-0.39205387,0.99999994,0.99999994,1.0,1.0,-1.0877848e-08,-6.556511e-09,5.5134297e-09,1.0,1.0,0.9999999,0.9999998,1.5783406,0.7133308
LH_8,0.4018000066280365,-1.6117096e-06,1.0,-0.99130577,3.9309876,-0.3283007,0.99999994,1.0,1.0,1.0,-1.1324882e-08,-1.9073486e-08,-1.7434358e-08,1.0,1.0,0.99999994,1.0,1.4400792,0.9623783
LH_9,0.2062000036239624,3.2031537e-06,1.0,-0.96650577,4.0560813,-0.405043,0.99999994,1.0,1.0,0.99999994,2.3841857e-09,5.662441e-09,1.07288365e-08,0.99999994,1.0,1.0000001,0.99999994,1.4852933,0.89101267
LH_10,0.16019999980926514,2.1016597e-06,1.0,-1.1037868,5.8043365,-0.19199286,1.0,1.0,1.0,1.0,-3.576279e-08,-5.066395e-09,2.3841858e-08,1.0,1.0,1.0000001,1.0,1.3479244,1.087704
LH_11,0.47540000081062317,-1.5211106e-06,0.99999994,-1.0984817,3.5784464,-0.25971043,0.9999999,1.0,1.0,1.0,-1.1920929e-08,-4.0233137e-09,3.5762786e-09,1.0,0.9999999,1.0,1.0,1.5039458,0.85915476
LH_12,0.2913999855518341,-1.3113022e-07,1.0000001,-1.069392,4.702832,-0.22245194,1.0,1.0,1.0,1.0,2.3841857e-09,1.4901161e-08,1.6391278e-08,1.0,1.0,1.0,1.0,1.5115962,0.8456226
LH_13,0.26899999380111694,3.4213067e-06,0.99999994,-1.1271026,4.0257297,-0.26293206,0.99999994,1.0,0.9999999,0.99999994,-3.5762786e-09,1.5199184e-08,-2.3841857e-09,1.0,0.99999994,1.0,1.0,1.6028435,0.6564242
LH_14,0.3946000039577484,-1.2099742e-06,1.0,-1.0579818,3.4092524,-0.251464,1.0,1.0000001,1.0,1.0,-1.7881393e-09,3.576279e-08,2.0861625e-08,0.9999999,1.0000001,1.0,1.0,1.4683893,0.9186036
LH_15,0.1762000024318695,2.297163e-06,0.99999994,-1.0766648,3.5854578,-0.20529887,0.99999994,0.99999994,0.99999994,0.99999994,-1.6093255e-08,5.9604646e-09,1.4901161e-09,0.99999994,0.99999994,0.9999999,1.0,1.4956522,0.8735127
LH_16,0.16580000519752502,1.6522407e-06,1.0,-1.2317456,2.816947,-0.33184093,1.0,0.9999999,1.0,1.0,-8.046627e-09,8.34465e-09,-2.2351743e-09,1.0,1.0,0.9999999,1.0,1.5692252,0.73316604
LH_17,0.2802000045776367,2.4938583e-06,1.0,-1.1782926,3.968565,-0.12628761,1.0,1.0,1.0,0.99999994,2.9653311e-08,1.6987324e-08,-4.7683715e-09,0.99999994,1.0000001,1.0,1.0,1.5320888,0.80790097
LH_18,0.4578000009059906,1.5544891e-06,0.9999999,-1.0813527,4.0405817,-0.3148466,1.0,1.0,0.99999994,1.0,1.7881394e-08,-3.5762786e-09,3.8743018e-09,1.0,1.0,1.0,1.0,1.4365239,0.96767724
LH_19,0.3061999976634979,-2.3341179e-06,1.0,-0.9923315,3.1268606,-0.29423988,0.99999994,1.0,0.99999994,1.0,-1.1920929e-08,-1.4901161e-08,0.0,1.0,0.99999994,1.0,1.0,1.565234,0.741649
LH_20,0.13979999721050262,1.0764599e-06,1.0,-1.0674313,3.525155,-0.27235097,1.0,1.0,1.0,0.99999994,-1.0877848e-08,-4.7683715e-09,-4.7683715e-09,1.0,1.0,1.0,1.0,1.5016855,0.86309975
LH_21,0.13420000672340393,1.436472e-06,0.99999994,-1.1326506,4.807942,-0.20590633,0.99999994,1.0,1.0,1.0,-5.9604646e-09,-2.324581e-08,1.1920929e-08,1.0,0.99999994,0.9999999,1.0,1.4402606,0.962107
LH_22,0.1738000065088272,4.489422e-06,1.0,-1.1695763,3.6277344,-0.15612352,1.0,1.0,1.0,1.0,9.536743e-09,-1.4901161e-09,-5.9604646e-09,0.9999998,0.9999999,0.99999994,1.0,1.504354,0.8584401
LH_23,0.36419999599456787,-1.5854836e-06,1.0,-1.0854852,3.6608422,-0.38037425,1.0,0.9999999,1.0,0.99999994,-7.152557e-09,6.2584875e-09,-2.2053719e-08,1.0,1.0,1.0,1.0,1.5272671,0.8169794
LH_24,0.19660000503063202,-3.5059452e-06,0.99999994,-1.1732962,3.4310598,-0.26011318,0.99999994,0.99999994,1.0,0.99999994,4.7683715e-09,7.152557e-09,-3.2782554e-09,0.99999994,1.0,0.99999994,1.0,1.5373855,0.79777557
LH_25,0.32260000705718994,4.5776366e-07,1.0,-1.1919651,3.2862024,-0.3708884,1.0,0.9999999,1.0,0.9999998,-2.9802323e-09,-4.0233137e-09,1.7881393e-09,1.0,1.0,1.0,0.99999994,1.4623128,0.9282464
LH_26,0.17980000376701355,8.1837175e-07,1.0,-0.98117465,3.2031827,-0.312453,1.0,1.0,1.0,1.0,2.026558e-08,-2.0861626e-09,9.536743e-09,0.9999999,1.0,1.0,1.0,1.5165277,0.83674586
LH_27,0.38179999589920044,-1.8763542e-06,1.0,-1.0448436,3.9298537,-0.33579534,0.99999994,1.0000001,1.0,1.0,-4.7683715e-09,2.3841857e-09,1.1920929e-09,0.99999994,1.0,0.99999994,1.0,1.4356233,0.9690128
LH_28,0.2669999897480011,-2.5725365e-06,0.9999999,-1.1202264,3.3615677,-0.24640328,1.0,1.0,0.99999994,1.0,-1.66893e-08,0.0,-1.1920929e-09,1.0,1.0,1.0,0.99999994,1.4635916,0.92622864
LH_29,0.15700000524520874,3.504753e-06,0.9999999,-1.0633367,3.5555198,-0.20813277,1.0,0.99999994,0.99999994,0.99999994,-1.3113022e-08,2.8610229e-08,-1.1920929e-08,0.99999994,0.9999999,0.99999994,0.99999994,1.5042995,0.85853547
LH_30,0.13699999451637268,-1.3017655e-06,1.0,-1.1353093,4.10841,-0.17611775,0.99999994,1.0,0.9999999,1.0,-1.7285346e-08,-2.026558e-08,-4.7683715e-09,1.0,1.0,1.0,0.99999994,1.4836577,0.89373374
LH_31,0.49779999256134033,0.0,0.99999994,-1.2164322,3.2822676,-0.32616663,1.0,1.0,0.99999994,1.0,0.0,1.1920929e-08,6.556511e-09,1.0,1.0,0.99999994,1.0,1.5211922,0.82823557
LH_32,0.29980000853538513,2.491474e-07,0.9999999,-1.01161,3.8982115,-0.362756,0.99999994,1.0,1.0,1.0,-1.4603138e-08,2.682209e-08,2.2649765e-08,1.0,1.0,1.0,1.0,1.2894278,1.15645
LH_33,0.47780001163482666,-1.745224e-06,0.9999999,-1.047344,4.950487,-0.28781742,1.0,1.0,1.0,1.0,4.7683715e-09,-2.6226044e-08,-1.7881393e-09,1.0,1.0,1.0,1.0,1.392499,1.0300226
LH_34,0.25380000472068787,1.3756752e-06,0.9999999,-1.049794,3.8508775,-0.3363593,1.0,0.99999994,0.99999994,1.0,-7.152557e-09,1.07288365e-08,3.9394945e-09,0.99999994,1.0,1.0,0.99999994,1.5709581,0.72944516
LH_35,0.272599995136261,3.7300588e-06,0.99999994,-1.1182415,3.7531486,-0.25510246,1.0,1.0,1.0,1.0,1.1920929e-09,-1.3262033e-08,-4.1127205e-08,1.0,0.99999994,1.0,1.0,1.5604849,0.7515891
LH_36,0.28940001130104065,-1.9311906e-06,0.9999999,-0.95237917,5.030435,-0.29947388,1.0,1.0,1.0,1.0,-1.3113022e-08,-1.1920929e-08,0.0,1.0,1.0,1.0,1.0,1.4026926,1.0160971
LH_37,0.11100000143051147,-1.0467767e-05,0.99999994,-1.2004766,4.3279576,-0.25344038,1.0,1.0,0.9999999,1.0,-1.9073486e-08,-3.0994414e-08,5.9604643e-10,1.0,1.0,1.0,1.0,1.5222125,0.82635885
LH_38,0.4618000090122223,-9.3102454e-07,1.0,-1.232766,3.3174152,-0.2363289,1.0,1.0,0.99999994,1.0,-2.3841857e-09,4.7683715e-09,-4.7683715e-09,1.0,0.99999994,0.9999999,1.0,1.5032343,0.860399
LH_39,0.31779998540878296,-2.077818e-06,1.0,-1.0484325,3.8585103,-0.33145237,1.0,1.0,1.0,1.0,-6.556511e-09,4.1350723e-09,3.2782554e-09,1.0,0.99999994,1.0,0.99999994,1.4775658,0.9037696
LH_40,0.27379998564720154,1.4436245e-06,0.9999999,-1.1105539,3.603398,-0.24457318,0.99999994,0.99999994,1.0,0.99999994,9.536743e-09,-4.7683715e-09,-7.674098e-09,1.0,0.99999994,0.99999994,1.0,1.5079622,0.85208565
LH_41,0.41940000653266907,1.1086464e-07,0.99999994,-1.1213536,3.5037339,-0.3172233,1.0,0.9999999,0.9999999,1.0,0.0,2.7567149e-08,1.1920929e-08,1.0,1.0,1.0,1.0,1.5016867,0.8630975
LH_42,0.11219999939203262,1.2969971e-06,1.0,-1.2443299,3.0444665,-0.13538942,1.0,1.0,1.0,1.0,-4.7683715e-09,9.23872e-09,-1.2060627e-08,0.99999994,1.0,0.99999994,0.99999994,1.5769334,0.71643597
LH_43,0.18459999561309814,-2.6106835e-07,1.0,-1.1006548,3.6896856,-0.28717875,1.0,0.9999999,0.99999994,1.0,1.8179417e-08,-1.4901161e-09,-6.556511e-09,1.0,1.0,1.0,1.0,1.4223807,0.9883485
LH_44,0.2962000072002411,1.4710427e-06,1.0,-1.0579475,3.131749,-0.25124255,1.0,1.0,0.99999994,1.0,5.066395e-09,-1.1920929e-08,8.34465e-09,0.99999994,1.0,1.0,1.0,1.5393666,0.79394585
LH_45,0.3181999921798706,-3.1852721e-06,0.99999994,-1.0775371,3.6462088,-0.39897913,1.0,1.0,0.9999998,0.99999994,1.4305114e-08,-5.066395e-09,3.5762786e-09,1.0,0.99999994,0.9999999,1.0,1.5249249,0.8213425
LH_46,0.33500000834465027,-2.5272368e-07,0.9999999,-1.068087,3.5777612,-0.32933977,0.99999994,1.0,0.99999994,1.0,2.9802323e-09,1.7881394e-08,-2.0563602e-08,0.99999994,1.0,1.0,1.0,1.329174,1.1105387
LH_47,0.4189999997615814,-3.1483173e-06,0.99999994,-1.0828718,3.4365387,-0.29462194,1.0,0.9999999,1.0,1.0,-4.172325e-09,-7.4505807e-10,-8.307397e-09,1.0,1.0,1.0000001,1.0,1.4221843,0.98863137
LH_48,0.4765999913215637,-1.0693074e-06,0.99999994,-1.0586219,2.7877858,-0.32551926,1.0,0.9999999,1.0,1.0,-1.1138618e-08,-7.152557e-09,-4.7683715e-09,0.99999994,1.0,1.0,1.0,1.5413326,0.7901229
LH_49,0.22779999673366547,3.1793118e-06,0.9999999,-0.9897434,3.8006082,-0.36513856,1.0,1.0,1.0,1.0,7.152557e-09,-1.9371509e-08,-1.4603138e-08,0.9999999,1.0,1.0,1.0,1.5062175,0.85516566
