universe_id,universe_index,omega_m,num_files,required_snapshots,enough_snapshots,snapshots,first_snapshot,last_snapshot,target_key,target_consistent,missing_target,target_in_expected_range,num_unique_targets_found,unique_targets_found,status,example_file,preprocessing_version_context,camels_box_size_context
LH_0,0,0.1462,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.1462,OK,LH_0_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_1,1,0.1198,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.1198,OK,LH_1_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_2,2,0.4226,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.4226,OK,LH_2_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_3,3,0.2398,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.2398,OK,LH_3_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_4,4,0.3742,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.3742,OK,LH_4_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_5,5,0.1174,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.1174,OK,LH_5_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_6,6,0.1202,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.1202,OK,LH_6_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_7,7,0.3438,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.3438,OK,LH_7_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_8,8,0.4018,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.4018,OK,LH_8_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_9,9,0.2062,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.2062,OK,LH_9_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
