model,k,seed,split_signature,h32_experiment_name,h64_experiment_name,mae_h64_minus_h32,rmse_h64_minus_h32,r2_h64_minus_h32
EvolveGCN-H,4,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed42,evolvegcn_h_500u_k4_seed42,-0.00037553826967874626,-4.5830184874723345e-05,0.0009074627081331332
EvolveGCN-H,4,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed123,evolvegcn_h_500u_k4_seed123,0.00021978259086609386,0.0008762712591897232,-0.015652481873070778
EvolveGCN-H,4,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed2025,evolvegcn_h_500u_k4_seed2025,0.0033511563142140655,0.0032636603647319823,-0.05669926624076438
EvolveGCN-H,6,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed42,evolvegcn_h_500u_k6_seed42,0.00020654479662578218,0.000527631981361798,-0.010496539229251312
EvolveGCN-H,6,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed123,evolvegcn_h_500u_k6_seed123,0.0001791663964589435,0.00110769366044923,-0.01978151462601363
EvolveGCN-H,6,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed2025,evolvegcn_h_500u_k6_seed2025,0.001052178541819243,0.0010548954167200197,-0.018073001087158813
EvolveGCN-H,8,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,evolvegcn_h_500u_seed42_final32,evolvegcn_h_500u_k8_h64_seed42,-0.00020996888478597153,-7.371209949641466e-05,0.0014644695622247905
EvolveGCN-H,8,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,evolvegcn_h_500u_seed123_final32,evolvegcn_h_500u_k8_h64_seed123,-0.0020939111709594727,-0.0014815273512630012,0.026553542605266767
EvolveGCN-H,8,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,evolvegcn_h_500u_seed2025_final32,evolvegcn_h_500u_k8_h64_seed2025,0.001104124387105318,0.0010505487521303702,-0.017974232978974714
EvolveGCN-H,12,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed42,evolvegcn_h_500u_k12_seed42,-0.0007207806905110692,-0.0012777316713392939,0.025255796825172316
EvolveGCN-H,12,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed123,evolvegcn_h_500u_k12_seed123,-6.763219833373635e-05,0.0002996080992740957,-0.005354269109723475
EvolveGCN-H,12,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed2025,evolvegcn_h_500u_k12_seed2025,0.0046037785212198895,0.0039121785120263125,-0.06747394204409574
Static GCN,4,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,static_gcn_u500_top100_norm-minmax_k4_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,static_gcn_500u_k4_seed42,3.280003865560599e-05,4.750047392419743e-05,-0.000940390863517937
