factorial_cell,seed,static_minus_evolve_mae,point_type
h32_k12,42,-0.0007190577189127717,seed
h32_k12,123,-0.00014435927073160049,seed
h32_k12,2025,-0.0013446962833404547,seed
h32_k4,42,4.321575164795144e-05,seed
h32_k4,123,-0.0001338922977447421,seed
h32_k4,2025,-0.002467203934987394,seed
h32_k6,42,-5.2811702092481205e-05,seed
h32_k6,123,-0.0013287194569905625,seed
h32_k6,2025,-0.0025767409801483177,seed
h32_k8,42,0.0008026007811228475,seed
h32_k8,123,-0.0016582397619883255,seed
h32_k8,2025,-0.0012427874406178707,seed
h64_k12,42,0.000871822436650585,seed
h64_k12,123,0.000672556161880486,seed
h64_k12,2025,-0.0016044012705484917,seed
h64_k4,42,0.0004515540599823037,seed
h64_k4,123,0.00016948898633321885,seed
h64_k4,2025,-0.001984523534774782,seed
h64_k6,42,0.00021240393320719198,seed
h64_k6,123,0.00047671834627786847,seed
h64_k6,2025,-0.0010806099573771044,seed
h64_k8,42,0.00018573403358460028,seed
h64_k8,123,0.0005935263633728011,seed
h64_k8,2025,-0.0015811765193939203,seed
h32_k4,,-0.0008526268270280616,mean
h32_k6,,-0.0013194240464104539,mean
h32_k8,,-0.0006994754738277829,mean
h32_k12,,-0.000736037757661609,mean
h64_k4,,-0.0004544934961530865,mean
h64_k6,,-0.00013049589263068132,mean
h64_k8,,-0.0002673053741455063,mean
h64_k12,,-2.0007557339140242e-05,mean
