model,hidden_dim,k,seed,factorial_cell,experiment_name,experiment_path,prediction_path,split_signature,test_count,test_mae,test_rmse,test_mse,test_r2,test_pearson,pearson_status,target_mean,prediction_mean,target_std,prediction_std,prediction_std_ratio,unique_prediction_count,exact_repeated_prediction_fraction,approximate_unique_prediction_count,approximate_repeated_prediction_fraction,prediction_min,prediction_max,prediction_range,residual_mean,residual_std,best_epoch
EvolveGCN-H,32,4,42,h32_k4,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed42,experiments/evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed42,experiments/evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed42/predictions/test_predictions.csv,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,75,0.08635540862878163,0.10170210510186135,0.010343318182150054,-0.0071055489866549415,0.03605657984451675,defined,0.2916933327913284,0.30089805404345193,0.10202514478236673,0.0024045493825505695,0.023568203580399665,75,0.0,75,0.0,0.29502037167549133,0.30572837591171265,0.010708004236221313,0.009204721252123516,0.10196676370676795,7
EvolveGCN-H,32,4,123,h32_k4,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed123,experiments/evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed123,experiments/evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed123/predictions/test_predictions.csv,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,75,0.0975723499059677,0.11518685155360059,0.013268010770831219,-0.02486996102740413,-0.10346089350968064,defined,0.29364533245563507,0.2918578298886617,0.11454688870034196,0.009678606840213483,0.08449471609423634,75,0.0,75,0.0,0.26742395758628845,0.31379568576812744,0.04637172818183899,-0.0017875025669733683,0.11594856562434129,13
EvolveGCN-H,32,4,2025,h32_k4,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed2025,experiments/evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed2025,experiments/evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed2025/predictions/test_predictions.csv,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,75,0.10619491408268611,0.12167124210377095,0.014803891155074446,-0.042904331354997494,-0.04846152958046771,defined,0.29471200038989387,0.3188414212067922,0.11994453853216079,0.001993836034588057,0.016622983080246283,75,0.0,75,0.0,0.3149455785751343,0.3236539363861084,0.008708357810974121,0.024129420816898346,0.12005768126414255,5
EvolveGCN-H,32,6,42,h32_k6,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed42,experiments/evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed42,experiments/evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed42/predictions/test_predictions.csv,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,75,0.0864769556125005,0.10189360532640948,0.010382306806414101,-0.010901783343192584,0.04203245103020289,defined,0.2916933327913284,0.30294079780578614,0.10202514478236673,0.0023770401514993226,0.02329857170572869,75,0.0,75,0.0,0.2969081401824951,0.30815577507019043,0.011247634887695312,0.011247465014457702,0.10195289719828618,7
EvolveGCN-H,32,6,123,h32_k6,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed123,experiments/evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed123,experiments/evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed123/predictions/test_predictions.csv,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,75,0.09740386386712392,0.1150432499514738,0.013234949359397277,-0.022316175985089615,-0.10998760245544505,defined,0.29364533245563507,0.29181461373964945,0.11454688870034196,0.008570619538314775,0.07482193218478214,75,0.0,75,0.0,0.270793080329895,0.3110988140106201,0.0403057336807251,-0.0018307187159856161,0.11580329530906887,15
EvolveGCN-H,32,6,2025,h32_k6,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed2025,experiments/evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed2025,experiments/evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed2025/predictions/test_predictions.csv,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,75,0.10536701311667761,0.12106939143185018,0.014657797541678556,-0.03261233038053413,-0.020650250843892794,defined,0.29471200038989387,0.31579829454422,0.11994453853216079,0.002490829201374384,0.0207665078531818,75,0.0,75,0.0,0.31166332960128784,0.3224773406982422,0.010814011096954346,0.02108629415432612,0.12002181280009087,5
EvolveGCN-H,32,8,42,h32_k8,evolvegcn_h_500u_seed42_final32,experiments/evolvegcn_h_500u_seed42_final32,experiments/evolvegcn_h_500u_seed42_final32/predictions/test_predictions.csv,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,75,0.08653705775737762,0.10205947521376181,0.01041613648090846,-0.014195702403178245,0.02095029129271221,defined,0.2916933327913284,0.30393179893493655,0.10202514478236673,0.0028651419512687993,0.028082704095941546,75,0.0,75,0.0,0.29741084575653076,0.3100897967815399,0.012678951025009155,0.012238466143608094,0.10200534776998653,8
EvolveGCN-H,32,8,123,h32_k8,evolvegcn_h_500u_seed123_final32,experiments/evolvegcn_h_500u_seed123_final32,experiments/evolvegcn_h_500u_seed123_final32/predictions/test_predictions.csv,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,75,0.09924482007821402,0.11675728841112959,0.013632264397119696,-0.05300625110331092,-0.11775060121440831,defined,0.29364533245563507,0.2960963030656179,0.11454688870034196,0.01603035539138861,0.13994579489037445,75,0.0,75,0.0,0.26150184869766235,0.3250575661659241,0.06355571746826172,0.0024509706099828084,0.11751764016602465,65
EvolveGCN-H,32,8,2025,h32_k8,evolvegcn_h_500u_seed2025_final32,experiments/evolvegcn_h_500u_seed2025_final32,experiments/evolvegcn_h_500u_seed2025_final32/predictions/test_predictions.csv,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,75,0.10510393093029657,0.12090740337632606,0.014618600191205623,-0.029850955944742852,-0.008910449300924321,defined,0.29471200038989387,0.31502074241638184,0.11994453853216079,0.0024780955379836234,0.02066034492532705,75,0.0,75,0.0,0.31073197722435,0.3206705152988434,0.009938538074493408,0.020308742026487987,0.11999220915802054,5
EvolveGCN-H,32,12,42,h32_k12,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed42,experiments/evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed42,experiments/evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed42/predictions/test_predictions.csv,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,75,0.08659132818380992,0.10214126683893199,0.010432838391461906,-0.015821929741527185,0.02529009520755831,defined,0.2916933327913284,0.3046920124689738,0.10202514478236673,0.002898183468998402,0.028406560707956992,75,0.0,75,0.0,0.2976956069469452,0.31088507175445557,0.013189464807510376,0.012998679677645366,0.10199300809750099,8
