k,seed,static_experiment_name,evolve_experiment_name,static_minus_evolve_mae,static_minus_evolve_rmse,static_minus_evolve_r2,static_minus_evolve_pearson,static_minus_evolve_prediction_std_ratio
4,42,static_gcn_500u_k4_seed42,evolvegcn_h_500u_k4_seed42,0.0004515540599823037,3.104584573675184e-05,-0.0006146800220570015,-0.19984985644319786,-0.08549356842300194
4,123,static_gcn_500u_k4_seed123,evolvegcn_h_500u_k4_seed123,0.00016948898633321885,-0.0017012492553895447,0.0302803217943568,0.051292253992866764,-0.06524997583598952
4,2025,static_gcn_500u_k4_seed2025,evolvegcn_h_500u_k4_seed2025,-0.001984523534774782,-6.551042997977874e-05,0.0011528662834783265,-0.14133205633220855,0.01839906052297205
6,42,static_gcn_500u_k6_seed42,evolvegcn_h_500u_k6_seed42,0.00021240393320719198,-0.00043860863683690965,0.00872933959424671,-0.12917815277529424,-0.004572394586400075
6,123,static_gcn_500u_k6_seed123,evolvegcn_h_500u_k6_seed123,0.00047671834627786847,-0.0021029951945345793,0.03739421821321476,0.06322976538825326,-0.09361777102895924
6,2025,static_gcn_500u_k6_seed2025,evolvegcn_h_500u_k6_seed2025,-0.0010806099573771044,-0.001143146058612765,0.019577848627231775,0.04687404524828927,-0.02941770192139312
8,42,static_gcn_500u_k8_h64_seed42,evolvegcn_h_500u_k8_h64_seed42,0.00018573403358460028,-0.0002158551896068034,0.004282400723292001,-0.18624084752572967,-0.0661526935797616
8,123,static_gcn_500u_k8_h64_seed123,evolvegcn_h_500u_k8_h64_seed123,0.0005935263633728011,-0.0007565222736180682,0.01342843008578476,0.038232814543821464,-0.03712981649375821
8,2025,static_gcn_500u_k8_h64_seed2025,evolvegcn_h_500u_k8_h64_seed2025,-0.0015811765193939203,-0.0010693418479672673,0.018294355370702453,-0.059195141581670135,-0.005134830880255403
12,42,static_gcn_500u_k12_seed42,evolvegcn_h_500u_k12_seed42,0.000871822436650585,0.0011666358042405622,-0.02304724296805527,-0.1682753823591004,-0.049080973967344135
12,123,static_gcn_500u_k12_seed123,evolvegcn_h_500u_k12_seed123,0.000672556161880486,-0.0017491801108891758,0.03106358259518638,0.07862712234785044,-0.05919256087773001
12,2025,static_gcn_500u_k12_seed2025,evolvegcn_h_500u_k12_seed2025,-0.0016044012705484917,-0.0011948831476024657,0.020837066750077016,-0.22198165423516297,-0.0612284012163617
