k,seed,static_minus_evolve_mae,point_type
4,42,0.0004515540599823037,seed
4,123,0.00016948898633321885,seed
4,2025,-0.001984523534774782,seed
6,42,0.00021240393320719198,seed
6,123,0.00047671834627786847,seed
6,2025,-0.0010806099573771044,seed
8,42,0.00018573403358460028,seed
8,123,0.0005935263633728011,seed
8,2025,-0.0015811765193939203,seed
12,42,0.000871822436650585,seed
12,123,0.000672556161880486,seed
12,2025,-0.0016044012705484917,seed
4,,-0.0004544934961530865,mean
6,,-0.00013049589263068132,mean
8,,-0.0002673053741455063,mean
12,,-2.0007557339140242e-05,mean
