normalization,seed,mae_evolve_minus_static,point_type,sample_standard_deviation
none,42,0.019416253765424094,seed,
none,123,0.02891152838865916,seed,
none,777,0.017439760764439906,seed,
none,999,0.01960903644561767,seed,
none,2025,0.017091087301572168,seed,
none,,0.020493533333142598,mean,0.004840136172280609
minmax,42,-0.005016041000684104,seed,
minmax,123,-0.00989406824111938,seed,
minmax,777,-0.0183481776714325,seed,
minmax,999,-0.006962973674138381,seed,
minmax,2025,-0.01470905244350433,seed,
minmax,,-0.01098606260617574,mean,0.005501823465483189
zscore,42,-0.004829097191492715,seed,
zscore,123,-0.009994264642397568,seed,
zscore,777,-0.007941371401151018,seed,
zscore,999,-0.001795929074287425,seed,
zscore,2025,0.0006248855590820362,seed,
zscore,,-0.004787155350049338,mean,0.004338849116772513
