model,top_n,seed,test_mae
EvolveGCN-H,100,42,0.08653705775737762
EvolveGCN-H,200,42,0.0829097318649292
EvolveGCN-H,500,42,0.08128928263982137
EvolveGCN-H,100,123,0.09924482007821402
EvolveGCN-H,200,123,0.09904366374015808
EvolveGCN-H,500,123,0.08808545728524526
EvolveGCN-H,100,2025,0.10510393093029657
EvolveGCN-H,200,2025,0.09456785927216212
EvolveGCN-H,500,2025,0.08912350823481878
Static GCN,100,42,0.08733965853850047
Static GCN,200,42,0.08656666179498036
Static GCN,500,42,0.08630532364050547
Static GCN,100,123,0.09758658031622569
Static GCN,200,123,0.09827724874019622
Static GCN,500,123,0.09797952552636464
Static GCN,100,2025,0.1038611434896787
Static GCN,200,2025,0.10610991865396499
Static GCN,500,2025,0.10383256067832311
