model,top_n,seed,universe_id,target,prediction,residual
EvolveGCN-H,100,123,LH_222,0.11020000278949738,0.3250575661659241,0.2148575633764267
EvolveGCN-H,100,123,LH_262,0.2766000032424927,0.26354140043258667,-0.013058602809906006
EvolveGCN-H,100,123,LH_330,0.4758000075817108,0.3127330243587494,-0.16306698322296143
EvolveGCN-H,100,123,LH_444,0.17579999566078186,0.30996596813201904,0.13416597247123718
EvolveGCN-H,100,123,LH_203,0.4918000102043152,0.26554688811302185,-0.22625312209129333
EvolveGCN-H,100,123,LH_6,0.12020000070333481,0.2947959303855896,0.1745959296822548
EvolveGCN-H,100,123,LH_472,0.3601999878883362,0.2946352958679199,-0.06556469202041626
EvolveGCN-H,100,123,LH_414,0.29820001125335693,0.29732924699783325,-0.0008707642555236816
EvolveGCN-H,100,123,LH_289,0.20739999413490295,0.3212226629257202,0.11382266879081726
EvolveGCN-H,100,123,LH_269,0.3529999852180481,0.30264848470687866,-0.050351500511169434
EvolveGCN-H,100,123,LH_327,0.15060000121593475,0.27343088388442993,0.12283088266849518
EvolveGCN-H,100,123,LH_311,0.10859999805688858,0.2919427156448364,0.18334271758794785
EvolveGCN-H,100,123,LH_420,0.4625999927520752,0.2889972925186157,-0.17360270023345947
EvolveGCN-H,100,123,LH_105,0.2754000127315521,0.31277403235435486,0.037374019622802734
EvolveGCN-H,100,123,LH_247,0.19419999420642853,0.3095550835132599,0.11535508930683136
EvolveGCN-H,100,123,LH_410,0.40779998898506165,0.28459978103637695,-0.12320020794868469
EvolveGCN-H,100,123,LH_267,0.11940000206232071,0.30330777168273926,0.18390776962041855
EvolveGCN-H,100,123,LH_175,0.38499999046325684,0.28471851348876953,-0.1002814769744873
EvolveGCN-H,100,123,LH_156,0.16699999570846558,0.316058874130249,0.14905887842178345
EvolveGCN-H,100,123,LH_496,0.27619999647140503,0.3035356402397156,0.027335643768310547
EvolveGCN-H,100,123,LH_18,0.4578000009059906,0.28019702434539795,-0.17760297656059265
EvolveGCN-H,100,123,LH_428,0.4941999912261963,0.2888144850730896,-0.2053855061531067
EvolveGCN-H,100,123,LH_240,0.24379999935626984,0.2737042307853699,0.029904231429100037
EvolveGCN-H,100,123,LH_135,0.10700000077486038,0.2903730273246765,0.18337302654981613
EvolveGCN-H,100,123,LH_244,0.18979999423027039,0.2867809534072876,0.09698095917701721
EvolveGCN-H,100,123,LH_293,0.2978000044822693,0.3138929009437561,0.016092896461486816
EvolveGCN-H,100,123,LH_220,0.35339999198913574,0.28192710876464844,-0.0714728832244873
EvolveGCN-H,100,123,LH_149,0.10899999737739563,0.3071213364601135,0.1981213390827179
EvolveGCN-H,100,123,LH_10,0.16019999980926514,0.28842222690582275,0.12822222709655762
EvolveGCN-H,100,123,LH_404,0.29019999504089355,0.28790199756622314,-0.00229799747467041
EvolveGCN-H,100,123,LH_64,0.17739999294281006,0.3029205799102783,0.12552058696746826
EvolveGCN-H,100,123,LH_72,0.2101999968290329,0.3193027377128601,0.10910274088382721
EvolveGCN-H,100,123,LH_341,0.26339998841285706,0.3018430471420288,0.03844305872917175
EvolveGCN-H,100,123,LH_47,0.4189999997615814,0.3080434799194336,-0.11095651984214783
EvolveGCN-H,100,123,LH_22,0.1738000065088272,0.31603574752807617,0.14223574101924896
EvolveGCN-H,100,123,LH_52,0.4138000011444092,0.2918732166290283,-0.12192678451538086
EvolveGCN-H,100,123,LH_229,0.11500000208616257,0.30944520235061646,0.1944452002644539
EvolveGCN-H,100,123,LH_374,0.3693999946117401,0.32227176427841187,-0.04712823033332825
EvolveGCN-H,100,123,LH_161,0.10419999808073044,0.28786700963974,0.18366701155900955
EvolveGCN-H,100,123,LH_3,0.23980000615119934,0.28495872020721436,0.045158714056015015
EvolveGCN-H,100,123,LH_35,0.272599995136261,0.26433274149894714,-0.008267253637313843
EvolveGCN-H,100,123,LH_193,0.38420000672340393,0.30226755142211914,-0.08193245530128479
EvolveGCN-H,100,123,LH_305,0.4569999873638153,0.27692797780036926,-0.18007200956344604
EvolveGCN-H,100,123,LH_449,0.41620001196861267,0.2970546782016754,-0.11914533376693726
EvolveGCN-H,100,123,LH_497,0.2770000100135803,0.28929227590560913,0.012292265892028809
EvolveGCN-H,100,123,LH_396,0.3578000068664551,0.28089261054992676,-0.07690739631652832
EvolveGCN-H,100,123,LH_223,0.4406000077724457,0.29105305671691895,-0.14954695105552673
EvolveGCN-H,100,123,LH_463,0.3418000042438507,0.28998470306396484,-0.051815301179885864
EvolveGCN-H,100,123,LH_0,0.1462000012397766,0.2738986015319824,0.1276986002922058
EvolveGCN-H,100,123,LH_83,0.3357999920845032,0.2761252224445343,-0.05967476963996887
EvolveGCN-H,100,123,LH_125,0.41019999980926514,0.2955934703350067,-0.11460652947425842
EvolveGCN-H,100,123,LH_359,0.24500000476837158,0.3052760362625122,0.060276031494140625
EvolveGCN-H,100,123,LH_485,0.19820000231266022,0.2673506438732147,0.0691506415605545
EvolveGCN-H,100,123,LH_486,0.46459999680519104,0.30751222372055054,-0.1570877730846405
EvolveGCN-H,100,123,LH_172,0.3901999890804291,0.297770619392395,-0.09242936968803406
EvolveGCN-H,100,123,LH_69,0.241799995303154,0.2992595434188843,0.057459548115730286
EvolveGCN-H,100,123,LH_81,0.32339999079704285,0.308149516582489,-0.015250474214553833
EvolveGCN-H,100,123,LH_499,0.23819999396800995,0.30195340514183044,0.0637534111738205
EvolveGCN-H,100,123,LH_436,0.4729999899864197,0.3121322989463806,-0.16086769104003906
EvolveGCN-H,100,123,LH_174,0.4302000105381012,0.2838099002838135,-0.14639011025428772
EvolveGCN-H,100,123,LH_170,0.35580000281333923,0.2951545715332031,-0.06064543128013611
EvolveGCN-H,100,123,LH_287,0.43059998750686646,0.30284130573272705,-0.1277586817741394
EvolveGCN-H,100,123,LH_274,0.2750000059604645,0.2728744149208069,-0.0021255910396575928
EvolveGCN-H,100,123,LH_194,0.41499999165534973,0.2856214642524719,-0.1293785274028778
EvolveGCN-H,100,123,LH_19,0.3061999976634979,0.3191845417022705,0.012984544038772583
EvolveGCN-H,100,123,LH_447,0.22059999406337738,0.26150184869766235,0.04090185463428497
EvolveGCN-H,100,123,LH_461,0.4410000145435333,0.29204005002975464,-0.1489599645137787
EvolveGCN-H,100,123,LH_429,0.34540000557899475,0.30342698097229004,-0.04197302460670471
EvolveGCN-H,100,123,LH_55,0.19020000100135803,0.31033653020858765,0.12013652920722961
EvolveGCN-H,100,123,LH_136,0.20340000092983246,0.2734873592853546,0.07008735835552216
EvolveGCN-H,100,123,LH_208,0.2937999963760376,0.3094715476036072,0.01567155122756958
EvolveGCN-H,100,123,LH_393,0.2502000033855438,0.3108714818954468,0.060671478509902954
EvolveGCN-H,100,123,LH_44,0.2962000072002411,0.30684781074523926,0.010647803544998169
EvolveGCN-H,100,123,LH_137,0.3709999918937683,0.3190862238407135,-0.05191376805305481
EvolveGCN-H,100,123,LH_26,0.17980000376701355,0.3237456679344177,0.14394566416740417
EvolveGCN-H,200,2025,LH_272,0.2809999883174896,0.3076065182685852,0.02660652995109558
EvolveGCN-H,200,2025,LH_228,0.4262000024318695,0.3379455506801605,-0.08825445175170898
EvolveGCN-H,200,2025,LH_492,0.11299999803304672,0.18946050107479095,0.07646050304174423
