universes,seed,static_experiment_name,evolve_experiment_name,static_minus_evolve_mae,static_minus_evolve_rmse,static_minus_evolve_r2,static_minus_evolve_pearson
20,42,static_gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,0.08053004617492358,0.11113841454205406,-3.1609934877058783,-1.726754664278776
20,123,static_gcn_20u_seed123_final32,evolvegcn_h_20u_seed123_final32,0.015847086906433105,0.01997623854739805,-0.25645803947970736,-0.5566947193558618
20,2025,static_gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,0.3724267731110255,0.3734994078017954,-22.340185315913175,-0.09127673493845967
50,42,static_gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,-0.013478988781571388,-0.019359431543933756,0.35214134076789694,0.6154969970709778
50,123,static_gcn_50u_seed123_final32,evolvegcn_h_50u_seed123_final32,-0.0023160241544246674,0.005037289163693351,-0.08013785742724777,-0.15490014288665227
50,2025,static_gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,0.021412236616015434,0.02448246156538844,-0.35868856937356386,-0.9668981050645067
100,42,static_gcn_u100_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,0.0013416806856791225,0.003162542894148898,-0.07785935934999522,0.6992731488539277
100,123,static_gcn_100u_seed123_final32,evolvegcn_h_100u_seed123_final32,-0.01772390007972717,-0.02150307925466631,0.3973155632888341,0.06759161146977219
100,2025,static_gcn_u100_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,0.007129414876302073,0.012121254299098772,-0.2408082288053549,-0.5434577331466184
200,42,static_gcn_200u_seed42_final32,evolvegcn_h_200u_seed42_final32,0.003776092330614725,0.013217102779476325,-0.2548017919973369,0.04606609661027876
200,123,static_gcn_200u_seed123_final32,evolvegcn_h_200u_seed123_final32,-3.058960040409897e-05,-0.0013945763738214823,0.026074316700602784,0.1519871250592825
200,2025,static_gcn_200u_seed2025_final32,evolvegcn_h_200u_seed2025_final32,-0.0005364706118901608,-0.00083660557248183,0.013118013349022739,0.007475987161377165
500,42,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,evolvegcn_h_500u_seed42_final32,0.0005804030100504676,-4.306844798929177e-05,0.0008557876368167072,-0.002094577909676529
500,123,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed123,evolvegcn_h_500u_seed123_final32,-0.0018704070647557608,-0.002269000295945428,0.040529470991269356,0.17305570394017494
500,2025,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,evolvegcn_h_500u_seed2025_final32,0.0010521586736043365,0.0010593350035187216,-0.018125215952891516,-0.08148750820659845
