universes,seed,static_minus_evolve_mae,point_type
20,42,0.08053004617492358,seed
20,123,0.015847086906433105,seed
20,2025,0.3724267731110255,seed
50,42,-0.013478988781571388,seed
50,123,-0.0023160241544246674,seed
50,2025,0.021412236616015434,seed
100,42,0.0013416806856791225,seed
100,123,-0.01772390007972717,seed
100,2025,0.007129414876302073,seed
200,42,0.003776092330614725,seed
200,123,-3.058960040409897e-05,seed
200,2025,-0.0005364706118901608,seed
500,42,0.0005804030100504676,seed
500,123,-0.0018704070647557608,seed
500,2025,0.0010521586736043365,seed
20,,0.15626796873079407,mean
50,,0.001872407893339793,mean
100,,-0.0030842681725819915,mean
200,,0.0010696773727734883,mean
500,,-7.928179370031892e-05,mean
