model,universes,seed,target,prediction,residual,plotted_y,test_mae,test_rmse,test_r2,test_pearson
EvolveGCN-H,20,2025,0.1762000024318695,0.2540130615234375,0.077813059091568,0.077813059091568,0.1010226458311081,0.11831981314209046,-0.3724072190883492,-0.9033869621565417
EvolveGCN-H,20,2025,0.42260000109672546,0.2372608631849289,-0.18533913791179657,-0.18533913791179657,0.1010226458311081,0.11831981314209046,-0.3724072190883492,-0.9033869621565417
EvolveGCN-H,20,2025,0.2802000045776367,0.240284264087677,-0.03991574048995972,-0.03991574048995972,0.1010226458311081,0.11831981314209046,-0.3724072190883492,-0.9033869621565417
Static GCN,20,42,0.4018000066280365,0.055373404175043106,-0.3464266024529934,-0.3464266024529934,0.17516184722383818,0.21411148163961694,-3.1121054009799884,-0.8687916392312691
Static GCN,20,42,0.1462000012397766,0.2630125880241394,0.11681258678436279,0.11681258678436279,0.17516184722383818,0.21411148163961694,-3.1121054009799884,-0.8687916392312691
Static GCN,20,42,0.23980000615119934,0.30204635858535767,0.062246352434158325,0.062246352434158325,0.17516184722383818,0.21411148163961694,-3.1121054009799884,-0.8687916392312691
EvolveGCN-H,50,123,0.19660000503063202,0.26338809728622437,0.06678809225559235,0.06678809225559235,0.10247249715030193,0.12100125069644337,0.05712601547643881,0.27910132306915636
EvolveGCN-H,50,123,0.42260000109672546,0.249583899974823,-0.17301610112190247,-0.17301610112190247,0.10247249715030193,0.12100125069644337,0.05712601547643881,0.27910132306915636
EvolveGCN-H,50,123,0.12020000070333481,0.2857300639152527,0.16553006321191788,0.16553006321191788,0.10247249715030193,0.12100125069644337,0.05712601547643881,0.27910132306915636
EvolveGCN-H,50,123,0.4765999913215637,0.287096232175827,-0.1895037591457367,-0.1895037591457367,0.10247249715030193,0.12100125069644337,0.05712601547643881,0.27910132306915636
EvolveGCN-H,50,123,0.17980000376701355,0.25180476903915405,0.0720047652721405,0.0720047652721405,0.10247249715030193,0.12100125069644337,0.05712601547643881,0.27910132306915636
EvolveGCN-H,50,123,0.11739999800920486,0.23312699794769287,0.115726999938488,0.115726999938488,0.10247249715030193,0.12100125069644337,0.05712601547643881,0.27910132306915636
EvolveGCN-H,50,123,0.2802000045776367,0.2528313398361206,-0.027368664741516113,-0.027368664741516113,0.10247249715030193,0.12100125069644337,0.05712601547643881,0.27910132306915636
