universes,seed,experiment_name,experiment_path,dataset_path,status,reusable_existing_run,replacement_required,replacement_reason,canonical_reference_experiment,hidden_dim,num_layers,normalization,top_n,k,graph_pooling,temporal_pooling,head_type,batch_size,epochs,patience,learning_rate,weight_decay,train_ratio,val_ratio,test_ratio,graph_rebuild_required,exact_command,notes
20,42,evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,experiments/evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,data/processed/temporal_20u_minmax/camels_20u_temporal_logmass_minmax_top100_periodic_knn.pt,planned_replacement,false,true,historical seed42 used 200 epochs instead of canonical 300,evolvegcn_h_20u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,"python3 -m src.training.train_evolvegcn_h --dataset_path data/processed/temporal_20u_minmax/camels_20u_temporal_logmass_minmax_top100_periodic_knn.pt --experiment_name evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42 --output_root experiments --seed 42 --batch_size 4 --epochs 300 --patience 40 --learning_rate 0.001 --weight_decay 0.00001 --hidden_dim 32 --num_layers 2 --dropout 0.2 --activation relu --temporal_pooling mean --graph_pooling mean --head_type mlp --add_self_loops --train_ratio 0.70 --val_ratio 0.15 --test_ratio 0.15 --grad_clip_norm 1.0 --device auto",old experiment remains excluded and untouched
20,123,evolvegcn_h_20u_seed123_final32,experiments/evolvegcn_h_20u_seed123_final32,data/processed/temporal_20u_minmax/camels_20u_temporal_logmass_minmax_top100_periodic_knn.pt,reusable_existing,true,false,,evolvegcn_h_20u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,,legacy config omits explicit activation/head defaults; source defaults are relu/mlp
20,2025,evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,experiments/evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,data/processed/temporal_20u_minmax/camels_20u_temporal_logmass_minmax_top100_periodic_knn.pt,planned_replacement,false,true,historical seed2025 used 200 epochs instead of canonical 300,evolvegcn_h_20u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,"python3 -m src.training.train_evolvegcn_h --dataset_path data/processed/temporal_20u_minmax/camels_20u_temporal_logmass_minmax_top100_periodic_knn.pt --experiment_name evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025 --output_root experiments --seed 2025 --batch_size 4 --epochs 300 --patience 40 --learning_rate 0.001 --weight_decay 0.00001 --hidden_dim 32 --num_layers 2 --dropout 0.2 --activation relu --temporal_pooling mean --graph_pooling mean --head_type mlp --add_self_loops --train_ratio 0.70 --val_ratio 0.15 --test_ratio 0.15 --grad_clip_norm 1.0 --device auto",old experiment remains excluded and untouched
50,42,evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,experiments/evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,data/processed/temporal_50u_minmax/camels_50u_temporal_logmass_minmax_top100_periodic_knn.pt,planned_replacement,false,true,historical seed42 used 200 epochs instead of canonical 300,evolvegcn_h_50u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,"python3 -m src.training.train_evolvegcn_h --dataset_path data/processed/temporal_50u_minmax/camels_50u_temporal_logmass_minmax_top100_periodic_knn.pt --experiment_name evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42 --output_root experiments --seed 42 --batch_size 4 --epochs 300 --patience 40 --learning_rate 0.001 --weight_decay 0.00001 --hidden_dim 32 --num_layers 2 --dropout 0.2 --activation relu --temporal_pooling mean --graph_pooling mean --head_type mlp --add_self_loops --train_ratio 0.70 --val_ratio 0.15 --test_ratio 0.15 --grad_clip_norm 1.0 --device auto",old experiment remains excluded and untouched
50,123,evolvegcn_h_50u_seed123_final32,experiments/evolvegcn_h_50u_seed123_final32,data/processed/temporal_50u_minmax/camels_50u_temporal_logmass_minmax_top100_periodic_knn.pt,reusable_existing,true,false,,evolvegcn_h_50u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,,legacy config omits explicit activation/head defaults; source defaults are relu/mlp
50,2025,evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,experiments/evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,data/processed/temporal_50u_minmax/camels_50u_temporal_logmass_minmax_top100_periodic_knn.pt,planned_replacement,false,true,historical seed2025 used 200 epochs instead of canonical 300,evolvegcn_h_50u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,"python3 -m src.training.train_evolvegcn_h --dataset_path data/processed/temporal_50u_minmax/camels_50u_temporal_logmass_minmax_top100_periodic_knn.pt --experiment_name evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025 --output_root experiments --seed 2025 --batch_size 4 --epochs 300 --patience 40 --learning_rate 0.001 --weight_decay 0.00001 --hidden_dim 32 --num_layers 2 --dropout 0.2 --activation relu --temporal_pooling mean --graph_pooling mean --head_type mlp --add_self_loops --train_ratio 0.70 --val_ratio 0.15 --test_ratio 0.15 --grad_clip_norm 1.0 --device auto",old experiment remains excluded and untouched
100,42,evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,experiments/evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,data/processed/temporal_100u_minmax/camels_100u_temporal_logmass_minmax_top100_periodic_knn.pt,planned_replacement,false,true,historical seed42 used 200 epochs instead of canonical 300,evolvegcn_h_100u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,"python3 -m src.training.train_evolvegcn_h --dataset_path data/processed/temporal_100u_minmax/camels_100u_temporal_logmass_minmax_top100_periodic_knn.pt --experiment_name evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42 --output_root experiments --seed 42 --batch_size 4 --epochs 300 --patience 40 --learning_rate 0.001 --weight_decay 0.00001 --hidden_dim 32 --num_layers 2 --dropout 0.2 --activation relu --temporal_pooling mean --graph_pooling mean --head_type mlp --add_self_loops --train_ratio 0.70 --val_ratio 0.15 --test_ratio 0.15 --grad_clip_norm 1.0 --device auto",old experiment remains excluded and untouched
100,123,evolvegcn_h_100u_seed123_final32,experiments/evolvegcn_h_100u_seed123_final32,data/processed/temporal_100u_minmax/camels_100u_temporal_logmass_minmax_top100_periodic_knn.pt,reusable_existing,true,false,,evolvegcn_h_100u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,,legacy config omits explicit activation/head defaults; source defaults are relu/mlp
100,2025,evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,experiments/evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,data/processed/temporal_100u_minmax/camels_100u_temporal_logmass_minmax_top100_periodic_knn.pt,planned_replacement,false,true,historical seed2025 used 200 epochs instead of canonical 300,evolvegcn_h_100u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,"python3 -m src.training.train_evolvegcn_h --dataset_path data/processed/temporal_100u_minmax/camels_100u_temporal_logmass_minmax_top100_periodic_knn.pt --experiment_name evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025 --output_root experiments --seed 2025 --batch_size 4 --epochs 300 --patience 40 --learning_rate 0.001 --weight_decay 0.00001 --hidden_dim 32 --num_layers 2 --dropout 0.2 --activation relu --temporal_pooling mean --graph_pooling mean --head_type mlp --add_self_loops --train_ratio 0.70 --val_ratio 0.15 --test_ratio 0.15 --grad_clip_norm 1.0 --device auto",old experiment remains excluded and untouched
200,42,evolvegcn_h_200u_seed42_final32,experiments/evolvegcn_h_200u_seed42_final32,data/processed/temporal_200u_minmax/camels_200u_temporal_logmass_minmax_top100_periodic_knn.pt,reusable_existing,true,false,,evolvegcn_h_200u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,,compatible existing canonical run
200,123,evolvegcn_h_200u_seed123_final32,experiments/evolvegcn_h_200u_seed123_final32,data/processed/temporal_200u_minmax/camels_200u_temporal_logmass_minmax_top100_periodic_knn.pt,reusable_existing,true,false,,evolvegcn_h_200u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,,compatible existing canonical run
200,2025,evolvegcn_h_200u_seed2025_final32,experiments/evolvegcn_h_200u_seed2025_final32,data/processed/temporal_200u_minmax/camels_200u_temporal_logmass_minmax_top100_periodic_knn.pt,reusable_existing,true,false,,evolvegcn_h_200u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,,compatible existing canonical run
500,42,evolvegcn_h_500u_seed42_final32,experiments/evolvegcn_h_500u_seed42_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,reusable_existing,true,false,,evolvegcn_h_500u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,,compatible existing canonical run
500,123,evolvegcn_h_500u_seed123_final32,experiments/evolvegcn_h_500u_seed123_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,reusable_existing,true,false,,evolvegcn_h_500u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,,compatible existing canonical run
500,2025,evolvegcn_h_500u_seed2025_final32,experiments/evolvegcn_h_500u_seed2025_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,reusable_existing,true,false,,evolvegcn_h_500u_seed123_final32,32,2,minmax,100,8,mean,mean,mlp,4,300,40,0.001,0.00001,0.70,0.15,0.15,false,,compatible existing canonical run
