model,hidden_dim,num_layers,batch_size,k,seed,action,experiment_name,experiment_path,dataset_path,split_source,split_signature,artifact_status,selected_by_dry_run,compatibility,incompatibility_reason,execution_order
EvolveGCN-H,32,2,4,4,42,run_if_missing,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed42,experiments/evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,missing 0/5,yes,planned compatible,,1
EvolveGCN-H,32,2,4,4,123,run_if_missing,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed123,experiments/evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed123,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,missing 0/5,yes,planned compatible,,2
EvolveGCN-H,32,2,4,4,2025,run_if_missing,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed2025,experiments/evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed2025,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,missing 0/5,yes,planned compatible,,3
EvolveGCN-H,32,2,4,6,42,run_if_missing,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed42,experiments/evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,missing 0/5,yes,planned compatible,,4
EvolveGCN-H,32,2,4,6,123,run_if_missing,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed123,experiments/evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed123,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,missing 0/5,yes,planned compatible,,5
EvolveGCN-H,32,2,4,6,2025,run_if_missing,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed2025,experiments/evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed2025,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,missing 0/5,yes,planned compatible,,6
EvolveGCN-H,32,2,4,8,42,reuse,evolvegcn_h_500u_seed42_final32,experiments/evolvegcn_h_500u_seed42_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,complete 5/5,no,verified compatible,,
EvolveGCN-H,32,2,4,8,123,reuse,evolvegcn_h_500u_seed123_final32,experiments/evolvegcn_h_500u_seed123_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,complete 5/5,no,verified compatible,,
EvolveGCN-H,32,2,4,8,2025,reuse,evolvegcn_h_500u_seed2025_final32,experiments/evolvegcn_h_500u_seed2025_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,complete 5/5,no,verified compatible,,
EvolveGCN-H,32,2,4,12,42,run_if_missing,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed42,experiments/evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,missing 0/5,yes,planned compatible,,7
EvolveGCN-H,32,2,4,12,123,run_if_missing,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed123,experiments/evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed123,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,missing 0/5,yes,planned compatible,,8
EvolveGCN-H,32,2,4,12,2025,run_if_missing,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed2025,experiments/evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed2025,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,missing 0/5,yes,planned compatible,,9
EvolveGCN-H,64,2,4,4,42,reuse,evolvegcn_h_500u_k4_seed42,experiments/evolvegcn_h_500u_k4_seed42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,complete 5/5,no,verified compatible,,
