model_family,universe_count,seed,experiment_name,experiment_path,include_in_canonical_final32_scaling,exclusion_or_inclusion_reason,dataset_path,dataset_exists,dataset_format,top_n,normalization,hidden_dim,num_layers,dropout,batch_size,epochs,patience,learning_rate,weight_decay,train_ratio,val_ratio,test_ratio,train_count,val_count,test_count,split_signature,test_mae,test_rmse,test_r2
EvolveGCN-H,20,42,evolvegcn_h_20u_seed42,experiments/evolvegcn_h_20u_seed42,False,"exclude: epochs=200, while final32 canonical protocol uses epochs=300",data/processed/temporal_20u_minmax/camels_20u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,200,40,0.001,1e-05,0.7,0.15,0.15,14,3,3,8246ee9ebe2049dc93fc591273cd7f0b88b866457698a15d0cbff1f3d4adf1e4,0.0946318010489146,0.10297306709756288,0.0488880867259
EvolveGCN-H,20,123,evolvegcn_h_20u_seed123_final32,experiments/evolvegcn_h_20u_seed123_final32,True,include: matches final32 h32 protocol,data/processed/temporal_20u_minmax/camels_20u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,300,40,0.001,1e-05,0.7,0.15,0.15,14,3,3,18cc535a6096613ad5027c8a49e694d03f68bf6bdea885deae339834767d6e94,0.10589082042376201,0.11243401456713151,0.337160932926
EvolveGCN-H,20,2025,evolvegcn_h_20u_seed2025,experiments/evolvegcn_h_20u_seed2025,False,"exclude: epochs=200, while final32 canonical protocol uses epochs=300",data/processed/temporal_20u_minmax/camels_20u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,200,40,0.001,1e-05,0.7,0.15,0.15,14,3,3,679c041adaddfed299f27e7c449c7ea7ea6389a50773c147fab6d8c9536287c4,0.1010226458311081,0.11831981314209046,-0.372407219088
EvolveGCN-H,50,42,evolvegcn_h_50u_seed42,experiments/evolvegcn_h_50u_seed42,False,"exclude: epochs=200, while final32 canonical protocol uses epochs=300",data/processed/temporal_50u_minmax/camels_50u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,200,40,0.001,1e-05,0.7,0.15,0.15,35,7,8,3f1bb07bf3ffd11b6f0c9ffae1a8aa481fde8a4f318e94f2e16df87a32429441,0.09351505432277918,0.11421601841553629,-0.134961983165
EvolveGCN-H,50,123,evolvegcn_h_50u_seed123_final32,experiments/evolvegcn_h_50u_seed123_final32,True,include: matches final32 h32 protocol,data/processed/temporal_50u_minmax/camels_50u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,300,40,0.001,1e-05,0.7,0.15,0.15,35,7,8,6ac61478b05188ac895394062da6498738335cb5ccf804ffe8c845925588c86b,0.10247249715030193,0.12100125069644337,0.0571260154764
EvolveGCN-H,50,2025,evolvegcn_h_50u_seed2025,experiments/evolvegcn_h_50u_seed2025,False,"exclude: epochs=200, while final32 canonical protocol uses epochs=300",data/processed/temporal_50u_minmax/camels_50u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,200,40,0.001,1e-05,0.7,0.15,0.15,35,7,8,c969d63ce51ff5a884437db64e8fc0edae0da953148e3a941b9c48c070b7cc1c,0.12738484796136618,0.13890090140714226,0.0649021822301
EvolveGCN-H,100,42,evolvegcn_h_100u_seed42,experiments/evolvegcn_h_100u_seed42,False,"exclude: epochs=200, while final32 canonical protocol uses epochs=300",data/processed/temporal_100u_minmax/camels_100u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,200,40,0.001,1e-05,0.7,0.15,0.15,70,15,15,e99c4a8130ac456f25ffec8245a39d55fda67a75979eee665290e3053c8c0db5,0.07925979395707448,0.10601687337354565,-0.285847918304
EvolveGCN-H,100,123,evolvegcn_h_100u_seed123_final32,experiments/evolvegcn_h_100u_seed123_final32,True,include: matches final32 h32 protocol,data/processed/temporal_100u_minmax/camels_100u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,300,40,0.001,1e-05,0.7,0.15,0.15,70,15,15,fe4c218591eb7a787b40e36732994236ab5c6d69668fe588e426085ff23e3400,0.1262190709511439,0.14484999299933063,-0.445500060119
EvolveGCN-H,100,2025,evolvegcn_h_100u_seed2025,experiments/evolvegcn_h_100u_seed2025,False,"exclude: epochs=200, while final32 canonical protocol uses epochs=300",data/processed/temporal_100u_minmax/camels_100u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,200,40,0.001,1e-05,0.7,0.15,0.15,70,15,15,099813117bd76db005ba1398bb04562bc83efa390e98b3791a0e8df48b2e3a95,0.08814333279927572,0.10429807869825655,0.020871295697
EvolveGCN-H,200,42,evolvegcn_h_200u_seed42_final32,experiments/evolvegcn_h_200u_seed42_final32,True,include: matches final32 h32 protocol,data/processed/temporal_200u_minmax/camels_200u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,300,40,0.001,1e-05,0.7,0.15,0.15,140,30,30,5a998020d49bb8a2eeb36455c600ff4a47e77da42364f8e96c82f5f0bba27d09,0.09758373474081357,0.11099666591965886,-0.00978634601816
