universes,seed,origin,action,experiment_name,experiment_path,dataset_path,dataset_format,split_config_path,batch_size,epochs,hidden_dim,num_layers,graph_pooling,conv_type,status_expected
20,42,canonical_replacement,run_if_missing,static_gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,experiments/static_gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,data/processed/static_20u_logmass_minmax_top100_periodic_knn/camels_20u_static_logmass_minmax_top100_periodic_knn.pt,static,experiments/evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42/config.json,8,300,32,2,mean,gcn,missing_runnable
20,123,reusable_existing,reuse,static_gcn_20u_seed123_final32,experiments/static_gcn_20u_seed123_final32,data/processed/static_20u_logmass_minmax_top100_periodic_knn/camels_20u_static_logmass_minmax_top100_periodic_knn.pt,static,experiments/evolvegcn_h_20u_seed123_final32/config.json,8,300,32,2,mean,gcn,complete_reused
20,2025,canonical_replacement,run_if_missing,static_gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,experiments/static_gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,data/processed/static_20u_logmass_minmax_top100_periodic_knn/camels_20u_static_logmass_minmax_top100_periodic_knn.pt,static,experiments/evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025/config.json,8,300,32,2,mean,gcn,missing_runnable
50,42,canonical_replacement,run_if_missing,static_gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,experiments/static_gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,data/processed/static_50u_logmass_minmax_top100_periodic_knn/camels_50u_static_logmass_minmax_top100_periodic_knn.pt,static,experiments/evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42/config.json,8,300,32,2,mean,gcn,missing_runnable
50,123,reusable_existing,reuse,static_gcn_50u_seed123_final32,experiments/static_gcn_50u_seed123_final32,data/processed/static_50u_logmass_minmax_top100_periodic_knn/camels_50u_static_logmass_minmax_top100_periodic_knn.pt,static,experiments/evolvegcn_h_50u_seed123_final32/config.json,8,300,32,2,mean,gcn,complete_reused
50,2025,canonical_replacement,run_if_missing,static_gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,experiments/static_gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,data/processed/static_50u_logmass_minmax_top100_periodic_knn/camels_50u_static_logmass_minmax_top100_periodic_knn.pt,static,experiments/evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025/config.json,8,300,32,2,mean,gcn,missing_runnable
100,42,canonical_replacement,run_if_missing,static_gcn_u100_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,experiments/static_gcn_u100_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,data/processed/static_100u_logmass_minmax_top100_periodic_knn/camels_100u_static_logmass_minmax_top100_periodic_knn.pt,static,experiments/evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42/config.json,8,300,32,2,mean,gcn,missing_runnable
100,123,reusable_existing,reuse,static_gcn_100u_seed123_final32,experiments/static_gcn_100u_seed123_final32,data/processed/static_100u_logmass_minmax_top100_periodic_knn/camels_100u_static_logmass_minmax_top100_periodic_knn.pt,static,experiments/evolvegcn_h_100u_seed123_final32/config.json,8,300,32,2,mean,gcn,complete_reused
100,2025,canonical_replacement,run_if_missing,static_gcn_u100_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,experiments/static_gcn_u100_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,data/processed/static_100u_logmass_minmax_top100_periodic_knn/camels_100u_static_logmass_minmax_top100_periodic_knn.pt,static,experiments/evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025/config.json,8,300,32,2,mean,gcn,missing_runnable
200,42,reusable_existing,reuse,static_gcn_200u_seed42_final32,experiments/static_gcn_200u_seed42_final32,data/processed/static_200u_logmass_minmax_top100_periodic_knn/camels_200u_static_logmass_minmax_top100_periodic_knn.pt,static,experiments/evolvegcn_h_200u_seed42_final32/config.json,8,300,32,2,mean,gcn,complete_reused
