family,model,universes,top_n,normalization,k,hidden_dim,layers,dropout,graph_pooling,temporal_pooling,head,batch_size,epochs,patience,learning_rate,weight_decay,seed,split_signature,test_mae,compatibility,reuse,rationale,evidence_path
universe_scaling,EvolveGCN-H,20,100,minmax,8,32,2,0.2,mean,mean,mlp,4,200,40,0.001,1e-05,42,8246ee9ebe2049dc93fc591273cd7f0b88b866457698a15d0cbff1f3d4adf1e4,0.094631801049,incompatible,no,epochs 200 not 300,experiments/evolvegcn_h_20u_seed42
universe_scaling,EvolveGCN-H,20,100,minmax,8,32,2,0.2,mean,mean,mlp,4,300,40,0.001,1e-05,123,18cc535a6096613ad5027c8a49e694d03f68bf6bdea885deae339834767d6e94,0.105890820424,compatible,yes,canonical reference,experiments/evolvegcn_h_20u_seed123_final32
universe_scaling,EvolveGCN-H,20,100,minmax,8,32,2,0.2,mean,mean,mlp,4,200,40,0.001,1e-05,2025,679c041adaddfed299f27e7c449c7ea7ea6389a50773c147fab6d8c9536287c4,0.101022645831,incompatible,no,epochs 200 not 300,experiments/evolvegcn_h_20u_seed2025
universe_scaling,EvolveGCN-H,50,100,minmax,8,32,2,0.2,mean,mean,mlp,4,200,40,0.001,1e-05,42,3f1bb07bf3ffd11b6f0c9ffae1a8aa481fde8a4f318e94f2e16df87a32429441,0.093515054323,incompatible,no,epochs 200 not 300,experiments/evolvegcn_h_50u_seed42
universe_scaling,EvolveGCN-H,50,100,minmax,8,32,2,0.2,mean,mean,mlp,4,300,40,0.001,1e-05,123,6ac61478b05188ac895394062da6498738335cb5ccf804ffe8c845925588c86b,0.102472497150,compatible,yes,canonical reference,experiments/evolvegcn_h_50u_seed123_final32
universe_scaling,EvolveGCN-H,50,100,minmax,8,32,2,0.2,mean,mean,mlp,4,200,40,0.001,1e-05,2025,c969d63ce51ff5a884437db64e8fc0edae0da953148e3a941b9c48c070b7cc1c,0.127384847961,incompatible,no,epochs 200 not 300,experiments/evolvegcn_h_50u_seed2025
universe_scaling,EvolveGCN-H,100,100,minmax,8,32,2,0.2,mean,mean,mlp,4,200,40,0.001,1e-05,42,e99c4a8130ac456f25ffec8245a39d55fda67a75979eee665290e3053c8c0db5,0.079259793957,incompatible,no,epochs 200 not 300,experiments/evolvegcn_h_100u_seed42
universe_scaling,EvolveGCN-H,100,100,minmax,8,32,2,0.2,mean,mean,mlp,4,300,40,0.001,1e-05,123,fe4c218591eb7a787b40e36732994236ab5c6d69668fe588e426085ff23e3400,0.126219070951,compatible,yes,canonical reference,experiments/evolvegcn_h_100u_seed123_final32
universe_scaling,EvolveGCN-H,100,100,minmax,8,32,2,0.2,mean,mean,mlp,4,200,40,0.001,1e-05,2025,099813117bd76db005ba1398bb04562bc83efa390e98b3791a0e8df48b2e3a95,0.088143332799,incompatible,no,epochs 200 not 300,experiments/evolvegcn_h_100u_seed2025
universe_scaling,EvolveGCN-H,200,100,minmax,8,32,2,0.2,mean,mean,mlp,4,300,40,0.001,1e-05,42,5a998020d49bb8a2eeb36455c600ff4a47e77da42364f8e96c82f5f0bba27d09,0.097583734741,compatible,yes,all fields match,experiments/evolvegcn_h_200u_seed42_final32
