experiment_family,family_name,scientific_question,changed_variable,fixed_variables,comparison_quality,model,universes,top_n,normalization,graph_pooling,temporal_pooling,head_type,seeds,independent_seed_count,missing_seeds,mean_test_mae,std_test_mae,mean_test_rmse,std_test_rmse,mean_test_r2,std_test_r2,best_experiment,best_seed,best_test_mae,notebook_or_report,evidence_status,scientific_conclusion,remaining_uncertainty
archived_experiment,evolvegcn-h_u100_top100_norm-minmax_h64_l2_gpool-mean_tpool-mean_head-mlp,What evidence does this experiment family provide?,,model=EvolveGCNHRegressor;universes=100;top_n=100;normalization=minmax;hidden_dim=64;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,unknown,EvolveGCNHRegressor,100,100,minmax,mean,mean,mlp,123,1,"42,2025",0.113278767467,0,0.131256494333,0,-0.186923581536,0,evolvegcn_h_100u_seed123,123,0.113278767467,notebooks/visualization/02_graph_models_20u_to_200u_scaling_results.ipynb;notebooks/visualization/03_graph_models_20u_to_500u_clean_results.ipynb,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
archived_experiment,evolvegcn-h_u200_top100_norm-minmax_h64_l2_gpool-mean_tpool-mean_head-mlp,What evidence does this experiment family provide?,,model=EvolveGCNHRegressor;universes=200;top_n=100;normalization=minmax;hidden_dim=64;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,unknown,EvolveGCNHRegressor,200,100,minmax,mean,mean,mlp,"42,123,2025",3,,0.099852647384,0.0132365862189,0.114716311256,0.01152273481,0.00220350544432,0.0124004511355,evolvegcn_h_200u_seed123,123,0.0878187805414,notebooks/visualization/02_graph_models_20u_to_200u_scaling_results.ipynb;notebooks/visualization/03_graph_models_20u_to_500u_clean_results.ipynb,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
archived_experiment,evolvegcn-h_u20_top100_norm-minmax_h64_l2_gpool-mean_tpool-mean_head-mlp,What evidence does this experiment family provide?,,model=EvolveGCNHRegressor;universes=20;top_n=100;normalization=minmax;hidden_dim=64;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,unknown,EvolveGCNHRegressor,20,100,minmax,mean,mean,mlp,123,1,"42,2025",0.117254565159,0,0.119304469825,0,0.253678261168,0,evolvegcn_h_20u_seed123,123,0.117254565159,notebooks/visualization/02_graph_models_20u_to_200u_scaling_results.ipynb;notebooks/visualization/03_graph_models_20u_to_500u_clean_results.ipynb,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
archived_experiment,evolvegcn-h_u50_top100_norm-minmax_h64_l2_gpool-mean_tpool-mean_head-mlp,What evidence does this experiment family provide?,,model=EvolveGCNHRegressor;universes=50;top_n=100;normalization=minmax;hidden_dim=64;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,unknown,EvolveGCNHRegressor,50,100,minmax,mean,mean,mlp,123,1,"42,2025",0.1022681389,0,0.122293405307,0,0.0368808660949,0,evolvegcn_h_50u_seed123,123,0.1022681389,notebooks/visualization/02_graph_models_20u_to_200u_scaling_results.ipynb;notebooks/visualization/03_graph_models_20u_to_500u_clean_results.ipynb,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
archived_experiment,static-gcn_u100_top100_norm-minmax_h64_l3_gpool-mean_tpool-na_head-na,What evidence does this experiment family provide?,,model=StaticGCNRegressor;universes=100;top_n=100;normalization=minmax;hidden_dim=64;num_layers=3;graph_pooling=mean;temporal_pooling=;head_type=,unknown,StaticGCNRegressor,100,100,minmax,mean,,,123,1,"42,2025",0.112701262037,0,0.132041422574,0,-0.201161894514,0,static_gcn_100u_seed123,123,0.112701262037,notebooks/visualization/02_graph_models_20u_to_200u_scaling_results.ipynb;notebooks/visualization/03_graph_models_20u_to_500u_clean_results.ipynb,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
archived_experiment,static-gcn_u200_top100_norm-minmax_h64_l3_gpool-mean_tpool-na_head-na,What evidence does this experiment family provide?,,model=StaticGCNRegressor;universes=200;top_n=100;normalization=minmax;hidden_dim=64;num_layers=3;graph_pooling=mean;temporal_pooling=;head_type=,unknown,StaticGCNRegressor,200,100,minmax,mean,,,"42,123,2025",3,,0.102428755495,0.0128171171125,0.116421963496,0.0115222439005,-0.0287686223188,0.0582826450057,static_gcn_200u_seed123,123,0.0903731256723,notebooks/visualization/02_graph_models_20u_to_200u_scaling_results.ipynb;notebooks/visualization/03_graph_models_20u_to_500u_clean_results.ipynb,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
archived_experiment,static-gcn_u20_top100_norm-minmax_h64_l3_gpool-mean_tpool-na_head-na,What evidence does this experiment family provide?,,model=StaticGCNRegressor;universes=20;top_n=100;normalization=minmax;hidden_dim=64;num_layers=3;graph_pooling=mean;temporal_pooling=;head_type=,unknown,StaticGCNRegressor,20,100,minmax,mean,,,123,1,"42,2025",0.162195717295,0,0.169952293128,0,-0.514491078212,0,static_gcn_20u_seed123,123,0.162195717295,notebooks/visualization/02_graph_models_20u_to_200u_scaling_results.ipynb;notebooks/visualization/03_graph_models_20u_to_500u_clean_results.ipynb,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
archived_experiment,static-gcn_u50_top100_norm-minmax_h64_l3_gpool-mean_tpool-na_head-na,What evidence does this experiment family provide?,,model=StaticGCNRegressor;universes=50;top_n=100;normalization=minmax;hidden_dim=64;num_layers=3;graph_pooling=mean;temporal_pooling=;head_type=,unknown,StaticGCNRegressor,50,100,minmax,mean,,,123,1,"42,2025",0.141347678378,0,0.178477192475,0,-1.05134820518,0,static_gcn_50u_seed123,123,0.141347678378,notebooks/visualization/02_graph_models_20u_to_200u_scaling_results.ipynb;notebooks/visualization/03_graph_models_20u_to_500u_clean_results.ipynb,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
debug_overfit,evolvegcn-h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp,What evidence does this experiment family provide?,,model=EvolveGCNHRegressor;universes=20;top_n=100;normalization=minmax;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,not_applicable,EvolveGCNHRegressor,20,100,minmax,mean,mean,mlp,42,1,"123,2025",0.056857585907,0,0.0747836740227,0,-1.5534175768,0,debug_overfit_evolvegcn_h_20u_h32_dropout0,42,0.056857585907,,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
debug_overfit,evolvegcn-h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp,What evidence does this experiment family provide?,,model=EvolveGCNHRegressor;universes=50;top_n=100;normalization=minmax;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,not_applicable,EvolveGCNHRegressor,50,100,minmax,mean,mean,mlp,42,1,"123,2025",0.0640481233597,0,0.0801523234034,0,-0.00244235906145,0,debug_overfit_evolvegcn_h_50u_h32_dropout0,42,0.0640481233597,,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
