model,hidden_dim,k,seed,experiment_name,experiment_path,dataset_path,artifact_completeness,split_signature,test_mae,test_rmse,test_r2,test_pearson,target_mean,prediction_mean,target_std,prediction_std,prediction_std_ratio,repeated_prediction_fraction,best_epoch,num_layers,batch_size,canonical_status,compatibility_note
EvolveGCN-H,32,8,42,evolvegcn_h_500u_seed42_final32,experiments/evolvegcn_h_500u_seed42_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,5/5 complete,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08653705775737762,0.10205947521376181,-0.014195702403178245,0.02095029129271221,0.2916933327913284,0.30393179893493655,0.10202514478236673,0.0028651419512687993,0.028082704095941546,0.0,8,2,4,canonical,clean within-model h32 row
EvolveGCN-H,32,8,123,evolvegcn_h_500u_seed123_final32,experiments/evolvegcn_h_500u_seed123_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,5/5 complete,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09924482007821402,0.11675728841112959,-0.05300625110331092,-0.11775060121440831,0.29364533245563507,0.2960963030656179,0.11454688870034196,0.01603035539138861,0.13994579489037445,0.0,65,2,4,canonical,clean within-model h32 row
EvolveGCN-H,32,8,2025,evolvegcn_h_500u_seed2025_final32,experiments/evolvegcn_h_500u_seed2025_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,5/5 complete,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10510393093029657,0.12090740337632606,-0.029850955944742852,-0.008910449300924321,0.29471200038989387,0.31502074241638184,0.11994453853216079,0.0024780955379836234,0.02066034492532705,0.0,5,2,4,canonical,clean within-model h32 row
EvolveGCN-H,64,8,42,evolvegcn_h_500u_k8_h64_seed42,experiments/evolvegcn_h_500u_k8_h64_seed42,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,5/5 complete,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08632708887259165,0.1019857631142654,-0.012731232840953455,0.06361090295740716,0.2916933327913284,0.3048061148325602,0.10202514478236673,0.0070993191243620985,0.0695840142104762,0.0,9,2,4,canonical,clean within-model h64 row
EvolveGCN-H,64,8,123,evolvegcn_h_500u_k8_h64_seed123,experiments/evolvegcn_h_500u_k8_h64_seed123,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,5/5 complete,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09715090890725454,0.11527576105986659,-0.026452708498044153,-0.061257574640552176,0.29364533245563507,0.29338499426841735,0.11454688870034196,0.012889250374614313,0.11252379284026624,0.0,4,2,4,canonical,clean within-model h64 row
EvolveGCN-H,64,8,2025,evolvegcn_h_500u_k8_h64_seed2025,experiments/evolvegcn_h_500u_k8_h64_seed2025,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,5/5 complete,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10620805531740189,0.12195795212845643,-0.047825188923717565,0.00399478142179792,0.29471200038989387,0.3185505374272664,0.11994453853216079,0.011077294210662133,0.09235346891340095,0.0,12,2,4,canonical,clean within-model h64 row
Static GCN,32,8,42,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,experiments/static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,5/5 complete,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08711746076742809,0.10201640676577252,-0.013339914766361538,0.018855713383035683,0.2916933327913284,0.30203171730041506,0.10202514478236673,0.007774500563749401,0.07620180868484382,0.02666666666666667,22,2,8,canonical with caveat,depth differs from h64
Static GCN,32,8,123,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed123,experiments/static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed123,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,5/5 complete,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09737441301345826,0.11448828811518416,-0.012476780112041563,0.05530510272576662,0.29364533245563507,0.2942966717481613,0.11454688870034196,0.02059722574610602,0.17981479881124462,0.0,2,2,8,canonical with caveat,depth differs from h64
Static GCN,32,8,2025,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,experiments/static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,5/5 complete,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10615608960390091,0.12196673837984479,-0.04797617189763437,-0.09039795750752276,0.29471200038989387,0.3143369690577189,0.11994453853216079,0.009588594468172973,0.07994190136136943,0.0,20,2,8,canonical with caveat,depth differs from h64
Static GCN,64,8,42,static_gcn_500u_k8_h64_seed42,experiments/static_gcn_500u_k8_h64_seed42,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,5/5 complete,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08651282290617625,0.10176990792465859,-0.008448832117661453,-0.1226299445683225,0.2916933327913284,0.300525563955307,0.10202514478236673,0.0003500809841433801,0.003431320630714611,0.9733333333333334,20,3,8,canonical with caveat,depth differs from h32
Static GCN,64,8,123,static_gcn_500u_k8_h64_seed123,experiments/static_gcn_500u_k8_h64_seed123,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,5/5 complete,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09774443527062734,0.11451923878624852,-0.013024278412259394,-0.023024760096730715,0.29364533245563507,0.2865687867005666,0.11454688870034196,0.00863614541723967,0.07539397634650803,0.7866666666666666,15,3,8,canonical with caveat,depth differs from h32
Static GCN,64,8,2025,static_gcn_500u_k8_h64_seed2025,experiments/static_gcn_500u_k8_h64_seed2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,5/5 complete,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10462687879800797,0.12088861028048917,-0.029530833553015112,-0.05520036015987222,0.29471200038989387,0.30792268792788186,0.11994453853216079,0.01046139929028921,0.08721863803314554,0.0,13,3,8,canonical with caveat,depth differs from h32
