model,k,seed,experiment_name,experiment_path,dataset_path,dataset_metadata_path,hidden_dim,num_layers,batch_size,epochs,normalization,top_n,split_signature,artifact_status,compatibility,reusable,duplicate_status,test_mae,test_rmse,test_r2,test_pearson,target_std,prediction_std,prediction_std_ratio,repeated_prediction_fraction,metric_check,exact_incompatibility_reason
EvolveGCN-H,4,42,evolvegcn_h_500u_k4_seed42,experiments/evolvegcn_h_500u_k4_seed42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.metadata.json,64,2,4,300,minmax,100,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,5/5 complete,canonical_h64_compatible,yes,unique,0.0859798703591,0.101656274917,-0.00619808627852,0.111796801792,0.102025144782,0.0095774064332,0.0938730001671,0,pass,
EvolveGCN-H,4,123,evolvegcn_h_500u_k4_seed123,experiments/evolvegcn_h_500u_k4_seed123,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.metadata.json,64,2,4,300,minmax,100,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,5/5 complete,canonical_h64_compatible,yes,unique,0.0977921324968,0.116063122813,-0.0405224429005,-0.103613511017,0.1145468887,0.0139516521971,0.121798613262,0,pass,
EvolveGCN-H,4,2025,evolvegcn_h_500u_k4_seed2025,experiments/evolvegcn_h_500u_k4_seed2025,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.metadata.json,64,2,4,300,minmax,100,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,5/5 complete,canonical_h64_compatible,yes,unique,0.109546070397,0.124934902469,-0.0996035975958,-0.0714414620737,0.119944538532,0.0150441206762,0.125425641387,0,pass,
EvolveGCN-H,6,42,evolvegcn_h_500u_k6_seed42,experiments/evolvegcn_h_500u_k6_seed42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.metadata.json,64,2,4,300,minmax,100,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,5/5 complete,canonical_h64_compatible,yes,unique,0.0866835004091,0.102421237308,-0.0213983225724,0.0666194566069,0.102025144782,0.00668746174663,0.065547191929,0,pass,
EvolveGCN-H,6,123,evolvegcn_h_500u_k6_seed123,experiments/evolvegcn_h_500u_k6_seed123,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.metadata.json,64,2,4,300,minmax,100,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,5/5 complete,canonical_h64_compatible,yes,unique,0.0975830302636,0.116150943612,-0.0420976906111,-0.110652287318,0.1145468887,0.0135733197052,0.118495751907,0,pass,
EvolveGCN-H,6,2025,evolvegcn_h_500u_k6_seed2025,experiments/evolvegcn_h_500u_k6_seed2025,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.metadata.json,64,2,4,300,minmax,100,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,5/5 complete,canonical_h64_compatible,yes,unique,0.106419191658,0.122124286849,-0.0506853314677,-0.0249036558301,0.119944538532,0.00995389626879,0.0829874906402,0,pass,
EvolveGCN-H,8,42,evolvegcn_h_500u_k8_h64_seed42,experiments/evolvegcn_h_500u_k8_h64_seed42,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.metadata.json,64,2,4,300,minmax,100,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,5/5 complete,canonical_h64_compatible,yes,unique replacement not duplicate,0.0863270888726,0.101985763114,-0.012731232841,0.0636109029574,0.102025144782,0.00709931912436,0.0695840142105,0,pass,
EvolveGCN-H,8,123,evolvegcn_h_500u_k8_h64_seed123,experiments/evolvegcn_h_500u_k8_h64_seed123,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.metadata.json,64,2,4,300,minmax,100,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,5/5 complete,canonical_h64_compatible,yes,unique replacement not duplicate,0.0971509089073,0.11527576106,-0.026452708498,-0.0612575746406,0.1145468887,0.0128892503746,0.11252379284,0,pass,
EvolveGCN-H,8,2025,evolvegcn_h_500u_k8_h64_seed2025,experiments/evolvegcn_h_500u_k8_h64_seed2025,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.metadata.json,64,2,4,300,minmax,100,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,5/5 complete,canonical_h64_compatible,yes,unique replacement not duplicate,0.106208055317,0.121957952128,-0.0478251889237,0.0039947814218,0.119944538532,0.0110772942107,0.0923534689134,0,pass,
EvolveGCN-H,12,42,evolvegcn_h_500u_k12_seed42,experiments/evolvegcn_h_500u_k12_seed42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.metadata.json,64,2,4,300,minmax,100,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,5/5 complete,canonical_h64_compatible,yes,unique,0.0858705474933,0.100863535168,0.00943386708365,0.0999738221524,0.102025144782,0.0115836914889,0.113537613826,0,pass,
