model,hidden_dim,num_layers,k,seed,candidate_experiment,dataset_path,split_source,artifact_completeness,reusable,incompatible,missing,replacement_required,exact_incompatibility_reason,proposed_new_experiment_name
EvolveGCN-H,32,2,4,42,none,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,missing 0/5,no,no,yes,no,no h32/L2 artifact exists for this k and seed,evolvegcn_h_500u_k4_h32_l2_seed42
EvolveGCN-H,32,2,4,123,none,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,missing 0/5,no,no,yes,no,no h32/L2 artifact exists for this k and seed,evolvegcn_h_500u_k4_h32_l2_seed123
EvolveGCN-H,32,2,4,2025,none,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,missing 0/5,no,no,yes,no,no h32/L2 artifact exists for this k and seed,evolvegcn_h_500u_k4_h32_l2_seed2025
EvolveGCN-H,32,2,6,42,none,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,missing 0/5,no,no,yes,no,no h32/L2 artifact exists for this k and seed,evolvegcn_h_500u_k6_h32_l2_seed42
EvolveGCN-H,32,2,6,123,none,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,missing 0/5,no,no,yes,no,no h32/L2 artifact exists for this k and seed,evolvegcn_h_500u_k6_h32_l2_seed123
EvolveGCN-H,32,2,6,2025,none,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,missing 0/5,no,no,yes,no,no h32/L2 artifact exists for this k and seed,evolvegcn_h_500u_k6_h32_l2_seed2025
EvolveGCN-H,32,2,8,42,evolvegcn_h_500u_seed42_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,32,2,8,123,evolvegcn_h_500u_seed123_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,32,2,8,2025,evolvegcn_h_500u_seed2025_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,32,2,12,42,none,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,missing 0/5,no,no,yes,no,no h32/L2 artifact exists for this k and seed,evolvegcn_h_500u_k12_h32_l2_seed42
EvolveGCN-H,32,2,12,123,none,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,missing 0/5,no,no,yes,no,no h32/L2 artifact exists for this k and seed,evolvegcn_h_500u_k12_h32_l2_seed123
