model,hidden_dim,num_layers,k,seed,dataset_path,split_source,run_type,exact_reason,proposed_new_experiment_name
EvolveGCN-H,32,2,4,42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,new factorial cell,no h32/L2 artifact exists,evolvegcn_h_500u_k4_h32_l2_seed42
EvolveGCN-H,32,2,4,123,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,new factorial cell,no h32/L2 artifact exists,evolvegcn_h_500u_k4_h32_l2_seed123
EvolveGCN-H,32,2,4,2025,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,new factorial cell,no h32/L2 artifact exists,evolvegcn_h_500u_k4_h32_l2_seed2025
EvolveGCN-H,32,2,6,42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,new factorial cell,no h32/L2 artifact exists,evolvegcn_h_500u_k6_h32_l2_seed42
EvolveGCN-H,32,2,6,123,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,new factorial cell,no h32/L2 artifact exists,evolvegcn_h_500u_k6_h32_l2_seed123
EvolveGCN-H,32,2,6,2025,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,new factorial cell,no h32/L2 artifact exists,evolvegcn_h_500u_k6_h32_l2_seed2025
EvolveGCN-H,32,2,12,42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,new factorial cell,no h32/L2 artifact exists,evolvegcn_h_500u_k12_h32_l2_seed42
EvolveGCN-H,32,2,12,123,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,new factorial cell,no h32/L2 artifact exists,evolvegcn_h_500u_k12_h32_l2_seed123
EvolveGCN-H,32,2,12,2025,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,new factorial cell,no h32/L2 artifact exists,evolvegcn_h_500u_k12_h32_l2_seed2025
Static GCN,32,3,4,42,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,new factorial cell,no h32/L3 artifact exists,static_gcn_500u_k4_h32_l3_batch8_seed42
Static GCN,32,3,4,123,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,new factorial cell,no h32/L3 artifact exists,static_gcn_500u_k4_h32_l3_batch8_seed123
Static GCN,32,3,4,2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,new factorial cell,no h32/L3 artifact exists,static_gcn_500u_k4_h32_l3_batch8_seed2025
Static GCN,32,3,6,42,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,new factorial cell,no h32/L3 artifact exists,static_gcn_500u_k6_h32_l3_batch8_seed42
Static GCN,32,3,6,123,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,new factorial cell,no h32/L3 artifact exists,static_gcn_500u_k6_h32_l3_batch8_seed123
Static GCN,32,3,6,2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,new factorial cell,no h32/L3 artifact exists,static_gcn_500u_k6_h32_l3_batch8_seed2025
Static GCN,32,3,8,42,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,replacement for incompatible depth,existing canonical h32 candidate is L2,static_gcn_500u_k8_h32_l3_batch8_seed42
Static GCN,32,3,8,123,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,replacement for incompatible depth,existing canonical h32 candidate is L2,static_gcn_500u_k8_h32_l3_batch8_seed123
