priority,scientific_question,model,universes,top_n,normalization,k,hidden_dimension,layers,pooling,head,seed,existing_reference_experiment,processed_dataset_exists,graph_rebuilding_required,estimated_runtime_category,estimated_RAM_category,estimated_storage_category,why_the_run_is_needed,what_table_it_completes,can_be_skipped,skip_reason,recommended_order
P0,clean universe scaling,EvolveGCN-H,20,100,minmax,8,32,2,graph_mean+temporal_mean,mlp,42,evolvegcn_h_20u_seed123_final32,yes,no,low,low,low,replace 200-epoch legacy run,Table 2,no,,1
P0,clean universe scaling,EvolveGCN-H,20,100,minmax,8,32,2,graph_mean+temporal_mean,mlp,2025,evolvegcn_h_20u_seed123_final32,yes,no,low,low,low,replace 200-epoch legacy run,Table 2,no,,2
P0,clean universe scaling,Static GCN,20,100,minmax,8,32,2,graph_mean,established,42,static_gcn_20u_seed123_final32,yes,no,low,low,low,replace B4 200-epoch legacy run,Table 2,no,,3
P0,clean universe scaling,Static GCN,20,100,minmax,8,32,2,graph_mean,established,2025,static_gcn_20u_seed123_final32,yes,no,low,low,low,replace B4 200-epoch legacy run,Table 2,no,,4
P0,clean universe scaling,EvolveGCN-H,50,100,minmax,8,32,2,graph_mean+temporal_mean,mlp,42,evolvegcn_h_50u_seed123_final32,yes,no,low,low,low,replace 200-epoch legacy run,Table 2,no,,5
P0,clean universe scaling,EvolveGCN-H,50,100,minmax,8,32,2,graph_mean+temporal_mean,mlp,2025,evolvegcn_h_50u_seed123_final32,yes,no,low,low,low,replace 200-epoch legacy run,Table 2,no,,6
P0,clean universe scaling,Static GCN,50,100,minmax,8,32,2,graph_mean,established,42,static_gcn_50u_seed123_final32,yes,no,low,low,low,replace B4 200-epoch legacy run,Table 2,no,,7
P0,clean universe scaling,Static GCN,50,100,minmax,8,32,2,graph_mean,established,2025,static_gcn_50u_seed123_final32,yes,no,low,low,low,replace B4 200-epoch legacy run,Table 2,no,,8
P0,clean universe scaling,EvolveGCN-H,100,100,minmax,8,32,2,graph_mean+temporal_mean,mlp,42,evolvegcn_h_100u_seed123_final32,yes,no,low,low,low,replace 200-epoch legacy run,Table 2,no,,9
P0,clean universe scaling,EvolveGCN-H,100,100,minmax,8,32,2,graph_mean+temporal_mean,mlp,2025,evolvegcn_h_100u_seed123_final32,yes,no,low,low,low,replace 200-epoch legacy run,Table 2,no,,10
P0,clean universe scaling,Static GCN,100,100,minmax,8,32,2,graph_mean,established,42,static_gcn_100u_seed123_final32,yes,no,low,low,low,replace B4 200-epoch legacy run,Table 2,no,,11
P0,clean universe scaling,Static GCN,100,100,minmax,8,32,2,graph_mean,established,2025,static_gcn_100u_seed123_final32,yes,no,low,low,low,replace B4 200-epoch legacy run,Table 2,no,,12
P0,strict Static universe scaling,Static GCN,500,100,minmax,8,32,2,graph_mean,established,42,static_gcn_200u_seed42_final32,yes,no,medium,moderate,low,make L2 B8 500U compatible with lower-U canonical protocol,Table 2,conditional,skip only if supervisor accepts batch-size caveat,13
P0,strict Static universe scaling,Static GCN,500,100,minmax,8,32,2,graph_mean,established,123,static_gcn_200u_seed123_final32,yes,no,medium,moderate,low,make L2 B8 500U compatible with lower-U canonical protocol,Table 2,conditional,skip only if supervisor accepts batch-size caveat,14
P0,strict Static universe scaling,Static GCN,500,100,minmax,8,32,2,graph_mean,established,2025,static_gcn_200u_seed2025_final32,yes,no,medium,moderate,low,make L2 B8 500U compatible with lower-U canonical protocol,Table 2,conditional,skip only if supervisor accepts batch-size caveat,15
P0,clean Static Top-N scaling,Static GCN,500,100,minmax,8,32,3,graph_mean,established,42,static_gcn_500u_top200_h32_seed42,yes,no,medium,moderate,low,make Top100 architecture match Top200/500,Table 3,no,,16
P0,clean Static Top-N scaling,Static GCN,500,100,minmax,8,32,3,graph_mean,established,123,static_gcn_500u_top200_h32_seed123,yes,no,medium,moderate,low,make Top100 architecture match Top200/500,Table 3,no,,17
P0,clean Static Top-N scaling,Static GCN,500,100,minmax,8,32,3,graph_mean,established,2025,static_gcn_500u_top200_h32_seed2025,yes,no,medium,moderate,low,make Top100 architecture match Top200/500,Table 3,no,,18
P1,matched final-snapshot versus temporal,Evolve-compatible Static GCN,750,1000,none,8,32,3,graph_mean,established,42,evolvegcn_h_750u_top1000_h32_seed42_none_linear_head_temporal_last,yes,no,high,very_high,moderate,establish feasibility and first matched comparison,Table 9,no,run only after code/RAM review,19
P1,matched final-snapshot versus temporal,Evolve-compatible Static GCN,750,1000,none,8,32,3,graph_mean,established,123,evolvegcn_h_750u_top1000_h32_seed123_none_linear_head_temporal_last,yes,no,high,very_high,moderate,complete three-seed matched comparison,Table 9,conditional,skip if seed42 exposes unsafe RAM/runtime,20
P1,matched final-snapshot versus temporal,Evolve-compatible Static GCN,750,1000,none,8,32,3,graph_mean,established,2025,evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head_temporal_last,yes,no,high,very_high,moderate,complete three-seed matched comparison,Table 9,conditional,skip if seed42 exposes unsafe RAM/runtime,21
P2,increase precision of 750U Static comparison,Static GCN,750,1000,none,8,32,3,graph_mean,established,777,evolvegcn_h_750u_top1000_h32_seed777_none_linear_head_temporal_last,yes,no,high,very_high,moderate,five-seed extension,Table 9,yes,three seeds sufficient under deadline,19
P2,increase precision of 750U Static comparison,Static GCN,750,1000,none,8,32,3,graph_mean,established,999,evolvegcn_h_750u_top1000_h32_seed999_none_linear_head_temporal_last,yes,no,high,very_high,moderate,five-seed extension,Table 9,yes,three seeds sufficient under deadline,20
P3,kNN h32 consistency,EvolveGCN-H and Static GCN,500,100,minmax,"4;6;8;12",32,model-specific,mean,established,"42;123;2025",existing h64 kNN families,yes,no,high,moderate,moderate,stylistic alignment only,Table 4,yes,h64 is fixed and k effect already resolved,do not run
P3,repeat controlled ablations,EvolveGCN-H and Static GCN,500|750,500|1000,as existing,8,32,model-specific,as existing,as existing,"42;123;777;999;2025",completed normalization/head/pooling families,yes,no,high,high,moderate,no unresolved question,Tables 5-8,yes,already complete,do not run
P3,Static linear-head parity,Static GCN,750,1000,none,8,32,3,graph_mean,linear,"42;123;2025",missing Static established-head family,yes,no,high,very_high,moderate,adds a second ablation rather than required comparison,Table 9,yes,not scientifically necessary for established-model comparison,do not run
