dataset_path,dataset_filename,metadata_path,dataset_format,universe_count,universe_ids,universe_population,dataset_type,number_of_snapshots,snapshot_identities,top_n,raw_halo_count_before_selection,selection_variable,selection_order,node_features,normalization,normalization_scope,target_normalization,target_source,periodic,k,box_size,padding_policy,mask_policy,dataset_creation_timestamp,dataset_config_hash,dataset_metadata_hash,expected_nested_relation_with_smaller_top_n,compatibility_class,reusable_status,notes
data/processed/static_100u_logmass_minmax_top100_periodic_knn/camels_100u_static_logmass_minmax_top100_periodic_knn.pt,camels_100u_static_logmass_minmax_top100_periodic_knn.pt,data/processed/static_100u_logmass_minmax_top100_periodic_knn/camels_100u_static_logmass_minmax_top100_periodic_knn.metadata.json,static_final_snapshot,100,LH_0..LH_99,canonical first 100 CAMELS-SIMBA LH universes,static_final_snapshot_graphs,1,final snapshot a=1.0; exact match for all universes=True,100,not recorded in dataset-level sidecar,raw Mvir (col_10),descending,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,outputs/target_inspection_100u.csv,True,8,25.0,zero-pad features and raw positions after normalization when fewer than Top-N,1 real node; 0 padded node; padded nodes disconnected,not reliably recorded,not recorded,94fa20ba54bb4a149c9369dcfc36de1647b468cdb5810bff936ba6e7e4b61a5c,expected from identical raw-Mvir descending selection; not byte-proven; tie caveat,alternative_dataset_protocol,reusable_lightweight_metadata,
data/processed/static_200u_logmass_minmax_top100_periodic_knn/camels_200u_static_logmass_minmax_top100_periodic_knn.pt,camels_200u_static_logmass_minmax_top100_periodic_knn.pt,data/processed/static_200u_logmass_minmax_top100_periodic_knn/camels_200u_static_logmass_minmax_top100_periodic_knn.metadata.json,static_final_snapshot,200,LH_0..LH_199,canonical first 200 CAMELS-SIMBA LH universes,static_final_snapshot_graphs,1,final snapshot a=1.0; exact match for all universes=True,100,not recorded in dataset-level sidecar,raw Mvir (col_10),descending,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,outputs/target_inspection_200u.csv,True,8,25.0,zero-pad features and raw positions after normalization when fewer than Top-N,1 real node; 0 padded node; padded nodes disconnected,not reliably recorded,not recorded,ae8cbe609765e73e37a4dd7afb6ad1723638de485d7d12c7d9589c0eff20fab3,expected from identical raw-Mvir descending selection; not byte-proven; tie caveat,alternative_dataset_protocol,reusable_lightweight_metadata,
data/processed/static_20u_logmass_minmax_top100_periodic_knn/camels_20u_static_logmass_minmax_top100_periodic_knn.pt,camels_20u_static_logmass_minmax_top100_periodic_knn.pt,data/processed/static_20u_logmass_minmax_top100_periodic_knn/camels_20u_static_logmass_minmax_top100_periodic_knn.metadata.json,static_final_snapshot,20,LH_0..LH_19,canonical first 20 CAMELS-SIMBA LH universes,static_final_snapshot_graphs,1,final snapshot a=1.0; exact match for all universes=True,100,not recorded in dataset-level sidecar,raw Mvir (col_10),descending,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,outputs/target_inspection_20u.csv,True,8,25.0,zero-pad features and raw positions after normalization when fewer than Top-N,1 real node; 0 padded node; padded nodes disconnected,not reliably recorded,not recorded,eef9cadb00e94f966d6767c36417b0b1611b991a1cab3602dbac79a6b90c1371,expected from identical raw-Mvir descending selection; not byte-proven; tie caveat,alternative_dataset_protocol,reusable_lightweight_metadata,
data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,camels_500u_static_logmass_minmax_top100_periodic_knn.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.metadata.json,static_final_snapshot,500,LH_0..LH_499,canonical first 500 CAMELS-SIMBA LH universes,static_final_snapshot_graphs,1,final snapshot a=1.0; exact match for all universes=True,100,not recorded in dataset-level sidecar,raw Mvir (col_10),descending,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,outputs/target_inspection_500u.csv,True,8,25.0,zero-pad features and raw positions after normalization when fewer than Top-N,1 real node; 0 padded node; padded nodes disconnected,not reliably recorded,not recorded,71b82af09ecb764693030dc57041a3f5977a10ab3d69fa0f9a98fd1ec7341ea3,expected from identical raw-Mvir descending selection; not byte-proven; tie caveat,canonical_topn_dataset,reusable_lightweight_metadata,
data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.pt,camels_500u_static_logmass_minmax_top100_periodic_knn_k12.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.metadata.json,static_final_snapshot,500,LH_0..LH_499,canonical first 500 CAMELS-SIMBA LH universes,static_final_snapshot_graphs,1,final snapshot a=1.0; exact match for all universes=True,100,not recorded in dataset-level sidecar,raw Mvir (col_10),descending,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,outputs/target_inspection_500u.csv,True,12,25.0,zero-pad features and raw positions after normalization when fewer than Top-N,1 real node; 0 padded node; padded nodes disconnected,not reliably recorded,not recorded,5f1dbec9fef17d0e506d2cd80acd4eceaa5a5e72d146ff308c409170431fb861,expected from identical raw-Mvir descending selection; not byte-proven; tie caveat,alternative_dataset_protocol,reusable_lightweight_metadata,
data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.metadata.json,static_final_snapshot,500,LH_0..LH_499,canonical first 500 CAMELS-SIMBA LH universes,static_final_snapshot_graphs,1,final snapshot a=1.0; exact match for all universes=True,100,not recorded in dataset-level sidecar,raw Mvir (col_10),descending,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,outputs/target_inspection_500u.csv,True,4,25.0,zero-pad features and raw positions after normalization when fewer than Top-N,1 real node; 0 padded node; padded nodes disconnected,not reliably recorded,not recorded,b7efd740d956e65dedb1fe9ccf5be89af681ded66dff6ce7c67153d2a74b58a7,expected from identical raw-Mvir descending selection; not byte-proven; tie caveat,alternative_dataset_protocol,reusable_lightweight_metadata,
data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.metadata.json,static_final_snapshot,500,LH_0..LH_499,canonical first 500 CAMELS-SIMBA LH universes,static_final_snapshot_graphs,1,final snapshot a=1.0; exact match for all universes=True,100,not recorded in dataset-level sidecar,raw Mvir (col_10),descending,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,outputs/target_inspection_500u.csv,True,6,25.0,zero-pad features and raw positions after normalization when fewer than Top-N,1 real node; 0 padded node; padded nodes disconnected,not reliably recorded,not recorded,c4063ccc1c8b3e0c403d96626bd43915f8a6d3053ed7b6abe6a958bfa0965aa4,expected from identical raw-Mvir descending selection; not byte-proven; tie caveat,alternative_dataset_protocol,reusable_lightweight_metadata,
data/processed/static_500u_logmass_minmax_top200_periodic_knn/camels_500u_static_logmass_minmax_top200_periodic_knn.pt,camels_500u_static_logmass_minmax_top200_periodic_knn.pt,data/processed/static_500u_logmass_minmax_top200_periodic_knn/camels_500u_static_logmass_minmax_top200_periodic_knn.metadata.json,static_final_snapshot,500,LH_0..LH_499,canonical first 500 CAMELS-SIMBA LH universes,static_final_snapshot_graphs,1,final snapshot a=1.0; exact match for all universes=True,200,not recorded in dataset-level sidecar,raw Mvir (col_10),descending,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,outputs/target_inspection_500u.csv,True,8,25.0,zero-pad features and raw positions after normalization when fewer than Top-N,1 real node; 0 padded node; padded nodes disconnected,not reliably recorded,not recorded,7424626086369ca1e5320dae5574121a1b33eea0b1a60eb71a4703c963462cd4,expected from identical raw-Mvir descending selection; not byte-proven; tie caveat,canonical_topn_dataset,reusable_lightweight_metadata,
data/processed/static_500u_logmass_zscore_top100_periodic_knn/camels_500u_static_logmass_zscore_top100_periodic_knn.pt,camels_500u_static_logmass_zscore_top100_periodic_knn.pt,data/processed/static_500u_logmass_zscore_top100_periodic_knn/camels_500u_static_logmass_zscore_top100_periodic_knn.metadata.json,static_final_snapshot,500,LH_0..LH_499,canonical first 500 CAMELS-SIMBA LH universes,static_final_snapshot_graphs,1,final snapshot a=1.0; exact match for all universes=True,100,not recorded in dataset-level sidecar,raw Mvir (col_10),descending,log10_Mvir|X|Y|Z|VX|VY|VZ,zscore,per_universe_per_snapshot_per_feature,False,outputs/target_inspection_500u.csv,True,8,25.0,zero-pad features and raw positions after normalization when fewer than Top-N,1 real node; 0 padded node; padded nodes disconnected,not reliably recorded,not recorded,b129a7e889cec90ddaaacc4158323366d79bb7709ed5290a6c1a1a8afb59104b,expected from identical raw-Mvir descending selection; not byte-proven; tie caveat,alternative_dataset_protocol,reusable_lightweight_metadata,
data/processed/static_50u_logmass_minmax_top100_periodic_knn/camels_50u_static_logmass_minmax_top100_periodic_knn.pt,camels_50u_static_logmass_minmax_top100_periodic_knn.pt,data/processed/static_50u_logmass_minmax_top100_periodic_knn/camels_50u_static_logmass_minmax_top100_periodic_knn.metadata.json,static_final_snapshot,50,LH_0..LH_49,canonical first 50 CAMELS-SIMBA LH universes,static_final_snapshot_graphs,1,final snapshot a=1.0; exact match for all universes=True,100,not recorded in dataset-level sidecar,raw Mvir (col_10),descending,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,outputs/target_inspection_50u.csv,True,8,25.0,zero-pad features and raw positions after normalization when fewer than Top-N,1 real node; 0 padded node; padded nodes disconnected,not reliably recorded,not recorded,47dbf33b1f05962b87a87fc3221e62e3a34cfbebbb10b0b0c0f205c8f2418b48,expected from identical raw-Mvir descending selection; not byte-proven; tie caveat,alternative_dataset_protocol,reusable_lightweight_metadata,
