model,experiment_name,universe_count,top_n,snapshots_processed_per_universe,nodes_per_snapshot,k,directed_knn_neighbor_selections_per_snapshot,symmetric_adjacency_nonzeros_per_snapshot_lower_bound,symmetric_adjacency_nonzeros_per_snapshot_upper_bound,neighbor_selections_per_universe,batch_size,epochs_logged,epoch_duration,total_training_duration,maximum_gpu_memory,cpu_memory,checkpoint_size_bytes,prediction_time,notes
EvolveGCN-H,debug_evolvegcn_h_50u_h32_dropout0_none_lr1e4,50,100,5,100,8,800,800,1600,4000,4,688,not recorded,not recorded,not recorded,not recorded,40931042,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,debug_evolvegcn_h_50u_h32_dropout0_zscore,50,100,5,100,8,800,800,1600,4000,4,379,not recorded,not recorded,not recorded,not recorded,40931042,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,debug_overfit_evolvegcn_h_20u_h32_dropout0,20,100,5,100,8,800,800,1600,4000,4,398,not recorded,not recorded,not recorded,not recorded,40930594,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,debug_overfit_evolvegcn_h_50u_h32_dropout0,50,100,5,100,8,800,800,1600,4000,4,301,not recorded,not recorded,not recorded,not recorded,40931042,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,debug_overfit_static_gcn_20u_h32_dropout0,20,100,1,100,8,800,800,1600,800,4,346,not recorded,not recorded,not recorded,not recorded,73122,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,debug_overfit_static_gcn_50u_h32_dropout0,50,100,1,100,8,800,800,1600,800,4,304,not recorded,not recorded,not recorded,not recorded,73570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,debug_static_gcn_50u_h32_dropout0_none_lr1e4,50,100,1,100,8,800,800,1600,800,4,441,not recorded,not recorded,not recorded,not recorded,73570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,debug_static_gcn_50u_h32_dropout0_zscore,50,100,1,100,8,800,800,1600,800,4,398,not recorded,not recorded,not recorded,not recorded,73570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_100u_seed123_final32,100,100,5,100,8,800,800,1600,4000,4,48,not recorded,not recorded,not recorded,not recorded,40931810,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_100u_seed2025,100,100,5,100,8,800,800,1600,4000,4,41,not recorded,not recorded,not recorded,not recorded,40931810,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_100u_seed42,100,100,5,100,8,800,800,1600,4000,4,130,not recorded,not recorded,not recorded,not recorded,40931810,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_200u_seed123_final32,200,100,5,100,8,800,800,1600,4000,4,45,not recorded,not recorded,not recorded,not recorded,40933410,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_200u_seed2025_final32,200,100,5,100,8,800,800,1600,4000,4,45,not recorded,not recorded,not recorded,not recorded,40933410,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_200u_seed42_final32,200,100,5,100,8,800,800,1600,4000,4,48,not recorded,not recorded,not recorded,not recorded,40933410,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_20u_seed123_final32,20,100,5,100,8,800,800,1600,4000,4,59,not recorded,not recorded,not recorded,not recorded,40930594,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_20u_seed2025,20,100,5,100,8,800,800,1600,4000,4,42,not recorded,not recorded,not recorded,not recorded,40930594,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_20u_seed42,20,100,5,100,8,800,800,1600,4000,4,68,not recorded,not recorded,not recorded,not recorded,40930594,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_k12_seed123,500,100,5,100,12,1200,1200,2400,6000,4,44,not recorded,not recorded,not recorded,not recorded,621217570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_k12_seed2025,500,100,5,100,12,1200,1200,2400,6000,4,45,not recorded,not recorded,not recorded,not recorded,621217570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_k12_seed42,500,100,5,100,12,1200,1200,2400,6000,4,42,not recorded,not recorded,not recorded,not recorded,621217570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_k4_seed123,500,100,5,100,4,400,400,800,2000,4,44,not recorded,not recorded,not recorded,not recorded,621217570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_k4_seed2025,500,100,5,100,4,400,400,800,2000,4,43,not recorded,not recorded,not recorded,not recorded,621217570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_k4_seed42,500,100,5,100,4,400,400,800,2000,4,44,not recorded,not recorded,not recorded,not recorded,621217570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_k6_seed123,500,100,5,100,6,600,600,1200,3000,4,43,not recorded,not recorded,not recorded,not recorded,621217570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_k6_seed2025,500,100,5,100,6,600,600,1200,3000,4,52,not recorded,not recorded,not recorded,not recorded,621217570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_k6_seed42,500,100,5,100,6,600,600,1200,3000,4,49,not recorded,not recorded,not recorded,not recorded,621217570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_k8_h64_seed123,500,100,5,100,8,800,800,1600,4000,4,44,not recorded,not recorded,not recorded,not recorded,621217506,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_k8_h64_seed2025,500,100,5,100,8,800,800,1600,4000,4,52,not recorded,not recorded,not recorded,not recorded,621217506,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_k8_h64_seed42,500,100,5,100,8,800,800,1600,4000,4,49,not recorded,not recorded,not recorded,not recorded,621217506,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
