metric,value,definition
row_count,1000,rows
minimum,0.1002,Omega_m
maximum,0.49980000000000002,Omega_m
mean,0.29999999999999999,Omega_m
median,0.30000000000000004,Omega_m
standard_deviation_population,0.1154699961028838,ddof=0
standard_deviation_sample,0.11552777443829976,ddof=1
quantile_0,0.1002,linear interpolation
quantile_0.01,0.104196,linear interpolation
quantile_0.05,0.12018000000000001,linear interpolation
quantile_0.25,0.2001,linear interpolation
quantile_0.5,0.30000000000000004,linear interpolation
quantile_0.75,0.39989999999999998,linear interpolation
quantile_0.95,0.47981999999999997,linear interpolation
quantile_0.99,0.49580400000000002,linear interpolation
quantile_1,0.49980000000000002,linear interpolation
unique_target_values,1000,distinct parsed float values
repeated_distinct_values,0,distinct values with count > 1
rows_having_repeated_value,0,rows in repeated-value groups
maximum_value_frequency,1,largest repeated-value count
missing_ids,0,expected LH_0..LH_999
unexpected_ids,0,outside LH_0..LH_999
duplicate_ids,0,duplicate universe_id rows
nonfinite_targets,0,parsed omega_m
maximum_snapshot_spread,0,across five headers per universe
u750_overlap_count,750,LH_0..LH_749
u750_matching_count,750,exact parsed float and ID match
u750_mismatch_count,0,exact parsed float or ID mismatch
maximum_u750_absolute_difference,0,Omega_m
