experiment_name,model,seed,dataset_path,head_type,graph_pooling,temporal_pooling,hidden_dim,num_layers,batch_size,train_count,val_count,test_count,train_hash,val_hash,test_hash,config_exists,metrics_exists,predictions_exist,checkpoint_exists_only,reuse_class,reason
evolvegcn_h_750u_top1000_h32_seed123_none,EvolveGCNHRegressor,123,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,mlp,mean,mean,32,2,4,450,99,201,406e4488236a53f585db7da4f4bdbb4099d18c33bc04d137bbd87bf21e0459c0,2e73c457617b7b3830e90af7e1a4b3ddd0807abebb6626b6d761ed6fd6001961,1c9a2a141e3250b81595a9dc275f1eb5877f23506e13158e4b7296758231f0bf,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed123_none_linear_head,EvolveGCNHRegressor,123,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean,mean,32,2,4,450,99,201,406e4488236a53f585db7da4f4bdbb4099d18c33bc04d137bbd87bf21e0459c0,2e73c457617b7b3830e90af7e1a4b3ddd0807abebb6626b6d761ed6fd6001961,1c9a2a141e3250b81595a9dc275f1eb5877f23506e13158e4b7296758231f0bf,True,True,True,True,likely_reusable_pending_dataset_identity,planned seed and exact training protocol; graph tensors not deserialized and sparse refactor would change stored representation
evolvegcn_h_750u_top1000_h32_seed123_none_linear_head_meanmax,EvolveGCNHRegressor,123,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean_max,mean,32,2,4,450,99,201,406e4488236a53f585db7da4f4bdbb4099d18c33bc04d137bbd87bf21e0459c0,2e73c457617b7b3830e90af7e1a4b3ddd0807abebb6626b6d761ed6fd6001961,1c9a2a141e3250b81595a9dc275f1eb5877f23506e13158e4b7296758231f0bf,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed123_none_linear_head_temporal_last,EvolveGCNHRegressor,123,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean,last,32,2,4,450,99,201,406e4488236a53f585db7da4f4bdbb4099d18c33bc04d137bbd87bf21e0459c0,2e73c457617b7b3830e90af7e1a4b3ddd0807abebb6626b6d761ed6fd6001961,1c9a2a141e3250b81595a9dc275f1eb5877f23506e13158e4b7296758231f0bf,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed2025_none,EvolveGCNHRegressor,2025,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,mlp,mean,mean,32,2,4,450,99,201,deff4fbf5874f3bdac0911bac272aecc1209f12ea0ef4c46151c2f46ba7983fd,0b147c27abbcc8eb8e8dbf1dae075f8216a82a914f4ac3903219acc8d763dddd,ff6a0b1b9c04ac59477a0d9a2721186c6fba8b8fcbe303a45b088eb56314b0dd,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head,EvolveGCNHRegressor,2025,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean,mean,32,2,4,450,99,201,deff4fbf5874f3bdac0911bac272aecc1209f12ea0ef4c46151c2f46ba7983fd,0b147c27abbcc8eb8e8dbf1dae075f8216a82a914f4ac3903219acc8d763dddd,ff6a0b1b9c04ac59477a0d9a2721186c6fba8b8fcbe303a45b088eb56314b0dd,True,True,True,True,likely_reusable_pending_dataset_identity,planned seed and exact training protocol; graph tensors not deserialized and sparse refactor would change stored representation
evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head_meanmax,EvolveGCNHRegressor,2025,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean_max,mean,32,2,4,450,99,201,deff4fbf5874f3bdac0911bac272aecc1209f12ea0ef4c46151c2f46ba7983fd,0b147c27abbcc8eb8e8dbf1dae075f8216a82a914f4ac3903219acc8d763dddd,ff6a0b1b9c04ac59477a0d9a2721186c6fba8b8fcbe303a45b088eb56314b0dd,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head_temporal_last,EvolveGCNHRegressor,2025,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean,last,32,2,4,450,99,201,deff4fbf5874f3bdac0911bac272aecc1209f12ea0ef4c46151c2f46ba7983fd,0b147c27abbcc8eb8e8dbf1dae075f8216a82a914f4ac3903219acc8d763dddd,ff6a0b1b9c04ac59477a0d9a2721186c6fba8b8fcbe303a45b088eb56314b0dd,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed42_none,EvolveGCNHRegressor,42,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,mlp,mean,mean,32,2,4,450,99,201,2da4582a3ef63f790c89d01ef3bf46321d666853c8bae692af5ab9edcd553457,b3504d7eda165cd7523a3d206100f99fb03944f0bbf63b102cd02945b9a9c880,bb0ebc3a94dc385121094b1ef3372b09095f417eb56df4e0320bd94328511405,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed42_none_linear_head,EvolveGCNHRegressor,42,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean,mean,32,2,4,450,99,201,2da4582a3ef63f790c89d01ef3bf46321d666853c8bae692af5ab9edcd553457,b3504d7eda165cd7523a3d206100f99fb03944f0bbf63b102cd02945b9a9c880,bb0ebc3a94dc385121094b1ef3372b09095f417eb56df4e0320bd94328511405,True,True,True,True,likely_reusable_pending_dataset_identity,planned seed and exact training protocol; graph tensors not deserialized and sparse refactor would change stored representation
