model,training_count,seed,mae,mse,rmse,r2,prediction_mean,prediction_standard_deviation,true_target_standard_deviation,prediction_sd_ratio,residual_mean,residual_standard_deviation,lowest_quintile_mae,lowest_quintile_bias,middle_60_percent_mae,middle_60_percent_bias,highest_quintile_mae,highest_quintile_bias,best_epoch,runtime_seconds
EvolveGCN-H,20,42,0.241186850422,0.143752938478,0.379147647333,-8.80659449938,0.25242372908,0.378848141335,0.121375850893,3.12128103364,-0.0561961713456,0.375896133856,0.114782202716,0.0504412056833,0.262686746555,-0.0935365455929,0.305189360569,-0.0544553889734,204,197
EvolveGCN-H,20,123,1.11262345915,2.74026314768,1.65537402048,-209.430241013,0.141978649654,1.64452538697,0.114399753759,14.3752528561,-0.153329808246,1.65237310653,0.498104362226,0.0547042467245,1.10775992212,-0.0486241908384,1.74125867573,-0.665265533255,170,182
EvolveGCN-H,20,2025,0.274413567945,0.161189465991,0.401484079375,-10.1236016373,0.308390405789,0.391666384865,0.120678150459,3.24554514116,0.00280931073042,0.402476684584,0.231283551127,0.149012476024,0.268978304598,-0.00726649678555,0.333319105208,-0.114149437627,76,105
EvolveGCN-H,50,42,0.12477214096,0.0360881522618,0.189968819183,-1.46187576553,0.311286093852,0.195864084508,0.121375850893,1.61369896125,0.00266619342662,0.190424391538,0.0905245315374,0.0851459584948,0.11393218716,-0.000836017596371,0.190482055314,-0.0696486176968,40,99
EvolveGCN-H,50,123,0.295577709206,0.457748627175,0.676571228457,-34.1514247897,0.334094631361,0.697646127605,0.114399753759,6.09831843759,0.0387861734599,0.677145096138,0.172451894094,-0.0297759927628,0.2350782588,0.0470877841992,0.594299490132,0.0832534207077,111,166
EvolveGCN-H,50,2025,0.109761142872,0.0241250510207,0.155322409911,-0.664857286939,0.303925031935,0.177077892066,0.120678150459,1.46735669542,-0.00165606312343,0.155701380912,0.070775447277,0.054385943202,0.0988620517134,-0.0107936611196,0.180380785974,-0.0311767484357,37,94
EvolveGCN-H,100,42,0.0892162292603,0.0128117096042,0.113188822788,0.126005754996,0.292363241611,0.108970297973,0.121375850893,0.897792247557,-0.0162566588144,0.112295003458,0.0679221960103,0.0670528651738,0.0798899942086,-0.0165248342923,0.137579091075,-0.0987878198304,60,166
EvolveGCN-H,100,123,0.317556769842,0.194669716015,0.441213911855,-13.94907352,0.26629555344,0.443917858283,0.114399753759,3.88040921152,-0.0290129044608,0.4413582527,0.185380680895,0.0579628013983,0.283482987966,-0.0221542071144,0.548629933014,-0.135895561154,101,218
EvolveGCN-H,100,2025,0.0859598350985,0.0138506645981,0.117688846532,0.0441728033904,0.295707624758,0.115761061758,0.120678150459,0.959254523853,-0.00987347030076,0.117566768597,0.0697982234926,0.0618627652889,0.0762071968878,0.00289633506987,0.130427884438,-0.118673287332,44,140
EvolveGCN-H,200,42,0.0715130257295,0.00909597418286,0.0953728167921,0.379487255478,0.319297712574,0.11482324534,0.121375850893,0.946013926943,0.0106778121484,0.0950098326656,0.0776019617915,0.0725133348165,0.0606289110264,0.00881505688699,0.0970145689278,-0.0457511769562,74,270
EvolveGCN-H,200,123,0.0700121857041,0.008205538375,0.0905844267797,0.369880436719,0.292894446212,0.112788739295,0.114399753759,0.985917675419,-0.00241401168837,0.0907783535717,0.0607910305262,0.0470717661991,0.0635217381876,-0.000917537497873,0.0980714690395,-0.0562432146654,89,338
EvolveGCN-H,200,2025,0.0698180789156,0.00806703309033,0.0898166637675,0.443298220886,0.304682623576,0.104643475924,0.120678150459,0.867128602203,-0.000898471482061,0.0900364202338,0.0644551935356,0.0594991501875,0.0622280351505,0.00302007180803,0.0972106035163,-0.0726694261155,36,202
EvolveGCN-H,450,42,0.0660918232665,0.00665467000738,0.0815761607786,0.546029103957,0.298142669139,0.0964774316298,0.121375850893,0.794865131076,-0.0104772312872,0.0811025407746,0.0540167707496,0.0452788970092,0.0601180964658,-0.00147077942095,0.0955052535708,-0.0923740369518,25,321
EvolveGCN-H,450,123,0.0589710599303,0.0053664351228,0.0732559562275,0.587900805356,0.310238355131,0.0961857684091,0.114399753759,0.840786498645,0.0149298972307,0.0718975031412,0.0604860938904,0.0535836674091,0.0532770776699,0.0226635896609,0.0739824622869,-0.0461704436599,49,433
EvolveGCN-H,450,2025,0.0662719224816,0.00682000851644,0.082583342851,0.529354741432,0.321795769073,0.0884666706721,0.120678150459,0.733079437627,0.0162146740144,0.0811780655557,0.0860969460592,0.0772089947288,0.0540765784368,0.0260771387765,0.0818431413755,-0.0734048493025,35,367
EvolveGCN-H,700,42,0.0554427435594,0.00455320127654,0.0674774130843,0.689387924408,0.308509324914,0.100797044093,0.121375850893,0.830453861714,-0.000110575512274,0.067645805449,0.0574591476016,0.0352345261632,0.0478641941768,0.0103858140837,0.0754226169935,-0.0659208079664,30,532
EvolveGCN-H,700,123,0.0617677034875,0.006748418167,0.0821487563326,0.48177558694,0.320320711207,0.111317014724,0.114399753759,0.973052922462,0.0250122533064,0.078443733837,0.0608456396475,0.0547806344381,0.0576615928351,0.0347841879149,0.0746075031234,-0.033118572177,177,1536
EvolveGCN-H,700,2025,0.0567172778335,0.00561231539264,0.0749153882233,0.61269701896,0.311719682383,0.103838558593,0.120678150459,0.860458651365,0.00613858732418,0.0748498918102,0.0663864285481,0.0534576094005,0.0503738518773,0.00959415683726,0.0654595341624,-0.0512100145584,100,983
Static GCN,20,42,0.0697704118802,0.00760269634656,0.0871934421075,0.481356270265,0.314841166917,0.098034601734,0.121375850893,0.807694454972,0.0062212664912,0.0871883716487,0.0816602414338,0.0813952377293,0.0607819153982,0.00620419388058,0.0839691452864,-0.0689031525356,37,22
Static GCN,20,123,0.0626436605382,0.00627032234151,0.0791853669658,0.518489513436,0.295394969372,0.0982776384792,0.114399753759,0.85907211554,8.65114713783e-05,0.07938303617,0.072338295419,0.0487831522052,0.0520939200866,0.0103667581282,0.0835690040414,-0.0784479183395,68,21
Static GCN,20,2025,0.0737914062703,0.0081803438946,0.090445253577,0.435478700918,0.309051392016,0.0901857040204,0.120678150459,0.747324214679,0.0034702969576,0.0906043179892,0.0810866355896,0.0810172049011,0.0637002687494,0.00600667811241,0.095785088292,-0.0814383026303,32,22
Static GCN,50,42,0.0575608415019,0.00506292534151,0.0711542362865,0.654615367654,0.298691284708,0.0978961172026,0.121375850893,0.806553498757,-0.00992861571745,0.0706340546132,0.0537460967898,0.0425119943372,0.0525623645101,-0.00527248512797,0.0758833608976,-0.0758833608976,108,32
Static GCN,50,123,0.064317567691,0.00614036519214,0.0783604823373,0.52846918064,0.304689784511,0.0784388399829,0.114399753759,0.685655671497,0.00938132661047,0.0779911384882,0.083514205748,0.0797597102639,0.0521337255961,0.0148809871503,0.0804837883973,-0.0769594864147,88,32
Static GCN,50,2025,0.0527922210853,0.00443676911317,0.0666090768077,0.693820859396,0.312872159614,0.104155722979,0.120678150459,0.863086835379,0.00729106455597,0.0663741481171,0.0532030346917,0.051652470013,0.0463825350299,0.00922200547046,0.0709851304205,-0.0426747791651,125,37
Static GCN,100,42,0.0495719579396,0.00390725292599,0.062508022893,0.733453483057,0.3005612401,0.102430772503,0.121375850893,0.843913939629,-0.00805866032542,0.0621411496059,0.0390199864419,0.0361796012375,0.0495449260754,-0.00590721561628,0.0602023877749,-0.058541358971,88,37
Static GCN,100,123,0.0510968401361,0.004046580086,0.0636127352501,0.689255090886,0.310307927837,0.0887793134425,0.114399753759,0.776044620073,0.0149994699368,0.0619734133928,0.0635728301798,0.0583017025052,0.0442826821774,0.0237766157429,0.05839852807,-0.053777893142,63,37
Static GCN,100,2025,0.051193826123,0.00439848989166,0.0663211119603,0.696462488664,0.301426000597,0.100490004349,0.120678150459,0.832710842579,-0.00415509446195,0.0663560939709,0.0493017756721,0.0481886356706,0.0423555877529,-0.00419421882189,0.0787383245259,-0.0563852685254,51,32
Static GCN,200,42,0.0481052662973,0.00355486995268,0.059622730168,0.757492483332,0.308952201621,0.103173090562,0.121375850893,0.85002980249,0.000332301195285,0.059770672794,0.0409428366437,0.0381851481592,0.0488485469788,0.00515497519689,0.053110369095,-0.0515180629928,61,48
Static GCN,200,123,0.0450628851703,0.00317474367499,0.0563448637853,0.756205137727,0.300049929217,0.100096903219,0.114399753759,0.874974813579,0.00474147131639,0.0562851973024,0.0479641173307,0.0395318257009,0.0409477181545,0.00841289220237,0.0541056743482,-0.0407049583226,109,69
Static GCN,200,2025,0.0450724003772,0.00322420573448,0.0567820899094,0.777499230694,0.311667981507,0.0982819052355,0.120678150459,0.814413420009,0.00608688644805,0.0565958596153,0.0497509124802,0.049095195968,0.0392687347005,0.010356315169,0.0572386740184,-0.0493131796034,94,58
Static GCN,450,42,0.0462937918468,0.00330823657938,0.0575172720092,0.7743174158,0.294187966493,0.109195760016,0.121375850893,0.899649800288,-0.0144319339326,0.0558162668194,0.0284463196266,0.0214762727662,0.0493564425396,-0.0127407372499,0.0552521071783,-0.0552487358814,106,115
Static GCN,450,123,0.0389075239944,0.00256838782549,0.0506792642556,0.802768405805,0.295437375482,0.102688189607,0.114399753759,0.897625967127,0.000128917581406,0.0508056400587,0.0359698265064,0.0301414731799,0.0371240103195,0.00339006638827,0.0470217611732,-0.0393489235785,71,94
Static GCN,450,2025,0.0412031413607,0.0028882580995,0.0537425166837,0.800682803141,0.310906438759,0.0996125863617,0.120678150459,0.825440114744,0.00532534370078,0.0536115501365,0.0414577075621,0.0410355907388,0.0364754523049,0.0120594819554,0.0546704043702,-0.049930329003,118,126
Static GCN,700,42,0.0431815903282,0.00296434404143,0.0544457899331,0.797777212217,0.295113887063,0.103778110679,0.121375850893,0.855014485294,-0.0135060133626,0.0528757156236,0.0270157907067,0.0241058112645,0.0427342715884,-0.0105403398766,0.0606457053161,-0.0597255244488,73,129
Static GCN,700,123,0.0376212808178,0.00236720468176,0.0486539277115,0.818217658355,0.298321183789,0.100719064999,0.114399753759,0.880413302385,0.00301272588879,0.0486818118531,0.0360460106919,0.0329714250274,0.0355255161764,0.00802237033343,0.0452793800249,-0.0414861607842,73,131
Static GCN,700,2025,0.0382188344699,0.00248229142072,0.0498225994978,0.828698353568,0.310177744881,0.100235773829,0.120678150459,0.830604160307,0.00459664982201,0.0497339727177,0.0342850676034,0.0334486799633,0.0345191968088,0.0132338888004,0.0528905740598,-0.0493244397931,88,141
