universe_id,universe_index,snapshot,path,exists,duplicate_count,total_rows,finite_mvir_rows,positive_mvir_rows,valid_builder_rows,omega_m,target_finite,top1000_feasible_without_padding,top1000_padding,top1000_padding_fraction,top1500_feasible_without_padding,top1500_padding,top1500_padding_fraction,top2000_feasible_without_padding,top2000_padding,top2000_padding_fraction
LH_0,0,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_0_hlist_0.20000.list,True,0,350,350,350,350,0.1462,True,False,650,0.650000,False,1150,0.766667,False,1650,0.825000
LH_0,0,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_0_hlist_0.25000.list,True,0,1482,1482,1482,1482,0.1462,True,True,0,0.000000,False,18,0.012000,False,518,0.259000
LH_0,0,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_0_hlist_0.51209.list,True,0,4985,4985,4985,4985,0.1462,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_0,0,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_0_hlist_0.75065.list,True,0,5617,5617,5617,5617,0.1462,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_0,0,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_0_hlist_1.00000.list,True,0,6260,6260,6260,6260,0.1462,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_1,1,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_1_hlist_0.20000.list,True,0,1736,1736,1736,1736,0.1198,True,True,0,0.000000,True,0,0.000000,False,264,0.132000
LH_1,1,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_1_hlist_0.25000.list,True,0,3201,3201,3201,3201,0.1198,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_1,1,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_1_hlist_0.51209.list,True,0,4287,4287,4287,4287,0.1198,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_1,1,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_1_hlist_0.75065.list,True,0,4412,4412,4412,4412,0.1198,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_1,1,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_1_hlist_1.00000.list,True,0,4812,4812,4812,4812,0.1198,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_2,2,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_2_hlist_0.20000.list,True,0,7746,7746,7746,7746,0.4226,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_2,2,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_2_hlist_0.25000.list,True,0,8444,8444,8444,8444,0.4226,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_2,2,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_2_hlist_0.51209.list,True,0,7407,7407,7407,7407,0.4226,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_2,2,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_2_hlist_0.75065.list,True,0,6105,6105,6105,6105,0.4226,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
