model,train_size,seed,dataset_path,split_source,expected_reuse_status,historical_candidate,proposed_experiment_name,graph_protocol,architecture_protocol,planned_status,reason
EvolveGCN-H,20,42,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed42_train20.json,new,,evolvegcn_h_train20_top1000_none_k8_h32_seed42_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,50,42,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed42_train50.json,new,,evolvegcn_h_train50_top1000_none_k8_h32_seed42_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,100,42,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed42_train100.json,new,,evolvegcn_h_train100_top1000_none_k8_h32_seed42_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,200,42,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed42_train200.json,new,,evolvegcn_h_train200_top1000_none_k8_h32_seed42_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,450,42,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed42_train450.json,pending_identity,evolvegcn_h_750u_top1000_h32_seed42_none_linear_head,evolvegcn_h_train450_top1000_none_k8_h32_seed42_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",conditional_reuse,historical Train450 exact protocol pending graph identity
EvolveGCN-H,700,42,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed42_train700.json,new,,evolvegcn_h_train700_top1000_none_k8_h32_seed42_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,20,123,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed123_train20.json,new,,evolvegcn_h_train20_top1000_none_k8_h32_seed123_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,50,123,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed123_train50.json,new,,evolvegcn_h_train50_top1000_none_k8_h32_seed123_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,100,123,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed123_train100.json,new,,evolvegcn_h_train100_top1000_none_k8_h32_seed123_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,200,123,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed123_train200.json,new,,evolvegcn_h_train200_top1000_none_k8_h32_seed123_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,450,123,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed123_train450.json,pending_identity,evolvegcn_h_750u_top1000_h32_seed123_none_linear_head,evolvegcn_h_train450_top1000_none_k8_h32_seed123_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",conditional_reuse,historical Train450 exact protocol pending graph identity
EvolveGCN-H,700,123,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed123_train700.json,new,,evolvegcn_h_train700_top1000_none_k8_h32_seed123_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,20,2025,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed2025_train20.json,new,,evolvegcn_h_train20_top1000_none_k8_h32_seed2025_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,50,2025,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed2025_train50.json,new,,evolvegcn_h_train50_top1000_none_k8_h32_seed2025_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,100,2025,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed2025_train100.json,new,,evolvegcn_h_train100_top1000_none_k8_h32_seed2025_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,200,2025,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed2025_train200.json,new,,evolvegcn_h_train200_top1000_none_k8_h32_seed2025_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
EvolveGCN-H,450,2025,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed2025_train450.json,pending_identity,evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head,evolvegcn_h_train450_top1000_none_k8_h32_seed2025_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",conditional_reuse,historical Train450 exact protocol pending graph identity
EvolveGCN-H,700,2025,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed2025_train700.json,new,,evolvegcn_h_train700_top1000_none_k8_h32_seed2025_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l2,b4,gpool=mean,tpool=mean,head=linear,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
Static GCN,20,42,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed42_train20.json,new,,static_gcn_train20_top1000_none_k8_h32_seed42_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l3,b8,gpool=mean,conv=gcn,fixed Static MLP,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
Static GCN,50,42,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed42_train50.json,new,,static_gcn_train50_top1000_none_k8_h32_seed42_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l3,b8,gpool=mean,conv=gcn,fixed Static MLP,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
Static GCN,100,42,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed42_train100.json,new,,static_gcn_train100_top1000_none_k8_h32_seed42_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l3,b8,gpool=mean,conv=gcn,fixed Static MLP,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
Static GCN,200,42,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed42_train200.json,new,,static_gcn_train200_top1000_none_k8_h32_seed42_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l3,b8,gpool=mean,conv=gcn,fixed Static MLP,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
Static GCN,450,42,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed42_train450.json,new,,static_gcn_train450_top1000_none_k8_h32_seed42_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l3,b8,gpool=mean,conv=gcn,fixed Static MLP,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
Static GCN,700,42,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed42_train700.json,new,,static_gcn_train700_top1000_none_k8_h32_seed42_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l3,b8,gpool=mean,conv=gcn,fixed Static MLP,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
Static GCN,20,123,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed123_train20.json,new,,static_gcn_train20_top1000_none_k8_h32_seed123_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l3,b8,gpool=mean,conv=gcn,fixed Static MLP,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
Static GCN,50,123,data/processed/temporal_1000u_none_top1000_periodic_knn_sparse/camels_1000u_temporal_logmass_none_top1000_periodic_knn_sparse.pt,future_nested_split_manifest_seed123_train50.json,new,,static_gcn_train50_top1000_none_k8_h32_seed123_u1000_fixedsplit,Top1000|temporal5|none|periodic_knn|k8|box25|Omega_m_raw,"h32,l3,b8,gpool=mean,conv=gcn,fixed Static MLP,dropout=.2,AdamW,lr=.001,wd=1e-5,MSE",planned_new,no exact historical row
