universe_id,universe_index,existing_u750_role_seed42,proposed_u1000_role_seed42,existing_u750_role_seed123,proposed_u1000_role_seed123,existing_u750_role_seed2025,proposed_u1000_role_seed2025,raw_data_complete,all_five_snapshots,target_status,top1000_status,minimum_valid_halos
LH_0,0,test,fixed_test,test,fixed_test,test,fixed_test,True,True,finite_consistent,padding_required,350
LH_1,1,validation,fixed_validation,test,fixed_test,validation,fixed_validation,True,True,finite_consistent,no_padding,1736
LH_2,2,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5647
LH_3,3,test,fixed_test,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,3326
LH_4,4,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6666
LH_5,5,train,maximum_training_pool,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,padding_required,806
LH_6,6,test,fixed_test,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,1780
LH_7,7,validation,fixed_validation,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,3220
LH_8,8,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,6285
LH_9,9,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3003
LH_10,10,train,maximum_training_pool,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,2838
LH_11,11,test,fixed_test,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,6553
LH_12,12,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,2268
LH_13,13,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,2803
LH_14,14,train,maximum_training_pool,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,5671
LH_15,15,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3369
