path,seed,training_level,partition,count,minimum,maximum,mean,median,population_standard_deviation,q0.05,q0.25,q0.50,q0.75,q0.95
configs/splits/u1000_top1000_none_k8_sparse/seed42_train20.json,42,Train20,train,20,0.1326,0.493,0.30912,0.2882,0.1070282280522293,0.15806,0.2271,0.2882,0.402,0.48464
configs/splits/u1000_top1000_none_k8_sparse/seed42_train20.json,42,Train20,validation,99,0.107,0.4978,0.31193333333333334,0.3206,0.11245990710947038,0.15284,0.22139999999999999,0.3206,0.417,0.47375999999999996
configs/splits/u1000_top1000_none_k8_sparse/seed42_train20.json,42,Train20,test,201,0.101,0.4994,0.3086199004975124,0.3226,0.12107354453413739,0.1178,0.1958,0.3226,0.411,0.4854
configs/splits/u1000_top1000_none_k8_sparse/seed42_train20.json,42,Train20,unused,680,0.1002,0.4998,0.2954464705882353,0.2938,0.11415242629361727,0.11858,0.1985,0.2938,0.3911,0.47785999999999995
configs/splits/u1000_top1000_none_k8_sparse/seed42_train50.json,42,Train50,train,50,0.1006,0.4938,0.307944,0.3016,0.11476631589451672,0.1335,0.21050000000000002,0.3016,0.40090000000000003,0.48186
configs/splits/u1000_top1000_none_k8_sparse/seed42_train50.json,42,Train50,validation,99,0.107,0.4978,0.31193333333333334,0.3206,0.11245990710947038,0.15284,0.22139999999999999,0.3206,0.417,0.47375999999999996
configs/splits/u1000_top1000_none_k8_sparse/seed42_train50.json,42,Train50,test,201,0.101,0.4994,0.3086199004975124,0.3226,0.12107354453413739,0.1178,0.1958,0.3226,0.411,0.4854
configs/splits/u1000_top1000_none_k8_sparse/seed42_train50.json,42,Train50,unused,650,0.1002,0.4998,0.29490584615384613,0.29259999999999997,0.11386363880864497,0.11878,0.1983,0.29259999999999997,0.39049999999999996,0.47761999999999993
configs/splits/u1000_top1000_none_k8_sparse/seed42_train100.json,42,Train100,train,100,0.1006,0.499,0.307556,0.29100000000000004,0.11284947702138455,0.14448,0.21330000000000002,0.29100000000000004,0.4067,0.47925999999999996
configs/splits/u1000_top1000_none_k8_sparse/seed42_train100.json,42,Train100,validation,99,0.107,0.4978,0.31193333333333334,0.3206,0.11245990710947038,0.15284,0.22139999999999999,0.3206,0.417,0.47375999999999996
configs/splits/u1000_top1000_none_k8_sparse/seed42_train100.json,42,Train100,test,201,0.101,0.4994,0.3086199004975124,0.3226,0.12107354453413739,0.1178,0.1958,0.3226,0.411,0.4854
configs/splits/u1000_top1000_none_k8_sparse/seed42_train100.json,42,Train100,unused,600,0.1002,0.4998,0.293884,0.2938,0.1140477882760848,0.11814,0.19729999999999998,0.2938,0.3892,0.4775199999999999
configs/splits/u1000_top1000_none_k8_sparse/seed42_train200.json,42,Train200,train,200,0.1006,0.499,0.3061,0.31,0.11009528781923412,0.13016,0.21330000000000002,0.31,0.3982,0.47785999999999995
configs/splits/u1000_top1000_none_k8_sparse/seed42_train200.json,42,Train200,validation,99,0.107,0.4978,0.31193333333333334,0.3206,0.11245990710947038,0.15284,0.22139999999999999,0.3206,0.417,0.47375999999999996
configs/splits/u1000_top1000_none_k8_sparse/seed42_train200.json,42,Train200,test,201,0.101,0.4994,0.3086199004975124,0.3226,0.12107354453413739,0.1178,0.1958,0.3226,0.411,0.4854
configs/splits/u1000_top1000_none_k8_sparse/seed42_train200.json,42,Train200,unused,500,0.1002,0.4998,0.29173200000000005,0.28700000000000003,0.11523866927381625,0.11814,0.1936,0.28700000000000003,0.3899,0.47981999999999997
configs/splits/u1000_top1000_none_k8_sparse/seed42_train450.json,42,Train450,train,450,0.1006,0.4998,0.2976951111111111,0.2992,0.11215849905126271,0.11918000000000001,0.2031,0.2992,0.39330000000000004,0.47343999999999997
configs/splits/u1000_top1000_none_k8_sparse/seed42_train450.json,42,Train450,validation,99,0.107,0.4978,0.31193333333333334,0.3206,0.11245990710947038,0.15284,0.22139999999999999,0.3206,0.417,0.47375999999999996
configs/splits/u1000_top1000_none_k8_sparse/seed42_train450.json,42,Train450,test,201,0.101,0.4994,0.3086199004975124,0.3226,0.12107354453413739,0.1178,0.1958,0.3226,0.411,0.4854
configs/splits/u1000_top1000_none_k8_sparse/seed42_train450.json,42,Train450,unused,250,0.1002,0.4982,0.2924928,0.2858,0.11710719340911557,0.11862,0.1948,0.2858,0.39039999999999997,0.48482
configs/splits/u1000_top1000_none_k8_sparse/seed42_train700.json,42,Train700,train,700,0.1002,0.4998,0.29583714285714285,0.29300000000000004,0.11397782537647848,0.11897999999999999,0.1992,0.29300000000000004,0.39180000000000004,0.47903999999999997
configs/splits/u1000_top1000_none_k8_sparse/seed42_train700.json,42,Train700,validation,99,0.107,0.4978,0.31193333333333334,0.3206,0.11245990710947038,0.15284,0.22139999999999999,0.3206,0.417,0.47375999999999996
configs/splits/u1000_top1000_none_k8_sparse/seed42_train700.json,42,Train700,test,201,0.101,0.4994,0.3086199004975124,0.3226,0.12107354453413739,0.1178,0.1958,0.3226,0.411,0.4854
configs/splits/u1000_top1000_none_k8_sparse/seed42_train700.json,42,Train700,unused,0,,,,,,,,,,
configs/splits/u1000_top1000_none_k8_sparse/seed123_train20.json,123,Train20,train,20,0.1126,0.481,0.32906,0.3454,0.0943784106668469,0.18252000000000002,0.2668,0.3454,0.4022,0.46276
configs/splits/u1000_top1000_none_k8_sparse/seed123_train20.json,123,Train20,validation,99,0.107,0.4978,0.3029838383838384,0.2994,0.11639123045436435,0.12296,0.2056,0.2994,0.4118,0.48184
configs/splits/u1000_top1000_none_k8_sparse/seed123_train20.json,123,Train20,test,201,0.1014,0.4958,0.29530845771144276,0.3002,0.11411482206547176,0.1202,0.181,0.3002,0.3922,0.469
configs/splits/u1000_top1000_none_k8_sparse/seed123_train20.json,123,Train20,unused,680,0.1002,0.4998,0.3000976470588235,0.2972,0.11615384673832686,0.11896,0.20129999999999998,0.2972,0.4023,0.48302
configs/splits/u1000_top1000_none_k8_sparse/seed123_train50.json,123,Train50,train,50,0.1126,0.493,0.312728,0.29359999999999997,0.10154837869705256,0.15710000000000002,0.2334,0.29359999999999997,0.3971,0.47613999999999995
configs/splits/u1000_top1000_none_k8_sparse/seed123_train50.json,123,Train50,validation,99,0.107,0.4978,0.3029838383838384,0.2994,0.11639123045436435,0.12296,0.2056,0.2994,0.4118,0.48184
configs/splits/u1000_top1000_none_k8_sparse/seed123_train50.json,123,Train50,test,201,0.1014,0.4958,0.29530845771144276,0.3002,0.11411482206547176,0.1202,0.181,0.3002,0.3922,0.469
configs/splits/u1000_top1000_none_k8_sparse/seed123_train50.json,123,Train50,unused,650,0.1002,0.4998,0.30001723076923076,0.3012,0.11665666156596449,0.11798,0.2,0.3012,0.40249999999999997,0.4828199999999999
configs/splits/u1000_top1000_none_k8_sparse/seed123_train100.json,123,Train100,train,100,0.1042,0.4998,0.316276,0.33,0.11322872702631608,0.12074,0.22649999999999998,0.33,0.4101,0.47834
configs/splits/u1000_top1000_none_k8_sparse/seed123_train100.json,123,Train100,validation,99,0.107,0.4978,0.3029838383838384,0.2994,0.11639123045436435,0.12296,0.2056,0.2994,0.4118,0.48184
configs/splits/u1000_top1000_none_k8_sparse/seed123_train100.json,123,Train100,test,201,0.1014,0.4958,0.29530845771144276,0.3002,0.11411482206547176,0.1202,0.181,0.3002,0.3922,0.469
configs/splits/u1000_top1000_none_k8_sparse/seed123_train100.json,123,Train100,unused,600,0.1002,0.4994,0.29836666666666667,0.296,0.11589681368451085,0.11896,0.1989,0.296,0.3991,0.48302
configs/splits/u1000_top1000_none_k8_sparse/seed123_train200.json,123,Train200,train,200,0.1042,0.4998,0.30977,0.31179999999999997,0.11279890026059651,0.12696,0.2124,0.31179999999999997,0.40919999999999995,0.47834
configs/splits/u1000_top1000_none_k8_sparse/seed123_train200.json,123,Train200,validation,99,0.107,0.4978,0.3029838383838384,0.2994,0.11639123045436435,0.12296,0.2056,0.2994,0.4118,0.48184
configs/splits/u1000_top1000_none_k8_sparse/seed123_train200.json,123,Train200,test,201,0.1014,0.4958,0.29530845771144276,0.3002,0.11411482206547176,0.1202,0.181,0.3002,0.3922,0.469
configs/splits/u1000_top1000_none_k8_sparse/seed123_train200.json,123,Train200,unused,500,0.1002,0.4994,0.2973872,0.29259999999999997,0.11663778528487241,0.11738000000000001,0.1984,0.29259999999999997,0.39949999999999997,0.48341999999999996
configs/splits/u1000_top1000_none_k8_sparse/seed123_train450.json,123,Train450,train,450,0.1006,0.4998,0.30560977777777776,0.30879999999999996,0.11462629402616505,0.11918000000000001,0.20989999999999998,0.30879999999999996,0.4063,0.48027999999999993
configs/splits/u1000_top1000_none_k8_sparse/seed123_train450.json,123,Train450,validation,99,0.107,0.4978,0.3029838383838384,0.2994,0.11639123045436435,0.12296,0.2056,0.2994,0.4118,0.48184
configs/splits/u1000_top1000_none_k8_sparse/seed123_train450.json,123,Train450,test,201,0.1014,0.4958,0.29530845771144276,0.3002,0.11411482206547176,0.1202,0.181,0.3002,0.3922,0.469
configs/splits/u1000_top1000_none_k8_sparse/seed123_train450.json,123,Train450,unused,250,0.1002,0.4982,0.2924928,0.2858,0.11710719340911557,0.11862,0.1948,0.2858,0.39039999999999997,0.48482
configs/splits/u1000_top1000_none_k8_sparse/seed123_train700.json,123,Train700,train,700,0.1002,0.4998,0.3009251428571429,0.2996,0.1156892986623205,0.11896,0.2025,0.2996,0.4023,0.48261999999999994
configs/splits/u1000_top1000_none_k8_sparse/seed123_train700.json,123,Train700,validation,99,0.107,0.4978,0.3029838383838384,0.2994,0.11639123045436435,0.12296,0.2056,0.2994,0.4118,0.48184
configs/splits/u1000_top1000_none_k8_sparse/seed123_train700.json,123,Train700,test,201,0.1014,0.4958,0.29530845771144276,0.3002,0.11411482206547176,0.1202,0.181,0.3002,0.3922,0.469
configs/splits/u1000_top1000_none_k8_sparse/seed123_train700.json,123,Train700,unused,0,,,,,,,,,,
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train20.json,2025,Train20,train,20,0.1326,0.493,0.3168,0.3154,0.12368498696284848,0.15236000000000002,0.2063,0.3154,0.4347,0.48844000000000004
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train20.json,2025,Train20,validation,99,0.1038,0.4938,0.30342424242424243,0.3114,0.11849257666806044,0.11776,0.1918,0.3114,0.4058,0.46952
