model,seed,training_universe_count,validation_count,test_count,unused_count,canonical_experiment_id,configuration_path,experiment_directory,split_manifest_path,split_manifest_sha256,dataset_sha256,repository_commit,status,validation_result,best_epoch,epochs_executed,runtime_seconds,peak_gpu_memory_mib,test_mae,test_rmse,test_mse,test_r2,prediction_mean,prediction_standard_deviation,target_standard_deviation,prediction_sd_ratio,repeated_prediction_count,repeated_prediction_fraction,residual_mean,residual_standard_deviation,low_target_bias,high_target_bias,collapse_flag
EvolveGCNHRegressor,42,20,99,201,680,u1000-top1000-sparse-evolve-train20-seed42,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train20_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train20_seed42_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed42_train20.json,01b6c2160b8e694363964f97c67ed5bc9193be1056a94cf22eb1ec7a30ec4467,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,completed,PASS,204,244,197,784.0,0.24118685042161253,0.37914764733269885,0.14375293847792056,-8.8065944993759,0.2524237290803176,0.3788481413348846,0.1213758508932744,3.121281033638274,0,0.0,-0.056196171345550626,0.3758961338562053,0.03832706144335223,-0.0972834235312892,False
StaticGCNRegressor,42,20,99,201,680,u1000-top1000-sparse-static-train20-seed42,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train20_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train20_seed42_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed42_train20.json,01b6c2160b8e694363964f97c67ed5bc9193be1056a94cf22eb1ec7a30ec4467,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,completed,PASS,37,77,22,610.0,0.06977041188015867,0.08719344210751842,0.0076026963465571674,0.4813562702648745,0.31484116691706787,0.09803460173399224,0.1213758508932744,0.8076944549718865,0,0.0,0.0062212664911996075,0.087188371648699,0.07391805932217953,-0.059633301753623816,False
EvolveGCNHRegressor,42,50,99,201,650,u1000-top1000-sparse-evolve-train50-seed42,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train50_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train50_seed42_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed42_train50.json,f30476e9ec47e624fb8384c3e9440a925cbef8691a4a254bc2c18bc91b5feb59,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,completed,PASS,40,80,99,784.0,0.12477214096012104,0.18996881918296132,0.036088152261768654,-1.4618757655326626,0.31128609385248734,0.1958640845076792,0.1213758508932744,1.613698961253027,0,0.0,0.002666193426619122,0.19042439153835425,0.08133247845313128,-0.06365694390500293,False
StaticGCNRegressor,42,50,99,201,650,u1000-top1000-sparse-static-train50-seed42,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train50_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train50_seed42_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed42_train50.json,f30476e9ec47e624fb8384c3e9440a925cbef8691a4a254bc2c18bc91b5feb59,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,completed,PASS,108,148,32,610.0,0.057560841501945285,0.07115423628649671,0.005062925341514605,0.6546153676540403,0.29869128470841927,0.09789611720262859,0.1213758508932744,0.8065534987574133,0,0.0,-0.009928615717448998,0.07063405461324643,0.04148696669760872,-0.067851067758074,False
EvolveGCNHRegressor,42,100,99,201,600,u1000-top1000-sparse-evolve-train100-seed42,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train100_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train100_seed42_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed42_train100.json,4bb58f3225549246d9f31de22f1129b7b7305eb29636bbe7b1f6e4c0ad08dade,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,completed,PASS,60,100,166,784.0,0.08921622926026435,0.11318882278825772,0.01281170960419161,0.1260057549963466,0.2923632416114285,0.10897029797266342,0.1213758508932744,0.8977922475573895,0,0.0,-0.016256658814439728,0.11229500345796524,0.06587621540415521,-0.09353631880937838,False
StaticGCNRegressor,42,100,99,201,600,u1000-top1000-sparse-static-train100-seed42,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train100_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train100_seed42_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed42_train100.json,4bb58f3225549246d9f31de22f1129b7b7305eb29636bbe7b1f6e4c0ad08dade,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,completed,PASS,88,128,37,610.0,0.04957195793959632,0.06250802289297414,0.003907252925988578,0.7334534830565903,0.30056124010044544,0.10243077250320863,0.1213758508932744,0.8439139396293571,0,0.0,-0.008058660325422809,0.062141149605931624,0.03463839739561081,-0.048908408365997615,False
EvolveGCNHRegressor,42,200,99,201,500,u1000-top1000-sparse-evolve-train200-seed42,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train200_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train200_seed42_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed42_train200.json,b7c544737231faa4696367615eb0a6aa5438747e42738dc0879384123d101cb9,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,completed,PASS,74,114,270,800.0,0.07151302572951387,0.0953728167921022,0.009095974182859892,0.37948725547756657,0.3192977125742542,0.1148232453395383,0.1213758508932744,0.9460139269425366,0,0.0,0.010677812148385974,0.09500983266555411,0.06981980084788565,-0.03868803206612082,False
StaticGCNRegressor,42,200,99,201,500,u1000-top1000-sparse-static-train200-seed42,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train200_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train200_seed42_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed42_train200.json,b7c544737231faa4696367615eb0a6aa5438747e42738dc0879384123d101cb9,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,completed,PASS,61,101,48,610.0,0.04810526629733802,0.05962273016797406,0.003554869952683044,0.7574924833322094,0.3089522016211529,0.10317309056181942,0.1213758508932744,0.8500298024896185,0,0.0,0.00033230119528462047,0.05977067279395181,0.038176145477622166,-0.042760141339956544,False
EvolveGCNHRegressor,42,450,99,201,250,u1000-top1000-sparse-evolve-train450-seed42,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train450_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train450_seed42_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed42_train450.json,659d294e629946afb7eadafccdd71a524b6cf51f2de2625a3943039054b37c70,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,completed,PASS,25,65,321,800.0,0.0660918232665133,0.08157616077864736,0.006654670007383725,0.5460291039574511,0.2981426691386237,0.09647743162976805,0.1213758508932744,0.7948651310762015,0,0.0,-0.01047723128724454,0.08110254077460827,0.04686712137624329,-0.08292277478704266,False
StaticGCNRegressor,42,450,99,201,250,u1000-top1000-sparse-static-train450-seed42,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train450_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train450_seed42_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed42_train450.json,659d294e629946afb7eadafccdd71a524b6cf51f2de2625a3943039054b37c70,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,completed,PASS,106,146,115,610.0,0.04629379184684943,0.05751727200920097,0.0033082365793804134,0.77431741580038,0.29418796649323176,0.10919576001594482,0.1213758508932744,0.8996498002882013,0,0.0,-0.014431933932636507,0.05581626681941521,0.018843222482531678,-0.044942728444641714,False
