canonical_experiment_id,experiment_name,model,training_universe_count,seed,status,validation_result,configuration_path,experiment_directory,split_manifest_path,split_manifest_sha256,dataset_sha256,repository_commit,matrix_included,invalid_reason
u1000-top1000-sparse-evolve-train20-seed42,evolvegcn_h_u1000_top1000_sparse_train20_seed42_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,20,42,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train20_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train20_seed42_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed42_train20.json,01b6c2160b8e694363964f97c67ed5bc9193be1056a94cf22eb1ec7a30ec4467,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train20-seed42,static_gcn_u1000_top1000_sparse_train20_seed42_none_h32_l3_mean_mlp_final,StaticGCNRegressor,20,42,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train20_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train20_seed42_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed42_train20.json,01b6c2160b8e694363964f97c67ed5bc9193be1056a94cf22eb1ec7a30ec4467,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train50-seed42,evolvegcn_h_u1000_top1000_sparse_train50_seed42_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,50,42,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train50_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train50_seed42_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed42_train50.json,f30476e9ec47e624fb8384c3e9440a925cbef8691a4a254bc2c18bc91b5feb59,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train50-seed42,static_gcn_u1000_top1000_sparse_train50_seed42_none_h32_l3_mean_mlp_final,StaticGCNRegressor,50,42,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train50_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train50_seed42_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed42_train50.json,f30476e9ec47e624fb8384c3e9440a925cbef8691a4a254bc2c18bc91b5feb59,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train100-seed42,evolvegcn_h_u1000_top1000_sparse_train100_seed42_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,100,42,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train100_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train100_seed42_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed42_train100.json,4bb58f3225549246d9f31de22f1129b7b7305eb29636bbe7b1f6e4c0ad08dade,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train100-seed42,static_gcn_u1000_top1000_sparse_train100_seed42_none_h32_l3_mean_mlp_final,StaticGCNRegressor,100,42,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train100_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train100_seed42_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed42_train100.json,4bb58f3225549246d9f31de22f1129b7b7305eb29636bbe7b1f6e4c0ad08dade,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train200-seed42,evolvegcn_h_u1000_top1000_sparse_train200_seed42_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,200,42,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train200_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train200_seed42_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed42_train200.json,b7c544737231faa4696367615eb0a6aa5438747e42738dc0879384123d101cb9,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train200-seed42,static_gcn_u1000_top1000_sparse_train200_seed42_none_h32_l3_mean_mlp_final,StaticGCNRegressor,200,42,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train200_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train200_seed42_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed42_train200.json,b7c544737231faa4696367615eb0a6aa5438747e42738dc0879384123d101cb9,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train450-seed42,evolvegcn_h_u1000_top1000_sparse_train450_seed42_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,450,42,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train450_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train450_seed42_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed42_train450.json,659d294e629946afb7eadafccdd71a524b6cf51f2de2625a3943039054b37c70,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train450-seed42,static_gcn_u1000_top1000_sparse_train450_seed42_none_h32_l3_mean_mlp_final,StaticGCNRegressor,450,42,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train450_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train450_seed42_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed42_train450.json,659d294e629946afb7eadafccdd71a524b6cf51f2de2625a3943039054b37c70,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
