canonical_experiment_id,status,planned_timestamp,launch_timestamp,completion_timestamp,validation_timestamp,failure_reason,invalid_reason,validation_result
u1000-top1000-sparse-evolve-train20-seed42,completed,2026-08-06T00:39:23.429286+00:00,2026-08-06T01:16:05.518734+00:00,2026-08-06T01:19:23.115097+00:00,2026-08-06T01:19:23.114900+00:00,,,PASS
u1000-top1000-sparse-static-train20-seed42,completed,2026-08-06T00:39:23.430541+00:00,2026-08-06T01:19:24.612889+00:00,2026-08-06T01:19:46.163786+00:00,2026-08-06T01:19:46.163599+00:00,,,PASS
u1000-top1000-sparse-evolve-train50-seed42,completed,2026-08-06T00:39:23.431464+00:00,2026-08-06T01:13:51.108161+00:00,2026-08-06T01:15:30.395594+00:00,2026-08-06T01:15:30.395409+00:00,,,PASS
u1000-top1000-sparse-static-train50-seed42,completed,2026-08-06T00:39:23.432034+00:00,2026-08-06T01:15:31.859584+00:00,2026-08-06T01:16:04.088975+00:00,2026-08-06T01:16:04.088794+00:00,,,PASS
u1000-top1000-sparse-evolve-train100-seed42,completed,2026-08-06T00:39:23.432877+00:00,2026-08-06T01:10:25.018797+00:00,2026-08-06T01:13:10.888848+00:00,2026-08-06T01:13:10.888669+00:00,,,PASS
u1000-top1000-sparse-static-train100-seed42,completed,2026-08-06T00:39:23.433481+00:00,2026-08-06T01:13:12.389488+00:00,2026-08-06T01:13:49.654384+00:00,2026-08-06T01:13:49.654193+00:00,,,PASS
u1000-top1000-sparse-evolve-train200-seed42,completed,2026-08-06T00:39:23.434404+00:00,2026-08-06T01:05:04.562305+00:00,2026-08-06T01:09:34.474358+00:00,2026-08-06T01:09:34.474157+00:00,,,PASS
u1000-top1000-sparse-static-train200-seed42,completed,2026-08-06T00:39:23.435072+00:00,2026-08-06T01:09:35.861999+00:00,2026-08-06T01:10:23.589798+00:00,2026-08-06T01:10:23.589617+00:00,,,PASS
u1000-top1000-sparse-evolve-train450-seed42,completed,2026-08-06T00:39:23.436037+00:00,2026-08-06T00:57:45.211427+00:00,2026-08-06T01:03:06.743735+00:00,2026-08-06T01:03:06.743532+00:00,,,PASS
u1000-top1000-sparse-static-train450-seed42,completed,2026-08-06T00:39:23.436657+00:00,2026-08-06T01:03:08.103603+00:00,2026-08-06T01:05:03.188768+00:00,2026-08-06T01:05:03.188533+00:00,,,PASS
u1000-top1000-sparse-evolve-train700-seed42,completed,2026-08-06T00:39:23.437536+00:00,,2026-08-06T00:00:00+00:00,2026-08-06T00:39:23.460792+00:00,,,PASS
u1000-top1000-sparse-static-train700-seed42,completed,2026-08-06T00:39:23.437613+00:00,,2026-08-06T00:00:00+00:00,2026-08-06T00:39:23.466279+00:00,,,PASS
u1000-top1000-sparse-evolve-train20-seed123,completed,2026-08-06T00:39:23.437910+00:00,2026-08-06T02:10:57.480932+00:00,2026-08-06T02:13:59.550457+00:00,2026-08-06T02:13:59.550151+00:00,,,PASS
u1000-top1000-sparse-static-train20-seed123,completed,2026-08-06T00:39:23.438476+00:00,2026-08-06T02:14:01.203643+00:00,2026-08-06T02:14:22.963767+00:00,2026-08-06T02:14:22.963596+00:00,,,PASS
u1000-top1000-sparse-evolve-train50-seed123,completed,2026-08-06T00:39:23.439235+00:00,2026-08-06T02:07:35.255079+00:00,2026-08-06T02:10:21.855465+00:00,2026-08-06T02:10:21.855279+00:00,,,PASS
u1000-top1000-sparse-static-train50-seed123,completed,2026-08-06T00:39:23.439795+00:00,2026-08-06T02:10:23.498697+00:00,2026-08-06T02:10:55.709785+00:00,2026-08-06T02:10:55.709606+00:00,,,PASS
u1000-top1000-sparse-evolve-train100-seed123,completed,2026-08-06T00:39:23.440578+00:00,2026-08-06T02:03:16.825146+00:00,2026-08-06T02:06:54.939274+00:00,2026-08-06T02:06:54.939062+00:00,,,PASS
u1000-top1000-sparse-static-train100-seed123,completed,2026-08-06T00:39:23.441133+00:00,2026-08-06T02:06:56.433213+00:00,2026-08-06T02:07:33.809136+00:00,2026-08-06T02:07:33.808945+00:00,,,PASS
u1000-top1000-sparse-evolve-train200-seed123,completed,2026-08-06T00:39:23.441898+00:00,2026-08-06T01:56:28.008496+00:00,2026-08-06T02:02:05.182035+00:00,2026-08-06T02:02:05.181853+00:00,,,PASS
u1000-top1000-sparse-static-train200-seed123,completed,2026-08-06T00:39:23.442451+00:00,2026-08-06T02:02:06.664832+00:00,2026-08-06T02:03:15.315529+00:00,2026-08-06T02:03:15.315290+00:00,,,PASS
u1000-top1000-sparse-evolve-train450-seed123,completed,2026-08-06T00:39:23.443308+00:00,2026-08-06T01:47:37.225865+00:00,2026-08-06T01:54:50.625427+00:00,2026-08-06T01:54:50.625213+00:00,,,PASS
u1000-top1000-sparse-static-train450-seed123,completed,2026-08-06T00:39:23.443902+00:00,2026-08-06T01:54:52.141736+00:00,2026-08-06T01:56:26.554652+00:00,2026-08-06T01:56:26.554401+00:00,,,PASS
u1000-top1000-sparse-evolve-train700-seed123,completed,2026-08-06T00:39:23.444729+00:00,2026-08-06T01:19:47.625980+00:00,2026-08-06T01:45:23.368438+00:00,2026-08-06T01:45:23.368207+00:00,,,PASS
u1000-top1000-sparse-static-train700-seed123,completed,2026-08-06T00:39:23.445288+00:00,2026-08-06T01:45:24.861875+00:00,2026-08-06T01:47:35.750673+00:00,2026-08-06T01:47:35.750485+00:00,,,PASS
u1000-top1000-sparse-evolve-train20-seed2025,completed,2026-08-06T00:39:23.446164+00:00,2026-08-06T02:51:04.756645+00:00,2026-08-06T02:52:49.582434+00:00,2026-08-06T02:52:49.582204+00:00,,,PASS
u1000-top1000-sparse-static-train20-seed2025,completed,2026-08-06T00:39:23.446755+00:00,2026-08-06T02:52:51.218452+00:00,2026-08-06T02:53:13.136153+00:00,2026-08-06T02:53:13.135967+00:00,,,PASS
u1000-top1000-sparse-evolve-train50-seed2025,completed,2026-08-06T00:39:23.447616+00:00,2026-08-06T02:48:49.621274+00:00,2026-08-06T02:50:23.861813+00:00,2026-08-06T02:50:23.861577+00:00,,,PASS
u1000-top1000-sparse-static-train50-seed2025,completed,2026-08-06T00:39:23.448191+00:00,2026-08-06T02:50:25.559822+00:00,2026-08-06T02:51:03.114586+00:00,2026-08-06T02:51:03.114371+00:00,,,PASS
u1000-top1000-sparse-evolve-train100-seed2025,completed,2026-08-06T00:39:23.449068+00:00,2026-08-06T02:45:53.206692+00:00,2026-08-06T02:48:14.071177+00:00,2026-08-06T02:48:14.070970+00:00,,,PASS
u1000-top1000-sparse-static-train100-seed2025,completed,2026-08-06T00:39:23.449777+00:00,2026-08-06T02:48:15.740924+00:00,2026-08-06T02:48:48.030289+00:00,2026-08-06T02:48:48.029991+00:00,,,PASS
u1000-top1000-sparse-evolve-train200-seed2025,completed,2026-08-06T00:39:23.450670+00:00,2026-08-06T02:41:29.055988+00:00,2026-08-06T02:44:51.862157+00:00,2026-08-06T02:44:51.861951+00:00,,,PASS
u1000-top1000-sparse-static-train200-seed2025,completed,2026-08-06T00:39:23.451278+00:00,2026-08-06T02:44:53.451069+00:00,2026-08-06T02:45:51.616966+00:00,2026-08-06T02:45:51.616783+00:00,,,PASS
u1000-top1000-sparse-evolve-train450-seed2025,completed,2026-08-06T00:39:23.452167+00:00,2026-08-06T02:33:12.059169+00:00,2026-08-06T02:39:20.080886+00:00,2026-08-06T02:39:20.080683+00:00,,,PASS
u1000-top1000-sparse-static-train450-seed2025,completed,2026-08-06T00:39:23.452777+00:00,2026-08-06T02:39:21.642692+00:00,2026-08-06T02:41:27.465745+00:00,2026-08-06T02:41:27.465533+00:00,,,PASS
u1000-top1000-sparse-evolve-train700-seed2025,completed,2026-08-06T00:39:23.453645+00:00,2026-08-06T02:14:24.549792+00:00,2026-08-06T02:30:47.614387+00:00,2026-08-06T02:30:47.614177+00:00,,,PASS
u1000-top1000-sparse-static-train700-seed2025,completed,2026-08-06T00:39:23.454304+00:00,2026-08-06T02:30:49.156430+00:00,2026-08-06T02:33:10.416402+00:00,2026-08-06T02:33:10.416209+00:00,,,PASS
invalid-excluded-evolve-train700-seed42-20260805t235518z,invalid,,,,,configuration invalid; excluded from scientific matrix,preserved failed invalid configuration attempt,
