model,training_universe_count,successful_seed_count,mean_MAE,std_MAE,mean_MSE,std_MSE,mean_RMSE,std_RMSE,mean_R2,std_R2,mean_prediction_sd_ratio,std_prediction_sd_ratio,median_best_epoch,mean_runtime_seconds,std_runtime_seconds
EvolveGCN-H,20,3,0.542741292504,0.493811974927,1.01506851738,1.49408781283,0.81200191573,0.730467048781,-76.1201457166,115.45180708,6.91402634364,6.46191041373,170,161.333333333,49.3592274386
EvolveGCN-H,50,3,0.176703664346,0.103221177197,0.172653943486,0.246971684508,0.340620819184,0.291456860507,-12.0927192807,19.1075554732,3.05979136475,2.63245875446,40,119.666666667,40.203648259
EvolveGCN-H,100,3,0.164244278067,0.132782495557,0.0737773634056,0.104697137241,0.224030527059,0.18809978609,-4.59296498721,8.10273097888,1.91248532764,1.7045491229,60,174.666666667,39.715656023
EvolveGCN-H,200,3,0.0704477634497,0.000927635248848,0.00845618188273,0.000558387472057,0.0919246357798,0.00301078548407,0.397555304361,0.0399046808138,0.933020068188,0.0604511476556,74,270,68
EvolveGCN-H,450,3,0.0637782685595,0.00416413857061,0.00628037121554,0.000795797456552,0.079138486619,0.00511925060799,0.554428216915,0.0301632097782,0.789577022449,0.0540479029929,35,373.666666667,56.2968323561
EvolveGCN-H,700,3,0.0579759082935,0.00334505493216,0.00563797827873,0.00109783342854,0.0748471858801,0.00733590940836,0.594620176769,0.104979997309,0.887988478514,0.0751800609781,100,1017,502.862804351
Static GCN,20,3,0.0687351595629,0.00564551762436,0.00735112086089,0.000979547473102,0.0856080208834,0.00579494883216,0.478441494873,0.0415820957316,0.804696928397,0.0559342221801,37,21.6666666667,0.57735026919
Static GCN,50,3,0.0582235434261,0.00579118156987,0.00521335321561,0.000861702564143,0.0720412651438,0.00592570655079,0.625635135897,0.0864013008666,0.785098668544,0.0906404257698,108,33.6666666667,2.88675134595
Static GCN,100,3,0.0506208747329,0.000909682032272,0.00411744096788,0.000253168693849,0.0641472900345,0.00196194385038,0.706390354202,0.0237127888116,0.817556467427,0.0363840960991,63,35.3333333333,2.88675134595
Static GCN,200,3,0.0460801839483,0.00175377921222,0.00331793978738,0.000206672570154,0.0575832279542,0.0017797383602,0.763732283918,0.011939888288,0.846472678693,0.030436991393,94,58.3333333333,10.5039675044
Static GCN,450,3,0.0421348190673,0.00378024545614,0.00292162750146,0.00037105145519,0.0539796843162,0.00342516771472,0.792589541582,0.0158584479081,0.874238627387,0.0422728648456,106,111.666666667,16.2583311977
Static GCN,700,3,0.039673901872,0.00305240500608,0.0026046133813,0.000316805697944,0.0509741057141,0.00306282417435,0.81489774138,0.0157256361446,0.855343982662,0.0249062057531,73,133.666666667,6.42910050733
