model,training_universe_count,successful_seed_count,failed_seed_count,mean_test_mae,sample_sd_test_mae,median_test_mae,mean_test_rmse,sample_sd_test_rmse,median_test_rmse,mean_test_r2,sample_sd_test_r2,median_test_r2,mean_prediction_sd_ratio,sample_sd_prediction_sd_ratio,median_prediction_sd_ratio,mean_runtime_seconds,sample_sd_runtime_seconds,median_runtime_seconds
EvolveGCNHRegressor,20,3,0,0.5427412925037876,0.4938119749269695,0.27441356794454563,0.8120019157295881,0.7304670487805861,0.401484079374664,-76.12014571660387,115.45180707951795,-10.12360163730956,6.914026343639117,6.461910413728087,3.245545141156175,161.33333333333334,49.35922743857863,182.0
EvolveGCNHRegressor,50,3,0,0.17670366434599727,0.10322117719727275,0.12477214096012104,0.34062081918359743,0.29145686050742364,0.18996881918296132,-12.092719280732942,19.107555473246464,-1.4618757655326626,3.0597913647527255,2.632458754462546,1.613698961253027,119.66666666666667,40.203648258999245,99.0
EvolveGCNHRegressor,100,3,0,0.1642442780668858,0.13278249555736288,0.08921622926026435,0.22403052705862322,0.18809978609028336,0.11768884653237355,-4.592964987207262,8.102730978883603,0.0441728033904234,1.9124853276428928,1.704549122904979,0.9592545238533917,174.66666666666666,39.71565602295061,166.0
EvolveGCNHRegressor,200,3,0,0.07044776344971475,0.0009276352488482363,0.07001218570405571,0.09192463577976681,0.003010785484070646,0.09058442677968888,0.3975553043608379,0.039904680813757275,0.37948725547756657,0.9330200681883185,0.06045114765560937,0.9460139269425366,270.0,68.0,270.0
EvolveGCNHRegressor,450,3,0,0.06377826855945745,0.004164138570611352,0.0660918232665133,0.07913848661903589,0.005119250607990702,0.08157616077864736,0.5544282169151717,0.030163209778212713,0.5460291039574511,0.7895770224493013,0.05404790299290833,0.7948651310762015,373.6666666666667,56.29683235612225,367.0
EvolveGCNHRegressor,700,3,0,0.0579759082934552,0.0033450549321615286,0.056717277833478366,0.07484718588005462,0.007335909408356574,0.07491538822327627,0.5946201767692284,0.10497999730850736,0.6126970189598129,0.8879884785136153,0.07518006097805616,0.8604586513650102,1017.0,502.8628043512465,983.0
StaticGCNRegressor,20,3,0,0.06873515956289139,0.005645517624356692,0.06977041188015867,0.0856080208834294,0.0057949488321620765,0.08719344210751842,0.4784414948731403,0.0415820957315648,0.4813562702648745,0.8046969283968602,0.05593422218008807,0.8076944549718865,21.666666666666668,0.5773502691896257,22.0
StaticGCNRegressor,50,3,0,0.058223543426092976,0.005791181569870665,0.057560841501945285,0.07204126514383631,0.005925706550790616,0.07115423628649671,0.6256351358965869,0.08640130086661274,0.6546153676540403,0.7850986685443359,0.09064042576982054,0.8065534987574133,33.666666666666664,2.886751345948129,32.0
StaticGCNRegressor,100,3,0,0.050620874732881044,0.0009096820322719811,0.051096840136086764,0.06414729003448133,0.001961943850375034,0.06361273525012862,0.7063903542022453,0.02371278881163716,0.6964624886644281,0.8175564674268709,0.03638409609913082,0.83271084257858,35.333333333333336,2.886751345948129,37.0
StaticGCNRegressor,200,3,0,0.04608018394825273,0.0017537792122223487,0.04507240037716443,0.05758322795424419,0.0017797383601990914,0.05678208990944873,0.7637322839175914,0.01193988828798384,0.7574924833322094,0.8464726786926731,0.030436991393010527,0.8500298024896185,58.333333333333336,10.503967504392486,58.0
StaticGCNRegressor,450,3,0,0.04213481906733505,0.0037802454561422327,0.041203141360733636,0.0539796843161626,0.003425167714722925,0.053742516683681255,0.7925895415821093,0.01585844790812187,0.8006828031414077,0.8742386273866193,0.042272864845573674,0.8976259671274877,111.66666666666667,16.258331197676263,115.0
StaticGCNRegressor,700,3,0,0.039673901871958774,0.003052405006078695,0.03821883446986402,0.05097410571413071,0.003062824174348382,0.04982259949782038,0.8148977413800472,0.015725636144572272,0.8182176583550029,0.8553439826619184,0.024906205753058457,0.85501448529432,133.66666666666666,6.429100507328637,131.0
