model,training_universe_count,successful_seed_count,failed_seed_count,mean_runtime_seconds,sample_sd_runtime_seconds,median_runtime_seconds
EvolveGCNHRegressor,20,3,0,161.33333333333334,49.35922743857863,182.0
EvolveGCNHRegressor,50,3,0,119.66666666666667,40.203648258999245,99.0
EvolveGCNHRegressor,100,3,0,174.66666666666666,39.71565602295061,166.0
EvolveGCNHRegressor,200,3,0,270.0,68.0,270.0
EvolveGCNHRegressor,450,3,0,373.6666666666667,56.29683235612225,367.0
EvolveGCNHRegressor,700,3,0,1017.0,502.8628043512465,983.0
StaticGCNRegressor,20,3,0,21.666666666666668,0.5773502691896257,22.0
StaticGCNRegressor,50,3,0,33.666666666666664,2.886751345948129,32.0
StaticGCNRegressor,100,3,0,35.333333333333336,2.886751345948129,37.0
StaticGCNRegressor,200,3,0,58.333333333333336,10.503967504392486,58.0
StaticGCNRegressor,450,3,0,111.66666666666667,16.258331197676263,115.0
StaticGCNRegressor,700,3,0,133.66666666666666,6.429100507328637,131.0
