model,training_count,seed,top1000_mae,top1500_mae,top1500_minus_top1000_mae
EvolveGCN-H,20,42,0.241186850422,2.241556640213995,2.000369789791995
Static GCN,20,42,0.0697704118802,0.061415342549186444,-0.008355069331013557
EvolveGCN-H,50,42,0.12477214096,0.09557411304920616,-0.029198027910793845
Static GCN,50,42,0.0575608415019,0.060007140781748944,0.0024462992798489416
EvolveGCN-H,100,42,0.0892162292603,0.09463689554093489,0.005420666280634895
Static GCN,100,42,0.0495719579396,0.05227495203563823,0.002702994096038226
EvolveGCN-H,200,42,0.0715130257295,0.07268764490067069,0.0011746191711706905
Static GCN,200,42,0.0481052662973,0.04839978229940234,0.00029451600210234075
EvolveGCN-H,450,42,0.0660918232665,0.04961400164003989,-0.01647782162646011
Static GCN,450,42,0.0462937918468,0.04342142370209765,-0.0028723681447023475
EvolveGCN-H,700,42,0.0554427435594,0.06025855836287067,0.004815814803470667
Static GCN,700,42,0.0431815903282,0.038196001405739664,-0.004985588922460336
EvolveGCN-H,20,123,1.11262345915,1.5146935710414726,0.4020701118914727
Static GCN,20,123,0.0626436605382,0.06668666464772391,0.004043004109523907
EvolveGCN-H,50,123,0.295577709206,0.2695840964862956,-0.025993612719704406
Static GCN,50,123,0.064317567691,0.059725016133109134,-0.004592551557890866
EvolveGCN-H,100,123,0.317556769842,0.11518640430709023,-0.20237036553490975
Static GCN,100,123,0.0510968401361,0.04771475241848486,-0.00338208771761514
EvolveGCN-H,200,123,0.0700121857041,0.06546647939367674,-0.004545706310423267
Static GCN,200,123,0.0450628851703,0.04271652026852565,-0.002346364901774353
EvolveGCN-H,450,123,0.0589710599303,0.054882098897476105,-0.0040889610328238984
Static GCN,450,123,0.0389075239944,0.040431915824093036,0.0015243918296930364
EvolveGCN-H,700,123,0.0617677034875,0.05098572128744268,-0.01078198220005732
Static GCN,700,123,0.0376212808178,0.036829303894469985,-0.0007919769233300164
EvolveGCN-H,20,2025,0.274413567945,0.3479225144754002,0.07350894653040019
Static GCN,20,2025,0.0737914062703,0.06636092570883717,-0.007430480561462824
EvolveGCN-H,50,2025,0.109761142872,0.11082304313556472,0.0010619002635647162
Static GCN,50,2025,0.0527922210853,0.05361001812551745,0.0008177970402174495
EvolveGCN-H,100,2025,0.0859598350985,0.07860984382641256,-0.007349991272087436
Static GCN,100,2025,0.051193826123,0.051992061867642755,0.0007982357446427585
EvolveGCN-H,200,2025,0.0698180789156,0.07108687183157128,0.0012687929159712757
Static GCN,200,2025,0.0450724003772,0.0468237580573974,0.0017513576801974004
EvolveGCN-H,450,2025,0.0662719224816,0.05831708503303243,-0.007954837448567578
Static GCN,450,2025,0.0412031413607,0.03941696237272291,-0.0017861789879770953
EvolveGCN-H,700,2025,0.0567172778335,0.054932502816565594,-0.0017847750169344076
Static GCN,700,2025,0.0382188344699,0.03863455318099824,0.00041571871109823827
