model,training_count,seed_count,seed42_difference,seed123_difference,seed2025_difference,mean_paired_difference,sample_std_paired_difference,top1500_wins,top1000_wins,ties
EvolveGCN-H,20,3,2.000369789791995,0.4020701118914727,0.07350894653040019,0.825316282737956,1.030801226316623,0,3,0
EvolveGCN-H,50,3,-0.029198027910793845,-0.025993612719704406,0.0010619002635647162,-0.018043246788977844,0.01662293752932008,2,1,0
EvolveGCN-H,100,3,0.005420666280634895,-0.20237036553490975,-0.007349991272087436,-0.06809989684212077,0.11645682245286511,2,1,0
EvolveGCN-H,200,3,0.0011746191711706905,-0.004545706310423267,0.0012687929159712757,-0.000700764741093767,0.0033301499856944793,1,2,0
EvolveGCN-H,450,3,-0.01647782162646011,-0.0040889610328238984,-0.007954837448567578,-0.009507206702617196,0.0063386397931911986,3,0,0
EvolveGCN-H,700,3,0.004815814803470667,-0.01078198220005732,-0.0017847750169344076,-0.002583647471173687,0.007829525256324509,2,1,0
Static GCN,20,3,-0.008355069331013557,0.004043004109523907,-0.007430480561462824,-0.003914181927650824,0.0069066144615760345,2,1,0
Static GCN,50,3,0.0024462992798489416,-0.004592551557890866,0.0008177970402174495,-0.0004428184126081582,0.0036848634667942083,1,2,0
Static GCN,100,3,0.002702994096038226,-0.00338208771761514,0.0007982357446427585,3.971404102194829e-05,0.0031126470328101123,1,2,0
Static GCN,200,3,0.00029451600210234075,-0.002346364901774353,0.0017513576801974004,-0.00010016373982487069,0.002077176367985182,1,2,0
Static GCN,450,3,-0.0028723681447023475,0.0015243918296930364,-0.0017861789879770953,-0.0010447184343288021,0.002290239590648465,2,1,0
Static GCN,700,3,-0.004985588922460336,-0.0007919769233300164,0.00041571871109823827,-0.0017872823782307048,0.0028348731452219928,2,1,0
