model,training_count,seed_count,test_mae_mean,test_mae_sample_std,test_mse_mean,test_mse_sample_std,test_rmse_mean,test_rmse_sample_std,test_r2_mean,test_r2_sample_std,prediction_sd_ratio_mean,prediction_sd_ratio_sample_std
EvolveGCNHRegressor,20,3,1.3680575752436226,0.9552953140197868,5.091736711196714,4.600666271636113,1.9749754092907208,1.3367173470261005,-362.5887628079366,317.97203224999834,16.628174781779073,11.056901288214032
EvolveGCNHRegressor,50,3,0.15866041755702215,0.09636482437901327,0.09821390004003493,0.12880223708376723,0.26856316896920884,0.1978170530310181,-6.411620964759192,10.003719729220276,2.451879095324386,1.7149001513648918
EvolveGCNHRegressor,100,3,0.09614438122481256,0.018334818760066596,0.02401377943420607,0.017365801017767704,0.1483583119143572,0.05482140166205671,-0.7653464777278939,1.3923721707831287,1.3379336889075035,0.5085199662344478
EvolveGCNHRegressor,200,3,0.06974699870863957,0.0037924599943856855,0.007693649201215712,0.000882146102683607,0.08761831802805496,0.005001931699403517,0.45345710482829177,0.03740684169542934,0.7860701739075187,0.10224430377761631
EvolveGCNHRegressor,450,3,0.054271061856849476,0.004383598959201099,0.005076681608635556,0.0012002303364405033,0.07088974217830038,0.008774342926651807,0.6354760078960163,0.10140014546902781,0.8567935143127312,0.014528505283332499
EvolveGCNHRegressor,700,3,0.05539226082229298,0.004653483633229066,0.007685509956723751,0.005063849929333923,0.08474075652012966,0.027509474943731318,0.46217742499831144,0.33242652095185143,0.9326597593936442,0.18385272989556734
StaticGCNRegressor,20,3,0.06482097763524917,0.0029538600540044025,0.006792601250789483,0.0006002179927601991,0.08236210579279604,0.0036914997289221926,0.5143131346044214,0.06660892987505532,0.7967953051428679,0.05358098221156469
StaticGCNRegressor,50,3,0.05778072501345851,0.0036146916242166174,0.005188597865009286,0.00033261347301207455,0.07200683400373223,0.002328214477310609,0.6295802815267676,0.03812350391264209,0.7844373331946717,0.14147324748924897
StaticGCNRegressor,100,3,0.05066058877392195,0.0025550871974451836,0.004140790918034128,0.0004544227803807989,0.06428230301617582,0.0035867332568818764,0.705991212820459,0.015196389618743885,0.8680138472960612,0.021303603027202515
StaticGCNRegressor,200,3,0.045980020208441795,0.002934073447652825,0.003413918799771824,0.0003930531561132221,0.05836177406350927,0.0034253747090765177,0.7576897414991203,0.01303222412141026,0.8328253359479015,0.02126600309755418
StaticGCNRegressor,450,3,0.0410901006329712,0.002081786028052096,0.0027191484286873298,0.00011397649316967915,0.052137794861691386,0.0010946065371976348,0.8060191678779561,0.015079704356605939,0.8406955300098845,0.025754108443350108
StaticGCNRegressor,700,3,0.037886619493735965,0.0009415514442843749,0.00243552381652205,6.180252017865421e-05,0.049348396927803254,0.0006239437210532525,0.8263225702786863,0.010565686210240736,0.8709021249251278,0.04498121748309098
