model,training_universe_count,seed,test_mae,test_mse,test_rmse,test_r2,prediction_sd_ratio,repeated_prediction_fraction,residual_mean,residual_standard_deviation,low_target_bias,high_target_bias,collapse_flag,best_epoch,epochs_executed,runtime_seconds,peak_gpu_memory_mib
EvolveGCNHRegressor,20,42,2.241556640213995,9.381522741868856,3.0629271525566613,-638.9924084356145,24.94769261161704,0.0,0.36154001031942035,3.0491089879866746,0.9874467737972736,-0.6683785584641666,False,112,152,,
StaticGCNRegressor,20,42,0.061415342549186444,0.006099594555658456,0.07809990112451139,0.5838954594508639,0.8565064841054508,0.0,0.006469218440316803,0.07802584499556586,0.05901371315121651,-0.05748742600766624,False,75,115,,
EvolveGCNHRegressor,50,42,0.09557411304920616,0.025239799437355305,0.1588703856524409,-0.7218185655783027,1.4335931736052017,0.0,0.010201041299423471,0.15893840594623937,0.055776362656615674,-0.05389687019150432,False,44,84,,
StaticGCNRegressor,50,42,0.060007140781748944,0.005438438281356976,0.07374576788777086,0.6289984782235103,0.8622871045024255,0.0,-0.00360426454994809,0.07384155196231332,0.0429580818861723,-0.0612529349036333,False,75,115,,
EvolveGCNHRegressor,100,42,0.09463689554093489,0.018182066330626533,0.13484089264991733,-0.2403513524879768,1.2145711057711237,0.0,-0.026923488028606966,0.1324555702249437,0.036470025405287744,-0.0808140193907226,False,91,131,,
StaticGCNRegressor,100,42,0.05227495203563823,0.004330270616854414,0.06580479174691166,0.7045958958357159,0.8675753156751886,0.0,-0.008018858026509262,0.06547746463837102,0.03253702111542225,-0.06096489109644076,False,59,99,,
EvolveGCNHRegressor,200,42,0.07268764490067069,0.00864047537257944,0.0929541573711442,0.41056065247845397,0.7770320234896155,0.0,-0.01663047857397231,0.09168272502361058,0.06194362528622151,-0.10355579925746453,False,54,94,,
StaticGCNRegressor,200,42,0.04839978229940234,0.0036462954122575475,0.06038456269823892,0.7512555853706144,0.8186901919376737,0.0,0.007709428742157286,0.06003994021758168,0.046715020388364795,-0.05425325762934801,False,55,95,,
EvolveGCNHRegressor,450,42,0.04961400164003989,0.0036934932117489634,0.060774116297556836,0.7480358273206162,0.8694351971762875,0.0,0.0015591405962237079,0.060905809278031284,0.031762392818927766,-0.04583652426556843,False,39,79,,
StaticGCNRegressor,450,42,0.04342142370209765,0.002827873908997095,0.0531777576529614,0.8070869853894573,0.8701546245803443,0.0,-0.005070789388163173,0.05306761544480661,0.030585546791553498,-0.05018605400876301,False,92,132,,
EvolveGCNHRegressor,700,42,0.06025855836287067,0.01350010154844791,0.1161899373803425,0.07904476257812743,1.1342722113272288,0.0,0.004674674933822594,0.11638573884941641,0.030363256484270094,-0.08311735348003667,False,107,147,,
StaticGCNRegressor,700,42,0.038196001405739664,0.0023963024075679008,0.04895204191418271,0.83652809982381,0.9228177355832085,0.0,-0.0021046245127768065,0.049028892788275984,0.018156958743929863,-0.040830963995398546,False,110,150,,
EvolveGCNHRegressor,20,123,1.5146935710414726,5.660592394848399,2.379199948480245,-433.68811487372113,20.85556576456463,0.0,0.10783919773588133,2.3826892197245284,0.1956851925700903,0.1614523297402917,False,84,124,,
StaticGCNRegressor,20,123,0.06668666464772391,0.007147346516260506,0.08454198079215146,0.4511410879310018,0.7809701463367126,0.0,0.0023086813107058776,0.08472146475008818,0.06399052329361439,-0.08935162388696903,False,33,73,,
EvolveGCNHRegressor,50,123,0.2695840964862956,0.2469333064545094,0.49692384371703213,-17.96249826783726,4.43180513514998,0.0,0.04930977352816074,0.4957059228540208,0.034596652165055274,0.018869852147451262,False,216,256,,
StaticGCNRegressor,50,123,0.059725016133109134,0.005316297029011377,0.07291294143710962,0.591751009001663,0.6211370497096638,0.0,0.002524677274832085,0.0730511645960396,0.07970100976526737,-0.08302351250881101,False,62,102,,
EvolveGCNHRegressor,100,123,0.11518640430709023,0.043544821410686586,0.20867395958932342,-2.3438931848812414,1.8967857870105542,0.0,0.013372621207094905,0.20876499798769388,0.04500703029334545,-0.0975192690767893,False,144,184,,
StaticGCNRegressor,100,123,0.04771475241848486,0.003622290350611749,0.060185466273941494,0.7218371410268517,0.8469328955147979,0.0,0.006982722759839907,0.05992828708663645,0.04907499812543392,-0.04196086816671418,False,61,101,,
EvolveGCNHRegressor,200,123,0.06546647939367674,0.006894933337501742,0.0830357353041553,0.4705243964595909,0.8925335061039876,0.0,0.009789715099394025,0.0826625083689898,0.05404513645917177,-0.06396281973617833,False,86,126,,
StaticGCNRegressor,200,123,0.04271652026852565,0.0029601040490554735,0.054406838256376135,0.7726877402292709,0.857282306033535,0.0,0.0015927281100951618,0.05451930944678133,0.04245193600654602,-0.0425560234523401,False,73,113,,
EvolveGCNHRegressor,450,123,0.054882098897476105,0.005843410716081311,0.07644220507076775,0.5512729037127018,0.8409218427311299,0.0,-0.0028368022237251055,0.07658028522779804,0.03967376966029405,-0.08072190168427258,False,89,129,,
StaticGCNRegressor,450,123,0.040431915824093036,0.00272900965947645,0.05223992399952789,0.7904339366618953,0.8294866945885205,0.0,0.0032904621083938066,0.052266369982835265,0.048621805012226106,-0.04342045871222892,False,50,90,,
EvolveGCNHRegressor,700,123,0.05098572128744268,0.004243920633946737,0.06514538075678687,0.6741009188856459,0.7742675914874473,0.0,-0.008382940840958362,0.0647650767890207,0.037222950160503386,-0.08059969399033523,False,70,110,,
StaticGCNRegressor,700,123,0.036829303894469985,0.002403503015983567,0.049025534326344336,0.8154302372907066,0.8435706552411374,0.0,0.0050274504357902565,0.04888884225352177,0.040961673855781554,-0.038683905834104956,False,77,117,,
EvolveGCNHRegressor,20,2025,0.3479225144754002,0.23309499687288568,0.48279912683525605,-15.085765114474029,4.0812659691555515,0.0,-0.025906958464366286,0.4833072992495472,0.00012176595628261566,-0.10205864034047941,False,97,137,,
StaticGCNRegressor,20,2025,0.06636092570883717,0.007130862680449487,0.08444443546172528,0.5079028564313987,0.7529092849864402,0.0,-0.006726390241983518,0.08438629300150496,0.06572157479822635,-0.08911139717916162,False,26,66,,
EvolveGCNHRegressor,50,2025,0.11082304313556472,0.022468594228240085,0.14989527753815357,-0.5505460608620134,1.4902389772179765,0.0,0.03434411169432882,0.14627208073063153,0.05527038332074881,0.031087541362134423,False,89,129,,
StaticGCNRegressor,50,2025,0.05361001812551745,0.004811058284659506,0.06936179268631619,0.6679913573551294,0.8698878453719259,0.0,0.004139297377707353,0.06941105188936271,0.05784852709621191,-0.044344437558476515,False,158,198,,
EvolveGCNHRegressor,100,2025,0.07860984382641256,0.010314450561305085,0.1015600835038308,0.28820510418553646,0.902444173940833,0.0,-0.027019448837830654,0.09814439334742439,0.042617556639015675,-0.10452036486893165,False,56,96,,
StaticGCNRegressor,100,2025,0.051992061867642755,0.004469811786636222,0.0668566510276743,0.6915406015988093,0.8895333306981973,0.0,0.0014370001518904272,0.06700810063929351,0.04675405696034431,-0.04614813662156826,False,82,122,,
EvolveGCNHRegressor,200,2025,0.07108687183157128,0.007545538893565954,0.08686506140886538,0.4792862655468305,0.6886449921289527,0.0,-0.010613245676405987,0.08642952272995087,0.06429864913225174,-0.10411652559187354,False,46,86,,
StaticGCNRegressor,200,2025,0.0468237580573974,0.0036353569380024515,0.06029392123591276,0.7491258988974755,0.8225035098724961,0.0,0.004509592271266292,0.06027516584902221,0.052291435189545155,-0.048607251266153846,False,80,120,,
EvolveGCNHRegressor,450,2025,0.05831708503303243,0.005693140898076393,0.07545290516657654,0.6071192926547311,0.8600235030307762,0.0,-0.007731893317616401,0.07524310943482067,0.03666226342320442,-0.06494826369169282,False,36,76,,
StaticGCNRegressor,450,2025,0.03941696237272291,0.0026005617175884448,0.05099570293258487,0.8205365815825157,0.8224452708607887,0.009950248756218905,0.006473083771876434,0.05070950806891217,0.04071359485387802,-0.04578572366295791,False,195,235,,
EvolveGCNHRegressor,700,2025,0.054932502816565594,0.005312507687776605,0.0728869514232596,0.633386593531161,0.8894394753662567,0.0,0.0041780782427953845,0.07294879441583359,0.045359973609447476,-0.051039290864293166,False,64,104,,
StaticGCNRegressor,700,2025,0.03863455318099824,0.0025067660260146814,0.05006761454288272,0.8270093737215422,0.8463179839510373,0.0,0.0035437530101235233,0.05006674425026069,0.033701812103390696,-0.045673843564056765,False,136,176,,
