canonical_experiment_id,experiment_name,model,training_universe_count,seed,status,dataset_sha256,partition_identity,split_binding_identity,split_manifest_path,split_manifest_sha256,configuration_path,experiment_directory
u1000-top1500-sparse-evolve-train20-seed42,evolvegcn_h_u1000_top1500_sparse_train20_seed42_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,20,42,planned,ff6f6a89517c0b67a96a8733ce5778dba1524df441cc23c27fbfa4e2f5cdb113,539464ddcb8616842c751857c6e92286408b9c2cc16b8a470d4befb47a27b6e2,c4b477bc5df1ab627257e6a8af50fa99ffa1b1296f78eb3cead06a514b174877,configs/splits/u1000_top1500_none_k8_sparse/seed42_train20.json,2d97001f9f2adc21bf9833fda48e5cc48009786d6c65048679ee7da50a719a81,configs/production/u1000_top1500_training_scaling/evolvegcn_h_u1000_top1500_sparse_train20_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1500_sparse_train20_seed42_none_h32_l2_mean_temporal_mean_linear
u1000-top1500-sparse-static-train20-seed42,static_gcn_u1000_top1500_sparse_train20_seed42_none_h32_l3_mean_mlp_final,StaticGCNRegressor,20,42,planned,ff6f6a89517c0b67a96a8733ce5778dba1524df441cc23c27fbfa4e2f5cdb113,539464ddcb8616842c751857c6e92286408b9c2cc16b8a470d4befb47a27b6e2,c4b477bc5df1ab627257e6a8af50fa99ffa1b1296f78eb3cead06a514b174877,configs/splits/u1000_top1500_none_k8_sparse/seed42_train20.json,2d97001f9f2adc21bf9833fda48e5cc48009786d6c65048679ee7da50a719a81,configs/production/u1000_top1500_training_scaling/static_gcn_u1000_top1500_sparse_train20_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1500_sparse_train20_seed42_none_h32_l3_mean_mlp_final
u1000-top1500-sparse-evolve-train50-seed42,evolvegcn_h_u1000_top1500_sparse_train50_seed42_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,50,42,planned,ff6f6a89517c0b67a96a8733ce5778dba1524df441cc23c27fbfa4e2f5cdb113,9127ab43aba558b4972c8ee84ce5b6a2227fb62ce81a04bd4a023bfc0d070b63,017c823d1230ec2f1d8ddc47eb5f26e54af6d8e6ce4cd12ed05ac845be1e7d83,configs/splits/u1000_top1500_none_k8_sparse/seed42_train50.json,3c4aa319276dcd2bcf5cd6df1f5adcd75479a7698d6c134be4512fea9a9dc3dd,configs/production/u1000_top1500_training_scaling/evolvegcn_h_u1000_top1500_sparse_train50_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1500_sparse_train50_seed42_none_h32_l2_mean_temporal_mean_linear
u1000-top1500-sparse-static-train50-seed42,static_gcn_u1000_top1500_sparse_train50_seed42_none_h32_l3_mean_mlp_final,StaticGCNRegressor,50,42,planned,ff6f6a89517c0b67a96a8733ce5778dba1524df441cc23c27fbfa4e2f5cdb113,9127ab43aba558b4972c8ee84ce5b6a2227fb62ce81a04bd4a023bfc0d070b63,017c823d1230ec2f1d8ddc47eb5f26e54af6d8e6ce4cd12ed05ac845be1e7d83,configs/splits/u1000_top1500_none_k8_sparse/seed42_train50.json,3c4aa319276dcd2bcf5cd6df1f5adcd75479a7698d6c134be4512fea9a9dc3dd,configs/production/u1000_top1500_training_scaling/static_gcn_u1000_top1500_sparse_train50_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1500_sparse_train50_seed42_none_h32_l3_mean_mlp_final
u1000-top1500-sparse-evolve-train100-seed42,evolvegcn_h_u1000_top1500_sparse_train100_seed42_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,100,42,planned,ff6f6a89517c0b67a96a8733ce5778dba1524df441cc23c27fbfa4e2f5cdb113,f0c1d8f3a03ff2414cc3d80b6617cb7bcb136f8ea2d17ba8d125a758cfeae62c,e4b0840c558f628c8f1b0821cf73a8a57233cce23ca524c4350b14c29b681004,configs/splits/u1000_top1500_none_k8_sparse/seed42_train100.json,98686c4a8298ebe18a829f59b7ef25e82d8b3fa7596ab6c031cc7eba83ef8d44,configs/production/u1000_top1500_training_scaling/evolvegcn_h_u1000_top1500_sparse_train100_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1500_sparse_train100_seed42_none_h32_l2_mean_temporal_mean_linear
u1000-top1500-sparse-static-train100-seed42,static_gcn_u1000_top1500_sparse_train100_seed42_none_h32_l3_mean_mlp_final,StaticGCNRegressor,100,42,planned,ff6f6a89517c0b67a96a8733ce5778dba1524df441cc23c27fbfa4e2f5cdb113,f0c1d8f3a03ff2414cc3d80b6617cb7bcb136f8ea2d17ba8d125a758cfeae62c,e4b0840c558f628c8f1b0821cf73a8a57233cce23ca524c4350b14c29b681004,configs/splits/u1000_top1500_none_k8_sparse/seed42_train100.json,98686c4a8298ebe18a829f59b7ef25e82d8b3fa7596ab6c031cc7eba83ef8d44,configs/production/u1000_top1500_training_scaling/static_gcn_u1000_top1500_sparse_train100_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1500_sparse_train100_seed42_none_h32_l3_mean_mlp_final
u1000-top1500-sparse-evolve-train200-seed42,evolvegcn_h_u1000_top1500_sparse_train200_seed42_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,200,42,planned,ff6f6a89517c0b67a96a8733ce5778dba1524df441cc23c27fbfa4e2f5cdb113,d27f057b8b1e4357b3368b871acbd0c7cc3f58c6bb2c724c096fbaa73ab65852,44da3d50f4b1f61d37cd852d06674a19d3920d93f9376a0b4f332d3ab597d439,configs/splits/u1000_top1500_none_k8_sparse/seed42_train200.json,9dae9022565c4ef4bd8016f0efb2ac7e24c0a3de846d6e4f2fdad1dc13a3663c,configs/production/u1000_top1500_training_scaling/evolvegcn_h_u1000_top1500_sparse_train200_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1500_sparse_train200_seed42_none_h32_l2_mean_temporal_mean_linear
u1000-top1500-sparse-static-train200-seed42,static_gcn_u1000_top1500_sparse_train200_seed42_none_h32_l3_mean_mlp_final,StaticGCNRegressor,200,42,planned,ff6f6a89517c0b67a96a8733ce5778dba1524df441cc23c27fbfa4e2f5cdb113,d27f057b8b1e4357b3368b871acbd0c7cc3f58c6bb2c724c096fbaa73ab65852,44da3d50f4b1f61d37cd852d06674a19d3920d93f9376a0b4f332d3ab597d439,configs/splits/u1000_top1500_none_k8_sparse/seed42_train200.json,9dae9022565c4ef4bd8016f0efb2ac7e24c0a3de846d6e4f2fdad1dc13a3663c,configs/production/u1000_top1500_training_scaling/static_gcn_u1000_top1500_sparse_train200_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1500_sparse_train200_seed42_none_h32_l3_mean_mlp_final
u1000-top1500-sparse-evolve-train450-seed42,evolvegcn_h_u1000_top1500_sparse_train450_seed42_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,450,42,planned,ff6f6a89517c0b67a96a8733ce5778dba1524df441cc23c27fbfa4e2f5cdb113,0cb846845fa47f0a2f7f448644b051f190450c22fd761cea8beba34acba6a26d,292e9631307f1614b57f642c981d426f9915b852e773fc4b64872cf2512af999,configs/splits/u1000_top1500_none_k8_sparse/seed42_train450.json,6ec518b2cff005621d932a93b1806548af64ec2007dc68055010dd9f517aecf5,configs/production/u1000_top1500_training_scaling/evolvegcn_h_u1000_top1500_sparse_train450_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1500_sparse_train450_seed42_none_h32_l2_mean_temporal_mean_linear
u1000-top1500-sparse-static-train450-seed42,static_gcn_u1000_top1500_sparse_train450_seed42_none_h32_l3_mean_mlp_final,StaticGCNRegressor,450,42,planned,ff6f6a89517c0b67a96a8733ce5778dba1524df441cc23c27fbfa4e2f5cdb113,0cb846845fa47f0a2f7f448644b051f190450c22fd761cea8beba34acba6a26d,292e9631307f1614b57f642c981d426f9915b852e773fc4b64872cf2512af999,configs/splits/u1000_top1500_none_k8_sparse/seed42_train450.json,6ec518b2cff005621d932a93b1806548af64ec2007dc68055010dd9f517aecf5,configs/production/u1000_top1500_training_scaling/static_gcn_u1000_top1500_sparse_train450_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1500_sparse_train450_seed42_none_h32_l3_mean_mlp_final
