training_count,seed,evolve_mae,static_mae,static_minus_evolve_mae
20,42,2.241556640213995,0.061415342549186444,-2.1801412976648082
20,123,1.5146935710414726,0.06668666464772391,-1.4480069063937486
20,2025,0.3479225144754002,0.06636092570883717,-0.281561588766563
50,42,0.09557411304920616,0.060007140781748944,-0.03556697226745721
50,123,0.2695840964862956,0.059725016133109134,-0.20985908035318648
50,2025,0.11082304313556472,0.05361001812551745,-0.05721302501004727
100,42,0.09463689554093489,0.05227495203563823,-0.042361943505296665
100,123,0.11518640430709023,0.04771475241848486,-0.06747165188860538
100,2025,0.07860984382641256,0.051992061867642755,-0.026617781958769807
200,42,0.07268764490067069,0.04839978229940234,-0.024287862601268348
200,123,0.06546647939367674,0.04271652026852565,-0.02274995912515109
200,2025,0.07108687183157128,0.0468237580573974,-0.02426311377417388
450,42,0.04961400164003989,0.04342142370209765,-0.0061925779379422355
450,123,0.054882098897476105,0.040431915824093036,-0.014450183073383069
450,2025,0.05831708503303243,0.03941696237272291,-0.01890012266030952
700,42,0.06025855836287067,0.038196001405739664,-0.022062556957131003
700,123,0.05098572128744268,0.036829303894469985,-0.014156417392972694
700,2025,0.054932502816565594,0.03863455318099824,-0.016297949635567355
