canonical_universe_id,universe_index,raw_directory,target_row_identity,snapshot_1_id,snapshot_1_path,snapshot_1_exists,snapshot_1_raw_halo_count,snapshot_1_valid_real_halo_count,snapshot_2_id,snapshot_2_path,snapshot_2_exists,snapshot_2_raw_halo_count,snapshot_2_valid_real_halo_count,snapshot_3_id,snapshot_3_path,snapshot_3_exists,snapshot_3_raw_halo_count,snapshot_3_valid_real_halo_count,snapshot_4_id,snapshot_4_path,snapshot_4_exists,snapshot_4_raw_halo_count,snapshot_4_valid_real_halo_count,snapshot_5_id,snapshot_5_path,snapshot_5_exists,snapshot_5_raw_halo_count,snapshot_5_valid_real_halo_count,seed42_train700_membership,seed123_train700_membership,seed2025_train700_membership,anomaly_flag
LH_0,0,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_0;universe_index=0;omega_m=0.1462,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_0_hlist_0.20000.list,true,350,350,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_0_hlist_0.25000.list,true,1482,1482,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_0_hlist_0.51209.list,true,4985,4985,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_0_hlist_0.75065.list,true,5617,5617,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_0_hlist_1.00000.list,true,6260,6260,test,test,test,NONE
LH_1,1,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_1;universe_index=1;omega_m=0.1198,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_1_hlist_0.20000.list,true,1736,1736,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_1_hlist_0.25000.list,true,3201,3201,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_1_hlist_0.51209.list,true,4287,4287,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_1_hlist_0.75065.list,true,4412,4412,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_1_hlist_1.00000.list,true,4812,4812,validation,test,validation,NONE
LH_2,2,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_2;universe_index=2;omega_m=0.4226,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_2_hlist_0.20000.list,true,7746,7746,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_2_hlist_0.25000.list,true,8444,8444,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_2_hlist_0.51209.list,true,7407,7407,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_2_hlist_0.75065.list,true,6105,6105,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_2_hlist_1.00000.list,true,5647,5647,train,train,train,NONE
LH_3,3,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_3;universe_index=3;omega_m=0.2398,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_3_hlist_0.20000.list,true,3326,3326,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_3_hlist_0.25000.list,true,4930,4930,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_3_hlist_0.51209.list,true,7213,7213,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_3_hlist_0.75065.list,true,6704,6704,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_3_hlist_1.00000.list,true,6715,6715,test,train,validation,NONE
LH_4,4,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_4;universe_index=4;omega_m=0.3742,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_4_hlist_0.20000.list,true,6917,6917,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_4_hlist_0.25000.list,true,7844,7844,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_4_hlist_0.51209.list,true,7968,7968,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_4_hlist_0.75065.list,true,6801,6801,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_4_hlist_1.00000.list,true,6666,6666,train,train,train,NONE
LH_5,5,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_5;universe_index=5;omega_m=0.1174,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_5_hlist_0.20000.list,true,806,806,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_5_hlist_0.25000.list,true,1946,1946,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_5_hlist_0.51209.list,true,4256,4256,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_5_hlist_0.75065.list,true,4638,4638,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_5_hlist_1.00000.list,true,5184,5184,train,train,validation,NONE
LH_6,6,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_6;universe_index=6;omega_m=0.1202,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_6_hlist_0.20000.list,true,1780,1780,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_6_hlist_0.25000.list,true,2795,2795,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_6_hlist_0.51209.list,true,4856,4856,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_6_hlist_0.75065.list,true,5216,5216,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_6_hlist_1.00000.list,true,5740,5740,test,test,train,NONE
LH_7,7,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_7;universe_index=7;omega_m=0.3438,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_7_hlist_0.20000.list,true,3220,3220,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_7_hlist_0.25000.list,true,4847,4847,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_7_hlist_0.51209.list,true,8071,8071,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_7_hlist_0.75065.list,true,7767,7767,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_7_hlist_1.00000.list,true,7817,7817,validation,train,test,NONE
LH_8,8,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_8;universe_index=8;omega_m=0.4018,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_0.20000.list,true,6285,6285,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_0.25000.list,true,7756,7756,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_0.51209.list,true,7619,7619,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_0.75065.list,true,6554,6554,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_1.00000.list,true,6464,6464,train,test,train,NONE
LH_9,9,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_9;universe_index=9;omega_m=0.2062,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_0.20000.list,true,3003,3003,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_0.25000.list,true,4374,4374,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_0.51209.list,true,6452,6452,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_0.75065.list,true,6439,6439,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_1.00000.list,true,6776,6776,train,train,train,NONE
LH_10,10,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_10;universe_index=10;omega_m=0.1602,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_0.20000.list,true,2838,2838,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_0.25000.list,true,4195,4195,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_0.51209.list,true,6131,6131,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_0.75065.list,true,5996,5996,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_1.00000.list,true,6316,6316,train,test,test,NONE
LH_11,11,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_11;universe_index=11;omega_m=0.4754,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_0.20000.list,true,7579,7579,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_0.25000.list,true,8614,8614,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_0.51209.list,true,8190,8190,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_0.75065.list,true,7004,7004,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_1.00000.list,true,6553,6553,test,train,test,NONE
LH_12,12,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U,row_universe_id=LH_12;universe_index=12;omega_m=0.2914,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_0.20000.list,true,2268,2268,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_0.25000.list,true,4041,4041,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_0.51209.list,true,7578,7578,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_0.75065.list,true,7320,7320,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_1.00000.list,true,7525,7525,train,test,train,NONE
