model,head_type,head_parameter_count,seed,experiment_name,experiment_path,prediction_path,split_signature,train_count,val_count,test_count,test_mae,test_rmse,test_mse,test_r2,test_pearson,pearson_status,target_mean,prediction_mean,target_sd,prediction_sd,prediction_sd_ratio,unique_prediction_count,exact_repeated_prediction_fraction,approximate_repeated_prediction_fraction,approximate_repeat_tolerance,prediction_min,prediction_max,prediction_range,residual_mean,residual_sd,maximum_absolute_residual,train_mae,validation_mae,train_mse,validation_mse,best_epoch,saved_mae_absolute_delta,saved_rmse_absolute_delta,saved_mse_absolute_delta,prediction_sha256
EvolveGCN-H,linear,33,42,evolvegcn_h_750u_top1000_h32_seed42_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed42_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed42_none_linear_head/predictions/test_predictions.csv,e27e32ef2d9482fbe0719a56555f66075f7a23e178c15848a0227660ea0df7d9,450,99,201,0.05029454063716812,0.06192755114281536,0.003835021590546012,0.7383809887085353,0.8779287045777445,defined,0.30861990042586823,0.29350371666215547,0.1213758508932744,0.09083192455942737,0.7483525255719586,201,0.0,0.0,1e-12,0.07899680733680725,0.5457879304885864,0.4667911231517792,-0.015116183763712793,0.060204278850115936,0.18540996313095093,0.032752160016033385,0.04880534323176952,0.001774087203788488,0.003990449807674158,71,0.0,6.938893903907228e-18,8.673617379884035e-19,98d3bece4a241917a491c8517491b7cd203a2f3ceeda1820f9a21807d57031d3
EvolveGCN-H,linear,33,123,evolvegcn_h_750u_top1000_h32_seed123_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed123_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed123_none_linear_head/predictions/test_predictions.csv,bd9367b034a0ac7ebc07fe79c19a62d51f17402cb7e5dba98d1748e5168f72f1,450,99,201,0.052323977819722686,0.06692279737356953,0.004478660808303844,0.6560747554103737,0.8439793687140361,defined,0.29530845790063565,0.31752135578672686,0.11439975375925339,0.11204207220182295,0.9793908511167602,201,0.0,0.0,1e-12,0.05747091770172119,0.6492594480514526,0.5917885303497314,0.022212897886091203,0.06328644575013641,0.26613709330558777,0.023812247299485736,0.044182380868328944,0.0009230061190450303,0.003043763942382778,149,0.0,0.0,8.673617379884035e-19,8e6ea0a012912b4a24500a594e4e7fe9bfcb785978bf4c59f2ca55b9b9c508d2
EvolveGCN-H,linear,33,777,evolvegcn_h_750u_top1000_h32_seed777_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed777_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed777_none_linear_head/predictions/test_predictions.csv,6e71569b7785aa0483b56e359c68bac69e9c997617880855b75fd2bedcd84dae,450,99,201,0.06771104282407618,0.08468250058731779,0.007171125905721077,0.4756836838148185,0.7295852811252903,defined,0.3039233819836408,0.2762217589501125,0.11724113612703214,0.088169660570732,0.7520369000450416,201,0.0,0.0,1e-12,0.03011726588010788,0.5381425023078918,0.508025236427784,-0.027701623033528303,0.08022321806662033,0.22694936394691467,0.055894723931948345,0.05998267158113345,0.005261665360020597,0.005671933924385185,15,0.0,1.3877787807814457e-17,1.734723475976807e-18,2a3d3dedbc194a7a82ba708f1152cfd7073eae2b0631f136988cef9132ae6b67
EvolveGCN-H,linear,33,999,evolvegcn_h_750u_top1000_h32_seed999_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed999_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed999_none_linear_head/predictions/test_predictions.csv,27af8142ba8da15f65baf969086cca0e3b72e105c29a41ac778d6c702a8cb678,450,99,201,0.046755118267749675,0.0640489534886356,0.0041022684429894065,0.6892302499179205,0.8531809827596344,defined,0.3078199008952326,0.31650091563142946,0.1151796354706024,0.11918570817769768,1.034781085134774,201,0.0,0.0,1e-12,-0.02140924707055092,0.6434324979782104,0.6648417450487614,0.008681014736196887,0.06361637342909478,0.3518787920475006,0.02748167788816823,0.04228654052271987,0.001275567810907541,0.003237595528593055,110,0.0,1.3877787807814457e-17,8.673617379884035e-19,46b3c4c83c969bcbb7a62da6c0e40705e2ad12057fd0e994ed4e88620ce940ba
EvolveGCN-H,linear,33,2025,evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head/predictions/test_predictions.csv,3f80461e5ec26ee906f6c1781f34d40877521ac854d93f1fb09783b18b8d24a7,450,99,201,0.062130676795594135,0.07809587449277426,0.006098965612791149,0.5791135390944779,0.7663748459315413,defined,0.30558109505852654,0.3158196985573318,0.12067815045868409,0.09626766589243778,0.7977224172440098,201,0.0,0.0,1e-12,0.029119551181793213,0.6368527412414551,0.6077331900596619,0.010238603498805222,0.07761512284497997,0.27385273575782776,0.031778872079319426,0.06340291411286653,0.0016377424904886234,0.006131363558144762,52,0.0,0.0,8.673617379884035e-19,7c159d2059c3fc38999049eb685359f908b14960866b01aeee6ce0cb556ae69d
EvolveGCN-H,mlp,1089,42,evolvegcn_h_750u_top1000_h32_seed42_none,experiments/evolvegcn_h_750u_top1000_h32_seed42_none,experiments/evolvegcn_h_750u_top1000_h32_seed42_none/predictions/test_predictions.csv,e27e32ef2d9482fbe0719a56555f66075f7a23e178c15848a0227660ea0df7d9,450,99,201,0.061760590221751385,0.07365219992010104,0.005424646553070531,0.6299393277684502,0.8213882825592573,defined,0.30861990042586823,0.31361408590973905,0.1213758508932744,0.07451658377061096,0.6139325345379723,155,0.22885572139303484,0.22885572139303484,1e-12,0.22715623676776886,0.5585076212882996,0.3313513845205307,0.004994185483870815,0.07366616039773854,0.16237670183181763,0.043676578286621304,0.06378766668565346,0.0029946042992566426,0.006180448518718813,70,0.0,0.0,8.673617379884035e-19,e38c1d1e21829d266cb44bba53a06e558eae456594e4ec43d62a21374ebd8a34
EvolveGCN-H,mlp,1089,123,evolvegcn_h_750u_top1000_h32_seed123_none,experiments/evolvegcn_h_750u_top1000_h32_seed123_none,experiments/evolvegcn_h_750u_top1000_h32_seed123_none/predictions/test_predictions.csv,bd9367b034a0ac7ebc07fe79c19a62d51f17402cb7e5dba98d1748e5168f72f1,450,99,201,0.0551141643553824,0.07017513742848315,0.004924549913106496,0.6218340468608956,0.8285008070532317,defined,0.29530845790063565,0.32104627736172275,0.11439975375925339,0.10817523245339797,0.9455897316094359,201,0.0,0.0,1e-12,0.09554147720336914,0.5900323390960693,0.4944908618927002,0.02573781946108709,0.06544788106048552,0.2045758217573166,0.03408867220083873,0.04223829876593869,0.0018293049108499965,0.0028211643664782632,60,0.0,0.0,8.673617379884035e-19,e8728b9ec6ec6d1e1ecda75444d418c0eddb12e07bf1de33c69e7e8821d2697d
EvolveGCN-H,mlp,1089,777,evolvegcn_h_750u_top1000_h32_seed777_none,experiments/evolvegcn_h_750u_top1000_h32_seed777_none,experiments/evolvegcn_h_750u_top1000_h32_seed777_none/predictions/test_predictions.csv,6e71569b7785aa0483b56e359c68bac69e9c997617880855b75fd2bedcd84dae,450,99,201,0.0671217438222757,0.07973593269290179,0.006357818962406964,0.5351485580971238,0.7475010598800981,defined,0.3039233819836408,0.3161507263705505,0.11724113612703214,0.07443690988324987,0.6349043718119262,185,0.07960199004975124,0.07960199004975124,1e-12,0.20906968414783478,0.521928071975708,0.31285838782787323,0.012227344386909731,0.07898957251884027,0.2084042727947235,0.06276272159483698,0.062597373142989,0.005861552468228648,0.005475224443333839,14,0.0,1.3877787807814457e-17,1.734723475976807e-18,557d5b5b82ee329751451a1f97fae6f1111f6d50663c68af827e0c55371737ba
EvolveGCN-H,mlp,1089,999,evolvegcn_h_750u_top1000_h32_seed999_none,experiments/evolvegcn_h_750u_top1000_h32_seed999_none,experiments/evolvegcn_h_750u_top1000_h32_seed999_none/predictions/test_predictions.csv,27af8142ba8da15f65baf969086cca0e3b72e105c29a41ac778d6c702a8cb678,450,99,201,0.05742647932536567,0.07498271375767826,0.0056224073624659135,0.574071235177408,0.7630811594812715,defined,0.3078199008952326,0.3090484441068042,0.1151796354706024,0.09826223525021588,0.853121603039763,201,0.0,0.0,1e-12,0.1241506040096283,0.5799152851104736,0.45576468110084534,0.0012285432115716128,0.07515984655561393,0.3029770702123642,0.032738129678699705,0.04569974150320496,0.001794575665316971,0.003497682530907098,45,0.0,1.3877787807814457e-17,8.673617379884035e-19,3585db01e539e54d3a3caf4275dfaefdf4ab75d84b09b1ae1e6b1fca1cf4a21b
EvolveGCN-H,mlp,1089,2025,evolvegcn_h_750u_top1000_h32_seed2025_none,experiments/evolvegcn_h_750u_top1000_h32_seed2025_none,experiments/evolvegcn_h_750u_top1000_h32_seed2025_none/predictions/test_predictions.csv,3f80461e5ec26ee906f6c1781f34d40877521ac854d93f1fb09783b18b8d24a7,450,99,201,0.06559630961560492,0.08555234071980113,0.007319203002636941,0.494905588257754,0.7175839935865517,defined,0.30558109505852654,0.311924103777207,0.12067815045868409,0.10244404727532842,0.8489030274821922,201,0.0,0.0,1e-12,0.07354094088077545,0.5167956352233887,0.4432546943426132,0.006343008718680387,0.08552990172592767,0.23395729064941406,0.017293849090735117,0.061188888444442945,0.0005057984281442442,0.005852133155779581,114,0.0,0.0,8.673617379884035e-19,50578dfa3c42afc4e12e89e556821eac4f9d72f14b61adf85ed2f261247bf181
