model,hidden_dim,k,seed_count,seed_list,mean_test_mae,std_test_mae,mean_test_rmse,std_test_rmse,mean_test_r2,std_test_r2,mean_prediction_std_ratio,std_prediction_std_ratio,mean_exact_repeated_prediction_fraction,std_exact_repeated_prediction_fraction,mean_test_pearson,std_test_pearson,undefined_pearson_count
EvolveGCN-H,32,4,3,42;123;2025,0.09670755753914514,0.009947984395954906,0.11285339958641097,0.010187019029757655,-0.024959947123018855,0.017899560829446107,0.041561967584960766,0.03734266585113422,0.0,0.0,-0.03862194774854387,0.07027726780940718,0
EvolveGCN-H,32,6,3,42;123;2025,0.09641594419876734,0.009483699546122482,0.11266874890324449,0.009805936192502718,-0.021943429902938776,0.010860072186522244,0.03962900391456421,0.030504253588850064,0.0,0.0,-0.029535134089711652,0.07639849493389048,0
EvolveGCN-H,32,8,3,42;123;2025,0.09696193625529607,0.009491620713372386,0.11324138900040583,0.009903648848027755,-0.03235096981707734,0.019525681156434497,0.06289628130388102,0.06682995968763432,0.0,0.0,-0.03523691974087347,0.0730020320260819,0
EvolveGCN-H,32,12,3,42;123;2025,0.0961808881163597,0.009015620284178271,0.11270823351475458,0.009476849627939831,-0.022979440192289664,0.007606626857874222,0.045140778969220224,0.04015796720510826,0.0,0.0,-0.020456938098760123,0.07273831219968827,0
EvolveGCN-H,64,4,3,42;123;2025,0.09777269108427895,0.011783112047831881,0.11421810006609329,0.011748476789457667,-0.04877470892491953,0.04724639993705782,0.11369908493849411,0.017265400698410628,0.0,0.0,-0.021086057099376904,0.11619875568905513,0
EvolveGCN-H,64,6,3,42;123;2025,0.09689524077706867,0.009885806393812296,0.11356548925608817,0.010102770460194234,-0.038060448217080024,0.01505512262051269,0.08901014482546066,0.026983175749263646,0.0,0.0,-0.022978828847105597,0.08865154548988655,0
EvolveGCN-H,64,8,3,42;123;2025,0.0965620176990827,0.009953557220221036,0.11307315876752948,0.010166645275030493,-0.029003043420905057,0.017685434530958433,0.0914870919880478,0.021482995692557207,0.0,0.0,0.0021160365795509692,0.06245543560047213,0
EvolveGCN-H,64,12,3,42;123;2025,0.09745267666048474,0.011608940869149108,0.11368625182807494,0.011897105808781103,-0.038836911635171965,0.04957644643423454,0.11408536200384325,0.00048492048352876066,0.0,0.0,-0.006664642812729529,0.10013907770379439,0
Static GCN,32,4,3,42;123;2025,0.09585493071211709,0.008772398272727955,0.11166888907926979,0.0091531586459511,-0.004449646294067892,0.003699750062419757,0.028445271706892872,0.03971149035966876,0.5866666666666667,0.5191445955715143,0.05950110403862234,0.0777104271935683,1
Static GCN,32,6,3,42;123;2025,0.0950965201523569,0.008226835196896327,0.11129501999382925,0.008489032328412915,0.0015714231038980175,0.01462023739805699,0.09416734289597832,0.046561179546285573,0.10222222222222221,0.17705408255148522,0.13264131406124763,0.09709249625376992,0
Static GCN,32,8,3,42;123;2025,0.09626246078146829,0.008339954175818166,0.11212654384361642,0.008538830030993491,-0.013415782116488048,0.01484871930074586,0.04330455018316228,0.02761988412671328,0.4488888888888889,0.46040240048284975,-0.021373941667559872,0.16619023032595523,0
Static GCN,32,12,3,42;123;2025,0.0954448503586981,0.008785547260635173,0.1115448589694829,0.009772147543437856,-0.0015928610090274464,0.011719642417266687,0.027758899520465473,0.008928124612408878,0.27999999999999997,0.48497422611928565,0.046749877605442094,0.16643085847495467,0
Static GCN,64,4,3,42;123;2025,0.09731819758812586,0.010579745476428072,0.11363952878621576,0.011607904360193915,-0.03850187290632682,0.05194554202940475,0.06958425702648763,0.06865712516805367,0.5644444444444444,0.5017893906736097,-0.11771594336022345,0.08423863288650411,0
Static GCN,64,6,3,42;123;2025,0.09676474488443798,0.009289287541394981,0.11233723929276009,0.009614091739003827,-0.016159979405515612,0.013543752578385884,0.04647418897987651,0.019065825223638942,0.28,0.3555277766926236,-0.029336942893356168,0.04507335914198608,0
Static GCN,64,8,3,42;123;2025,0.09629471232493719,0.009143633177109978,0.11239258566379876,0.009735152031176985,-0.017001314694311986,0.011089423308794533,0.055347978336789394,0.0453482101799857,0.5866666666666667,0.5165698834082805,-0.06695168827497515,0.050831766423729205,0
Static GCN,64,12,3,42;123;2025,0.0974326691031456,0.0103854966901317,0.11309377600999125,0.010605197605669473,-0.02921910950943592,0.034519833625637215,0.05758471665003131,0.0060215374936085945,0.07111111111111111,0.12316805742712017,-0.11054128089486717,0.1174302778651349,0
