hidden_dim,k,seed,split_signature,evolve_experiment_name,static_experiment_name,mae_evolve_minus_static,rmse_evolve_minus_static,r2_evolve_minus_static
32,4,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed42,static_gcn_u500_top100_norm-minmax_k4_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,-4.321575164795144e-05,6.228481306216893e-05,-0.0012331735495940688
32,4,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed123,static_gcn_u500_top100_norm-minmax_k4_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed123,0.0001338922977447421,0.0013919653551152378,-0.024620236580216615
32,4,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed2025,static_gcn_u500_top100_norm-minmax_k4_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed2025,0.002467203934987394,0.0020992813532460936,-0.035677492357042206
32,6,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed42,static_gcn_u500_top100_norm-minmax_k6_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,5.2811702092481205e-05,-0.00018957062754469678,0.0037650165217761877
32,6,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed123,static_gcn_u500_top100_norm-minmax_k6_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed123,0.0013287194569905625,0.0020440517085460602,-0.03600563889055419
32,6,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed2025,static_gcn_u500_top100_norm-minmax_k6_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed2025,0.0025767409801483177,0.002266705647244349,-0.03830393665173237
32,8,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,evolvegcn_h_500u_seed42_final32,static_gcn_u500_top100_norm-minmax_k8_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,-0.0008026007811228475,-0.0007936252813743883,0.01583431245671263
32,8,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,evolvegcn_h_500u_seed123_final32,static_gcn_u500_top100_norm-minmax_k8_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed123,0.0016582397619883255,0.0028947218857733326,-0.05156636139875537
32,8,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,evolvegcn_h_500u_seed2025_final32,static_gcn_u500_top100_norm-minmax_k8_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed2025,0.0012427874406178707,0.0012434388659692402,-0.021073514159725137
32,12,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed42,static_gcn_u500_top100_norm-minmax_k12_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,0.0007190577189127717,0.0013569403094384758,-0.026810979005583935
32,12,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed123,static_gcn_u500_top100_norm-minmax_k12_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed123,0.00014435927073160049,0.0015454620057461926,-0.02739855178363282
32,12,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed2025,static_gcn_u500_top100_norm-minmax_k12_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed2025,0.0013446962833404547,0.0005877213206303966,-0.009950206760569902
64,4,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,evolvegcn_h_500u_k4_seed42,static_gcn_500u_k4_seed42,-0.0004515540599823037,-3.104584573675184e-05,0.0006146800220570015
64,4,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,evolvegcn_h_500u_k4_seed123,static_gcn_500u_k4_seed123,-0.00016948898633321885,0.0017012492553895447,-0.0302803217943568
64,4,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,evolvegcn_h_500u_k4_seed2025,static_gcn_500u_k4_seed2025,0.001984523534774782,6.551042997977874e-05,-0.0011528662834783265
64,6,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,evolvegcn_h_500u_k6_seed42,static_gcn_500u_k6_seed42,-0.00021240393320719198,0.00043860863683690965,-0.00872933959424671
64,6,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,evolvegcn_h_500u_k6_seed123,static_gcn_500u_k6_seed123,-0.00047671834627786847,0.0021029951945345793,-0.03739421821321476
64,6,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,evolvegcn_h_500u_k6_seed2025,static_gcn_500u_k6_seed2025,0.0010806099573771044,0.001143146058612765,-0.019577848627231775
64,8,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,evolvegcn_h_500u_k8_h64_seed42,static_gcn_500u_k8_h64_seed42,-0.00018573403358460028,0.0002158551896068034,-0.004282400723292001
64,8,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,evolvegcn_h_500u_k8_h64_seed123,static_gcn_500u_k8_h64_seed123,-0.0005935263633728011,0.0007565222736180682,-0.01342843008578476
64,8,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,evolvegcn_h_500u_k8_h64_seed2025,static_gcn_500u_k8_h64_seed2025,0.0015811765193939203,0.0010693418479672673,-0.018294355370702453
64,12,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,evolvegcn_h_500u_k12_seed42,static_gcn_500u_k12_seed42,-0.000871822436650585,-0.0011666358042405622,0.02304724296805527
64,12,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,evolvegcn_h_500u_k12_seed123,static_gcn_500u_k12_seed123,-0.000672556161880486,0.0017491801108891758,-0.03106358259518638
64,12,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,evolvegcn_h_500u_k12_seed2025,static_gcn_500u_k12_seed2025,0.0016044012705484917,0.0011948831476024657,-0.020837066750077016
