model,universes,seed_count,seed_list,mean_test_mae,std_test_mae,min_test_mae,max_test_mae,mean_test_rmse,std_test_rmse,min_test_rmse,max_test_rmse,mean_test_r2,std_test_r2,min_test_r2,max_test_r2,mean_test_pearson,std_test_pearson,min_test_pearson,max_test_pearson
EvolveGCN-H,20,3,42;123;2025,0.10051508910126157,0.005646644109230431,0.0946318010489146,0.10589082042376201,0.11124229826892829,0.0077424669415088986,0.10297306709756288,0.11831981314209046,0.004547266854461014,0.35685616404703113,-0.3724072190883492,0.33716093292584237,0.27433220093479244,1.0199481164445117,-0.9033869621565417,0.868420539913412
EvolveGCN-H,50,3,42;123;2025,0.10779079981148243,0.01755004238391055,0.09351505432277918,0.12738484796136618,0.1247060568397073,0.012752648881573353,0.11421601841553629,0.13890090140714226,-0.004311261819465284,0.11321362741917283,-0.13496198316490204,0.06490218223006738,0.2635813082922,0.3819671765859549,-0.1259093251207542,0.6375519269281978
EvolveGCN-H,100,3,42;123;2025,0.09787406590249803,0.02494611791433778,0.07925979395707448,0.1262190709511439,0.11838831502371094,0.022932593938497177,0.10429807869825655,0.14484999299933063,-0.23682556090857598,0.23701888959493966,-0.4455000601187815,0.02087129569701973,0.0364917444964181,0.2320840555860088,-0.22338709704390267,0.2230902302694116
EvolveGCN-H,200,3,42;123;2025,0.10015242215659884,0.013588207385113769,0.0880318875114123,0.11484164421757062,0.11527294892496125,0.012270366250677466,0.10571293071466246,0.12910925014056243,-0.0067040691552994565,0.010685466055384474,-0.015509614338739874,0.005183752891004589,0.12045428513300237,0.05760127957370414,0.08396681477504385,0.1868582299116693
EvolveGCN-H,500,3,42;123;2025,0.09696193625529607,0.009491620713372386,0.08653705775737762,0.10510393093029657,0.11324138900040583,0.009903648848027755,0.10205947521376181,0.12090740337632606,-0.03235096981707734,0.019525681156434497,-0.05300625110331092,-0.014195702403178245,-0.03523691974087347,0.0730020320260819,-0.11775060121440831,0.02095029129271221
Static GCN,20,3,42;123;2025,0.25678305783205563,0.18953037583973692,0.12173790733019511,0.4734494189421336,0.27944698523267747,0.18840182472937977,0.13241025311452956,0.49181922094388586,-8.581331680845125,12.341714070476549,-22.712592535001523,0.08070289344613502,-0.5172431719229067,0.7206615964572142,-0.9946636970950014,0.3117258205575502
Static GCN,50,3,42;123;2025,0.10966320770482223,0.03535255207680145,0.08003606554120779,0.1487970845773816,0.12809282990142332,0.03430954446472558,0.09485658687160253,0.1633833629725307,-0.03320629049710352,0.25563537150002624,-0.2937863871434965,0.2171793576029949,0.09481422466547296,0.4102570627914987,-0.3293461781363088,0.48958767195022357
Static GCN,100,3,42;123;2025,0.09478979772991604,0.013953118031886095,0.0806014746427536,0.10849517087141673,0.11631522100323806,0.007084322527276373,0.10917941626769455,0.12334691374466432,-0.21060956919741466,0.15796805402635922,-0.3637072776539614,-0.04818449682994741,0.11096075355544523,0.4022585555076638,-0.32036750287720683,0.47588605181002497
Static GCN,200,3,42;123;2025,0.10122209952937232,0.013152478694036079,0.0880012979110082,0.11430517360568046,0.11893492253601892,0.012819971438466325,0.10431835434084098,0.1282726445680806,-0.07857388980453657,0.16196928871139532,-0.26458813801549996,0.031258069591607374,0.18896402140998184,0.13175049135557648,0.09144280193642101,0.3388453549709518
Static GCN,500,3,42;123;2025,0.09688265446159575,0.00952883606996369,0.08711746076742809,0.10615608960390091,0.11282381108693382,0.010078779475265974,0.10201640676577252,0.12196673837984479,-0.024597622258679157,0.020251016956530643,-0.04797617189763437,-0.012476780112041563,-0.005412380466240152,0.07582249484581956,-0.09039795750752276,0.05530510272576662
