model,universes,seed,experiment_name,experiment_path,split_signature,test_mae,test_rmse,test_r2,test_pearson,target_mean,prediction_mean,target_std,prediction_std,prediction_std_ratio,repeated_prediction_fraction,best_epoch
EvolveGCN-H,20,42,evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,experiments/evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,9a1244427ae4384e8bb9c5f10d9cf32f477a5fbec3658cf875b682f03556c63e,0.0946318010489146,0.10297306709756288,0.048888086725889845,0.8579630250475071,0.26260000467300415,0.299919456243515,0.1293163587411328,0.013979845517019633,0.10810577759156267,0.0,28
EvolveGCN-H,20,123,evolvegcn_h_20u_seed123_final32,experiments/evolvegcn_h_20u_seed123_final32,6a5fa7b456c323e93ff672a43a35ab6926fbfd1acc4b8f7ce6ada1501ee447f1,0.10589082042376201,0.11243401456713151,0.33716093292584237,0.868420539913412,0.3147333363691966,0.3082963824272156,0.16913726307101956,0.03794674954740787,0.22435475694953333,0.0,19
EvolveGCN-H,20,2025,evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,experiments/evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,7e5e08400b3be5b952b05ca039d96548792538cacb2de678f873831850349370,0.1010226458311081,0.11831981314209046,-0.3724072190883492,-0.9033869621565417,0.2930000027020772,0.24385272959868112,0.12369769520690155,0.008928017521857923,0.0721761024481869,0.0,2
EvolveGCN-H,50,42,evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,experiments/evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,c0b5e03520b87262cb2bd0fbfa8b4a0d882a62c2d51e04ccf0ec64ef6a85f3a8,0.09351505432277918,0.11421601841553629,-0.13496198316490204,-0.1259093251207542,0.2638000017032027,0.2853076383471489,0.11461259157263834,0.023680275052970216,0.2066114615160962,0.0,59
EvolveGCN-H,50,123,evolvegcn_h_50u_seed123_final32,experiments/evolvegcn_h_50u_seed123_final32,7f94f9364f1187977f57e511eae46d5935b1a521fa5e8981e1bca8f661cb8f53,0.10247249715030193,0.12100125069644337,0.05712601547643881,0.27910132306915636,0.2541500013321638,0.2591503672301769,0.13321680277292594,0.018740516853997007,0.14067682502440074,0.0,8
EvolveGCN-H,50,2025,evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,experiments/evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,a323cf033bdb75d169bc3c3549b2ea5cda4ee985186aa59915b3a071305fca0a,0.12738484796136618,0.13890090140714226,0.06490218223006738,0.6375519269281978,0.30125000048428774,0.2963097430765629,0.15355802433217589,0.008311274956541362,0.05412465413440366,0.0,2
EvolveGCN-H,100,42,evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,experiments/evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,314f7bac57d93fa0848e55ef03271ba12c2669419b7c3d5946dba2d5e112ea80,0.07925979395707448,0.10601687337354565,-0.28584791830396616,-0.22338709704390267,0.31166666448116304,0.28730556766192117,0.09677469262602026,0.02846728270659936,0.29416040427645057,0.0,90
EvolveGCN-H,100,123,evolvegcn_h_100u_seed123_final32,experiments/evolvegcn_h_100u_seed123_final32,ad09fcef712701e99cc512f3b5267a9f3ab0e2bededb301e623a7a7bda7b6fa4,0.1262190709511439,0.14484999299933063,-0.4455000601187815,0.10977210026374537,0.2657733311255773,0.3470452109972636,0.12470705783441156,0.019921213865410035,0.15974407713043642,0.0,8
EvolveGCN-H,100,2025,evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,experiments/evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,a8b0e2d9ade3a7ca620bd4aed7eea68ee44da8d326b65c8f35a309273f4a79f2,0.08814333279927572,0.10429807869825655,0.02087129569701973,0.2230902302694116,0.2612399995326996,0.2614586333433787,0.10910333565639337,0.005794358144579385,0.05310890001409265,0.0,1
EvolveGCN-H,200,42,evolvegcn_h_200u_seed42_final32,experiments/evolvegcn_h_200u_seed42_final32,18119caf4493ad43fbcc2c26ea0eb2ddd5af10b33300db2c701ff94fb9feda0c,0.09758373474081357,0.11099666591965886,-0.009786346018163083,0.09053781071229396,0.31525333151221274,0.3016782164573669,0.11234579328669941,0.004143189844213617,0.03687890505735677,0.0,8
