group,seed,experiment,best_epoch,best_val_mse,trainable_parameters,test_mae_from_predictions,test_rmse_from_predictions,test_r2_from_predictions
EvolveGCN_500U_Top500_none,42,evolvegcn_h_500u_top500_h32_seed42_none_norm,40,0.004939668237542113,3409153,0.0622237753868103,0.07423715188332335,0.4633913023037175
EvolveGCN_500U_Top500_none,123,evolvegcn_h_500u_top500_h32_seed123_none,27,0.00569747120141983,3409153,0.07117895623048147,0.08518733932217115,0.43945167808576524
EvolveGCN_500U_Top500_none,777,evolvegcn_h_500u_top500_h32_seed777_none,74,0.003469856868808468,3409153,0.061948356529076896,0.07490497148104601,0.5552585710810025
EvolveGCN_500U_Top500_none,999,evolvegcn_h_500u_top500_h32_seed999_none,28,0.006316322712227702,3409153,0.07119213889042536,0.08895156987961472,0.319923122434953
EvolveGCN_500U_Top500_none,2025,evolvegcn_h_500u_top500_h32_seed2025_none,163,0.004836136257896821,3409153,0.06244542827208837,0.07687516919324365,0.5836670755935719
EvolveGCN_750U_Top1000_none,42,evolvegcn_h_750u_top1000_h32_seed42_none,70,0.006180448526977514,3409153,0.061760590221751385,0.07365219992010104,0.6299393277684502
EvolveGCN_750U_Top1000_none,123,evolvegcn_h_750u_top1000_h32_seed123_none,60,0.0028211643632426106,3409153,0.0551141643553824,0.07017513742848315,0.6218340468608956
EvolveGCN_750U_Top1000_none,777,evolvegcn_h_750u_top1000_h32_seed777_none,14,0.005475224466110119,3409153,0.0671217438222757,0.0797359326929018,0.5351485580971238
EvolveGCN_750U_Top1000_none,999,evolvegcn_h_750u_top1000_h32_seed999_none,45,0.003497682563546631,3409153,0.05742647932536567,0.07498271375767827,0.574071235177408
EvolveGCN_750U_Top1000_none,2025,evolvegcn_h_750u_top1000_h32_seed2025_none,114,0.005852133103862706,3409153,0.06559630961560492,0.08555234071980113,0.494905588257754
