model_family,seed,path,size_bytes,sha256
DeepSets,42,experiments/deepsets_u1000_top1500_raw7_final_train700_seed42_none_h32_phi3_mean_statichead/config.json,2449,35fa1dba59be780c1a0fef391d604621b7e6d41a05326266799d3d2aa9bd43dc
DeepSets,42,experiments/deepsets_u1000_top1500_raw7_final_train700_seed42_none_h32_phi3_mean_statichead/metrics.json,582,4dfc8bdab62b6619c9dc5aad3d2fda51189f1f3b06651c07efa81e121d5196e5
DeepSets,42,experiments/deepsets_u1000_top1500_raw7_final_train700_seed42_none_h32_phi3_mean_statichead/train_log.csv,5785,7f3546246fd569b1dc1689efc9f39f8ac18c416a383323038e0026bd6ff9084e
DeepSets,42,experiments/deepsets_u1000_top1500_raw7_final_train700_seed42_none_h32_phi3_mean_statichead/checkpoints/best_model.pt,22882,9d9090b58b541648d3aad0933cd66248a30ad96e1a8c7777d00b42fee89622ab
DeepSets,42,experiments/deepsets_u1000_top1500_raw7_final_train700_seed42_none_h32_phi3_mean_statichead/predictions/train_predictions.csv,62380,4c2197f3769e7f61d0d158a080f49e6a2c3b6a806f185ea4040fc27f67ac5e9d
DeepSets,42,experiments/deepsets_u1000_top1500_raw7_final_train700_seed42_none_h32_phi3_mean_statichead/predictions/val_predictions.csv,8843,538b48458f2ed97ed8bb9f0fb398bdd6dc23abdcf015639f2be4253f77fd82a2
DeepSets,42,experiments/deepsets_u1000_top1500_raw7_final_train700_seed42_none_h32_phi3_mean_statichead/predictions/test_predictions.csv,17940,9aded7f8985a1d51ab473ef4c684346d0523e8b3889d266077be3c424af3c37d
DeepSets,123,experiments/deepsets_u1000_top1500_raw7_final_train700_seed123_none_h32_phi3_mean_statichead/config.json,2452,3ffa0093ecbf5bae9d1ba72a27f86ea5ae43e5e62950a5c8b6bcde831b6acec6
DeepSets,123,experiments/deepsets_u1000_top1500_raw7_final_train700_seed123_none_h32_phi3_mean_statichead/metrics.json,583,915f96603797ea4a71c9469e12c9a452b03ff5db49f5a682110b9b4953e0e0f1
DeepSets,123,experiments/deepsets_u1000_top1500_raw7_final_train700_seed123_none_h32_phi3_mean_statichead/train_log.csv,10960,d4fea7af63c3be39f8e2d8e032c08cdd834a573004872a4d8c8b1fbbb666fa5e
DeepSets,123,experiments/deepsets_u1000_top1500_raw7_final_train700_seed123_none_h32_phi3_mean_statichead/checkpoints/best_model.pt,22882,965f66864d6089625d20b85b25e8c147410655d3cecb36d6784e13e49b1afaf0
DeepSets,123,experiments/deepsets_u1000_top1500_raw7_final_train700_seed123_none_h32_phi3_mean_statichead/predictions/train_predictions.csv,62379,1d5960f551c9f3470ab1a040581fc6d2d15a790ddef1bd18696dd81c8e24ca33
